ID	label	text
s24:a80993beb51b87dc69502cbcd22e159d	not-insult	Paitsi nusittaessa, elvä se. Jos olet liian lihava ja vieläpä homo...ei ei. Sinun täytyy aina maksaa.
s24:88d6bda90ec0ed70213eb77b7cacea9b	not-insult	Missä ovat ne t o d i s t e e s i siitä, että äänestäisi nyt toisin?
s24:5d03d1de7a7ccf2bc664caa765f016d3	insult	Jobbari on muuten yksityinen kauppias ilman y tunnusta eli kusettaja eli taas ja taas YKSITYINEN.
s24:aec361df24cc3d9f31bce7bf28dc2b0e	not-insult	Mikä on "säännöllistä" käyttöä?
s24:d9b7d2ca01ed8262b61c3c9e678cb90e	insult	Mikä saavutus, olet halveksittava spermaviemäri!
s24:41041590064a0ef9fb3b0b8ac7438172	insult	Metsä vastaa niin kuin sinne huudetaan sukurutsari. Sitä saa mitä tilaa tolvana.
s24:8e80d016d55a5e87afff0c9fb7c1cb60	insult	no eikös siellä ollut joku ruskean reiän ritari,suomeksi homo
s24:75f880ae409d587a47bb37d6d0b08619	insult	Koska te "suvaitsevaiset" koko ajan haukutte ja pilkkaatte suomalaisia olette te rasisteja. Joka harjoittaa rasismia on rasisti.
s24:165988372ad9f3275bdd3983a6c9d421	not-insult	MUS MUS .....ARGGGGHHHHH. En ihan koko päivää kunhan tässä vain omaksi ilokseni lämmittelen itseäni.......ARRRGGHHHH.....NARSK.
s24:79f20b2305c55c62a06ddba8535290ae	not-insult	syyllinen on pelien tarjoaja joka kynii säälittä kaikki jotka erehtyvät pelaamaan kuvitellen voittavansa.
s24:db19483a8a7cfdc3984f2d4c6425e247	insult	Mistä vitusta lähtien olet kelpuuttanut itsesi kunnon mieheksi? Täällä homon persereikää vinkumassa vammainen????we
s24:9e7cf4e077bed99ff879611dcae90d53	insult	Todellakin neitikiekon MM.. tuomari linja on ihan päin vittua. suomi tsekki pelissä ekassa ja tokassa erässä joutu boxiin ku taklaa kaverin kumoon ja kolmosessa saa tehä ihan mitä vaan. ja lopussa suomelle jäähy. paska tuomari linja ja puolueellinen tuomari!!
s24:f8940421256f77febb2ea68c4ad4e3f4	not-insult	Vasikka on syntyessään isompi kuin täysikasvuinen pitbull.
s24:1ff09f3f6fec900f19fe8ad167ffd662	insult	Mikä "virus" ????????  Kerran ollut 14 vuotta sitten XP,ssä ja sekin tunki sisään, kun XP.tä asensin ja unohtui netti-piuha koneeseen ennenkun laiton Nortonin !  Kuka järkeä omaava sitä minttua asentaa, tai mitään muutakaan linusta, sillä sehän on jo "virus" oli se sitten minttu tai ubutubutin. Muuten, miksi sitä yleensä kukaan asentaa, ellei ole P...s auki ja jos se ilmaisuus on pääasia, niin paskaakinsaailmaiseksi, mutta eipä ole suurta kysyntää silläkään, ellet ole jyväjemmari !!!!!!!!!!!!!
s24:40dc999623f8007a00956ea74c3f48ba	insult	Suksi vittuun nuija. Et tiedä mistään mitään.
s24:f9baefd1d14d1024185203e0ac23f6b5	insult	Voimia Raiskaajamurhaajan vihaajille! Lisätköön vuodet vihaanne! Afganistan tuo syrjäinen hullujen asuttama ooppiumloukko ja vuohennussijoiden kehto pussihousuvätysten kansoittama alkuasukasmaa. Oi mahtava Neuvostoliitto miksette käyttäneet siellä Tsarbombaa, yksi per neliökilometri olisi ollut sopiva lääkkeeksi.
