ID	label	text
s24:e454b82928b7635ef5c64efbc42c2396	obscene	kyseessä on "Lea" jolla on huomattu olevan aina jonkinmoista kääpiöseropia myynnissä...ilmeisesti tehtailee niitä. Hinnat on ihan törkeitä.  Hitto millä tollaiset saa kuriin!!!!!!
s24:86810a96fb2e1ecb8699c5404f8e8cad	obscene	No vittu just niin VITTU!!! Nyt vittu sitä vitun PILLUA!! Muuten ei henki kehity! HUORAT PERKELE!!!
s24:9e51d3d6419b0bbb03ae88e6799cf8f5	not-obscene	On sitten oikein tyhmä akka ja vielä rumakin.
s24:a8b8feb7acf18ae8aa66fc9d672d3374	obscene	en ole sanonut olevani sen kummmempi vittuilija kuinmuutkaan enkä ole...Ja sulle kyllä uskaltaisin,huvittaa tuollaet säälittävät kehitysvammaset ja tyhmät murklkupenmnut,jotka koittaa uhitella...Kyllä mä uskallan,jos on tarvetta,riippuu tietenkin ihmisestä...
s24:2b9dd304ff5472703186c4699729b3dd	not-obscene	Eihän tuo ole enää ostamista kun halvimmillaan myyjä joutuu maksamaan että saa lähettää pöksyjä.
s24:b3dfeac54206980747141aeedcbfe2c3	not-obscene	163 HEPPAA
s24:5699e9c7b42d4f5d1c3f79be884a0118	obscene	TV:stä pornoa  TV2 esittää parhaillaan päiväaikaan venäläistä saunaohjelmaa missä venäläiset pervot ukot esittelevät kyrpiään. Eikö YLE häpeä koskaan tekemisiään?
s24:d377091effef650d4846dcd88e2b4866	not-obscene	Kyllä on ihmisillä sitten älyttömiä stereotypioita! Katkeria taidatte olla kun pitää yleistää kaikki kauniit/komeat aivottomiksi ääliöiksi.
s24:944495d33119cc7158e289c7e7ea7b13	obscene	ei anna rissiiniöljyä pikkuelukalle,tullis meille paskanen loppu!
s24:89c211dbb722615fdc1dc430acd2d645	obscene	Onko ilmaisia seksichatteja, joissa on aidosti halukkaita naisia  Tietääkö joku, onko olemassa ilmaisia chatteja, joissa naiset aidosti haluavat seksiseuraa? Yleensä niissä puhutaan suoraan sanottuna pelkkää paskaa. Jos joku tietää, niin laita infoa.
s24:b1940efa6e5e3e1bcf834d77e7d41109	not-obscene	hölmö!
s24:a40303bdaeec726aa49a6dca60fbcf43	obscene	Siitä vaan vapaaksi ... perkele....... JA YKSI HENKILÖ OTTAA VASTUUN TÄSTÄ SITTEN!  KATSOTAAN LÖYTYYKÖ KANTTIA ??  - JOTAIN JÄRKEÄ ON SAATAVA SUOMEN OIKEUSJÄRJESTELMÄÄN .... SUVAKIT NYT TEKEVÄT KAIKKENSA TÄMÄN ROMUTTAMISEKSI !!!
s24:4e1e36cd1275419b43036c7b87574ace	not-obscene	Ootko sinä se mies pusikosta joka kirjoittelet tänne....:)?
s24:5e1496d2cb805f5e356841ced0a3cd8b	obscene	minna* : ymmärsinkö oikein, että jouduit maksamaan exällesi koska firma meni nurin? Hitto, munhan kannattaa sitten laittaa joku hulabaloobisnes pystyyn ja hoitaa se vielä surkeampaan kuntoon kuin vaimollani oleva "yritys"?
s24:65ebdc0835de9e1a2e20be7604eb813b	not-obscene	Ai Sinä? Just just, kyllähän Sinulle aina lainaa annetaan Skodan korjaukseen.
s24:1f4b6cabd14ca1dd7674eea16b04ec74	not-obscene	kuka olet!
s24:2a7c9e29b080991fefc5475ebab0cea1	obscene	Mies joka vonkaa ensimmäisillä terffeillä on sika. Jos ei vonkaa vielä kolmansillakaan, on homo.  Mutta sitten varsinaiseen asiaan. En minä mielestäni koskaan ole vongannut keltään. Pitää olla sen verran silmää, että osaa viedä tilanteen luontevasti oikeaan suuntaan. Kysyä illan päätteeksi, josko nainen haluaisi tulla yöksi tms.  Jos menisi kovin pitkä aika tai nainen vikkokaupalla kävisi vain nukkumassa luonani, tekisin asiasta omat johtopäätökseni. Mikä tässä on niin helvetin vaikeaa?
s24:45dc4b6cc6610668a2e6af5fdc3c6510	not-obscene	Vai perheen. Naiset alistettuja. Huivpäisiä ukon palvojia.
s24:dcae3176fe3febaade7373092821ad49	obscene	Sellutehtaalla on porilaisia töissä! Ja vitut. Yksikään porissa asuva ja raumalla töissä käyvä ei ole porilainen vaan hylkiö persereikä jota ei porissa kaivata.näin on.
s24:212f8f4b93e4a04b7424c50adff8a0c9	obscene	Kapitalistin tuska britanniassa syvenee, päivä päivältä: https://keskustelu.s/REDACTED/britanniassa  Suomessa vasta edestään kapitalistien viitoittamalla tiellä. Sillän ensin on saatava haltuun KAIKKI TIEDOTUSVÄLINEET:  https://www.marmai.f/REDACTED/dian-6267058  ja saikin sen. Ja paljon muuta, googlaa "keskisuomalainen osti lehtitalon", niin näet, mikä niillä on juonena.  Keskisuomalainen on Kepulaislehti mutta sisällöt on samaa mamutus- ja työvoimapulapaskaa kun kokoomuslehdissäkin. Tavoitteenahan on teidän paskahousujen tajunnanmuokkaus systeemille uskollisiksi muurahaisiksi
s24:e703d3c56e76622e0c5c1f64028227b9	obscene	No helpottiko "pimpottelu" sinua netti-addiktia? Älä pelle ole kiinnostunut kirjoittajista, jotka eivät ole kiinnostuneita sinusta tai ole ylipäätäänkään kiinnostunut kirjoittajien henkilöistä. Pimeä tapaus: stalkkaat mua, jolla ei koskaan ole ollut edes nimimerkkiä... Teepä itses lisää idiootiksi ja tule pimpottelemaan asiallisiin viesteihin, pelle! Havaitsin hyvin, että jotakin ihan sairasta vittuilua toi on - mua kohtaan. Taitaa suoli24 olla ainoa paikka, missä vastentahtoisesti kaltaisiisi kirjoittajiin törmää? Kyttäri ( mikä sitten lienetkään). Juntti.
s24:c539ba580b508a67ad02940a17aca9d7	obscene	Joo kyllä se on kommunisteilla hallituksessa kusinen paikka jost alkaa se tuttu kiljuminen ja öyhöttäminen näilläkin palstoilla,persu,natsi ,fasisti pilkkaa joka palstat täynnä. Vaan ei haittaa kun totuuden näkee jokainen ja iso käsi laittaa vääryydellä kasatun hallitukselle kivikuormia siivottavaksi. Hallitus puolueissa on paljastunut jo poliittisia virkanimityksiä,laittomia päätöksiä ja murha listoja. Tällä hallituksella on historian huonoin maine.
s24:76330e9505d442849d7fd3ead6fa1331	not-obscene	Kissanvihaajat tyhmiä? Osataan panna Panndol 50-00mg pikkukalan sisään.
s24:aeaf332cfab95512f8bd9e26f1e342eb	not-obscene	ONGELMANA on Koskimäen mukaan se, että uhrit eivät vaadi tekijöille rangaistusta tai jättävät tapahtuneen ilmoittamatta.  – Asioista pitäisi ilmoittaa poliisille tuoreeltaan, jotta asianomaiset henkilöt saataisiin kiinni. Omille lapsille pitää neuvoa, että tällaista ei tarvitse hyväksyä.  Lainattu polliisin kirjoituksesta tänään iltasanomat, niin tähän jos voisi vaikka lapualaiset ym. vastata. Mikä tässä mättää, ketoisiko nämä katupartio ntseille mieluummin kuin poliisille??
s24:a40afe26ed1059d82ae8e043e147c7c0	obscene	Ei se vaihdosta parane. Samaa paskaa, eri paketissa.
s24:e4416bb9dda1a6fd451ac9c0a9b7ecc9	not-obscene	Miehet eivät yleensä ole yhtä tyhmiä ja avuttomia niin kuin naiset, vaan uskaltavat tehdä asioita. Naiset vaan valittaa.
s24:a9ae129361490574bbc509a4187ac9a7	obscene	Yritä tiivistää kahteen kymmenen sanan lauseeseen. Minkä tahansa asian voi esittää tiivistetysti - paitsi paskanjauhamisen.
s24:75c976ca579e1b3e3f299ca5ded44af5	not-obscene	Skoda on ainakin rumin itäautoista, ja laadultaankin heikoimmasta päästä. Helpommalla saa siasta hieromalla koiran kun skodasta auton.
s24:6a07a4f464f19cf32322de76223b751b	not-obscene	Ylen toimittajat on joko tyhmiä tai propakandisteja. Hävettäisi olla Yleläinen.
s24:7e927508ddf5c8c45bafcdfa213a535d	not-obscene	ootko sää täysin tyhmä BF3 on 30fps PC:lle, Xbox 360:lle ja myös viimeisenä ja vähäismipänä ps3:lle.
s24:dca1cdb7d38599cdb09ce0916d252359	not-obscene	Pahalta. Jotenkin mahdottomalta.
s24:e36f742bc39d48a058b727ad7b58c79f	not-obscene	pysy siellä kainuussa Täällä eteläss on jo tarpeeksi korvarengas pellejä-- jaa onpi niillä nenääskin niillä lapin/kainuun homoilla. joo ja tukka porkkanan punainen heheh
s24:a50794eda66c804453fd894b0b0f4c0e	obscene	ne jotka persuja mollaa ,gronbergin mukaan teidän pitäisi ottaa kummi kreikasta. siitä vaan perslalandia ym. matkaan kyllä jutta ja jyrki kyytin maksaa.
s24:54e42984492d5dfe1f67c684fab1977d	not-obscene	vähä semmonen homppelipoika
s24:e5a5ba64af23845237e848fca931038e	not-obscene	Kuulehan ukko, kovinpa sinulla tuntuu olevan aikaa istua netin ääressä. Käyhän välillä haukkaamassa SUOMEN luonnon raikasta ilmaa, sitä ei enää kauan ole saatavilla kun nämä ryssäkät pilaavat ilman ja maan.
s24:02265805c1498a92701fc63044befd01	not-obscene	Hyvää yötä kaikille  Uni pistää silmäluomet luppasemaan, joten parempi painella punkaan muijan viekkuun.
s24:2d5e1101ab3743a9b2f1eb0ef421b01b	not-obscene	Ja vaipoista kirjoittava kaveri on taas tullut hokemaan vaipoistaan. Miksi sinulla päässäsi vaipat pyörii??
s24:8f57dcc7e05c531896c08d80129cf7df	obscene	Suomi teki juuri ne ratkaisevat maalit,mutta miksi maailman paras jääkiekkomaa Kanada ei pystynyt maalaamaan kertaakaan,vaikka antoivat kaikkensa tuossa matsissa ja ilme oli sennäköinen kuin olisivat syöneet kilon paskaa.
s24:620d8e9ee2ef431fe5a3fa3d7d0e8940	obscene	No hei, musta 12-13 vuotias on aivan hyvä ikä.. pari vuotta ja pari vuotta.. paskat siitä,jos tykkää ni tykkää.. pitääkö kaikkien aina tiuskasta toisille?
s24:d8c8b8dfd12228a9e2be94202323e3f2	not-obscene	Tuossahan se osa ongelmaa on, naiselle seksi on velvollisuus tai hyödyke.
s24:6159a74d5a6d36461f2248e167de2094	not-obscene	se sun alkkis on liian vähä-älyinen tajutakseen minkälainen nainen hänellä on - ja kuinka vähän hän itse tajuaa mistään. olet helmiä sioille. yritä päästä irti tyypistä.
s24:839589b6ee90b40933f78f99a64a6de1	obscene	mulla on -90 sierra ja se oikeesti paska. tekniikka suoraan -70 luvulta, se kertoo jo jotain.
s24:404d1c0c9d42dfbce06fda8f6f55dc32	not-obscene	Kiihkeänä kommunistina ja lihavana homoseksuaalina vastustan kaikkea, mitä demokraattisista mielipiteistään ja ällöttävästä heteroseksuaalisuudestaan tunnettu Sauli Niinistö tekee! Myös tuhannet sivunikkini vastustavat Saulia!  Suomi oli syyllinen talvisotaan! Stalin ainoastaan puolusti Neuvostoliittoa ja ihanaa kommunismia!
s24:b1211fb20f0969cac4baef3ecfd058b7	not-obscene	jäyniä voi kukaan tehdä!  Ihankun sinun mies Nanni oisi tehnyt tahallaan sinun kiusaksi tai jotain. Ilkeyttään. Ei kondoomit jää keltään vahingossa pitkin ei voi jäädä. Vai onko se nainen joka on ollut siel piruuttaan levitellyt ne kondoomit.  Naiset on joskus älyttömän ilkeitä toisilleen.  Toivottavasti saat jätettyä miehesi vaikka itkee ja pyyteleekin anteeksi.  Ei armoa tollasille!
