ID	label	text
s24:bfa2877e5554e7400e808581f470a43b	not-threat	Saas nähdä kauanko saavat tappaa meitä vääräuskoisia eurooppalaisia koiria, kunnes herätys tapahtuu.
s24:8b838a5e0c26c54aaca530d48f3fbc7d	not-threat	G: Paljonko raskauskiloja?  Elikkä paljonkos teille on tullut raskauskiloja kustakin lapsesta? Ihan mielenkiinnolla kyselen :)  Meillä yksi lapsi ja kiloja tuli 21. :)
s24:fce2e8873cbdbe33c16ddc775c8be246	not-threat	HETI HUOLISIT JOS VAIN UKOLLE OIKEESTI KEPAISIT,hah hah haaaaaaa
s24:b05278f0c6ce7e921cbc476f97baab9b	not-threat	hifk hävis mut ei anneta sem häiritä..NARRIT ON NARREJA!!!vai mitä, hifkiläiset!!!???Lauantaina onkin kova kamppailu turussa..mutta hifki toivottavasti vie pitemmän korren!!!!lähen nimittäin fanimatkaan mukaan tsekkaamaan pullasorsien NÖYRYYTYSTÄ!!!UNOHDETAAN kaikki MATSI JOKEREITA VASTAAN, SEURAAVAX ON HIFKIN VUORO!!!!
s24:775480463ddeed0eba4e587c89077efa	not-threat	Tiedän kenestä puhutaan ja tiedän hänen touhunsa,hyi helv...i.Mikä teitä nakkkilalaisia vanhenpia vaivaa, vai eikö tyttärienne neitsyys ole pyhä? Vai haluattekko kännisepäisenepäsiistinperäkammaripojan joka lähe s,väkisinmakaa tyttärenne,olisi vävynne? PIDÄ HUOLTA..
s24:25705ae153c8545cd8eb2bb6877e66a5	not-threat	Toivottavasti karma on bitch kohdallasi, läheisesi menehtyy onnettomuudessa ja sast lukea netistä vastaavanlaisia aivopieruja! Olet tunteeton ja kylmä ihminen, käy sääliksi läheisiäsi!
s24:522b966ac9d7f6f5412ed103273ed4fe	not-threat	Tulevat kuolemaan ennen aikojaan...
s24:2d1a80a83d016ecadbd6d57ad5f18c71	not-threat	Siperiaan, ilman palautusoikeutta. Täysin turha pelle ja kaiken lisäksi työkyvytön idiootti.
s24:cef7e01415617b9b5107da4f31ca2704	not-threat	MINÄ EN OLE SANONUT ENKÄ VÄITTÄNYT ETTÄ ASIA MITENKÄÄN KUULUU FEMINISMIIN. KERROIN AINOASTAAN SEN, ETTÄ LUIN ASIASTA SIELLÄ!  SEN SIJAAN SINULLA ON TAPANA KULJEKSIA PERÄSSÄNI JA ESITTÄÄ AINA OUTOJA ITSE KEKSIMIÄSI PÄÄTELMIÄ JA SYYTÖKSIÄ KIRJOITINPA SITTEN MITÄ VAIN.  HELLITÄ JO.
s24:8d6f3d2c9c86df3237b0ced43de343b4	not-threat	m!nä  m1nä on ihan homo hintti vitun "hauska"... jos vittu ny ei lopu noi sun juttus nii sut bannataa täälä kokonaa kaikista keskusteluista!!!
s24:0bf9c2c5322a922866ff4eb4baf5ccf2	not-threat	Ottaisit kovaa kiinni ranteista, painaisit mut allesi liikkumattomaksi, levittäisit polvillasi mun jalkani, purisit mua kaulasta niin että multa melkein loppuis happi... Voi mä haluisin sua niin kovasti... Ja sitten sä..
s24:96c15496a14d9e277f6da58b813e43e5	not-threat	Sairasta päähänpotkittua raukkaa. Kaikki mitä kokoomus tekee on juuri päinvastoin. Kuvittele sinä vain, sillä eihän luojakaan kiellä suuria ajattelemasta. Kokoomus ei pidä yhtään köyhistä, heti tappavat köyhät nälkään.
s24:93f80594da51a9f8ed8b207ea9280fe2	not-threat	Nyt turpa kiinni homo^ saatana mitä perkeleen touhua vittu
