ID	label	text
s24:8ed26e037bfbfea4207d3af7da7323de	not-identity_attack	Oletko mahdollisesti homoseksuaali?
s24:35e768a943755e7014c7b077d4d1bdc9	identity_attack	Rassatkaa hintit vaikka kuusenhavulla perseenne, siinähän pääsette sitten pukamistakin samaan rahaan eroon
s24:faa1067761aa6a107a676e0d6d0a440c	not-identity_attack	musta on kurjaa lukea kuinka ihmiset alkaa lähes haukkumaan minua täällä... :o  eikö teissä ole mitään vikaa, oletteko te täydellisiä? jos vastaat ettet ole, niin miksi olisit oikeutettu haukkumaan muita? Tiedän ettei ole seksikästä että on lihava, mutta se että olen "pissis" , "pillallehemmoteltu" "tyhmä".. hetkinen... tunnetteko te minua? mielestäni on todella typerää alkaa haukkumaan tuntematonta asioista, mistä ei ole mitään tietoa todellisuudessa.. se kertoo vain omasta huonosta itsetunnosta, jos muita pitää alkaa haukkumaan. :)
s24:1ce6f6cc1e00581fca3889cc75782834	not-identity_attack	homot 172cm ja huterot 171mm
s24:97cfa0d6741d2aa912d1d90906c2ebbb	not-identity_attack	hei haloo!! sulta pitäs kieltää koirapuistoon pääsy kun aivos on kun apinalla.. apinapuistoon saat mennä! Niin meinasix sä apinaivoines että ihmiset jättää rokottamasta koiransa koska ne on seropeita, että ne jotenkin yleisestiottaen ottaa niitä likasia olioita koska haluaa niiden kuolevan tauteihinsa ja sekasikiötakkuseen turkkiinsa??? ja taas kaikki puhdasrotuset on rokotettu??? ja.. mitäs muuta hauskaa sä olitkaan pähkäilly... turkki oli takussa jollain... voi hohhohijaa...Kovin on sun elämä,kallisarvonen (taidat olla ihan puhdasrotunen??) ja ylväs melkosta kun moisia kerkeet pohtiin...!! mulla on ollu puhdasrotusia valiokoiria sekä sekarotusia (..öö.. eikun siis sori, sekasikiöitä)ja kaikki ne on rokotettu ja hoidettu samallatavalla.Toivottavasti oot kattellu mun sekasikiöitä ja pelänny niiden tarttutavan sun puhtoset pikku koiruliinis. Hahhaah kun tietäsit kuinka niitä hoivataan! Ettet o ikinä nähny puhdasrotusta takkukasaa..?? meinaaxsä kanssa että vaan puhdasrotuset ihmiset on puhtaita ja "sekarotuset" on likasia taudinlevittäjiä... nii... niiden vanhemmat ei varmaan rokota tai hoida niirä sekasikiöitä lapsiaan ollenkaan!!! Herää pahvi. Ai nii.. sori jos mä loukkasin sua...hahhahaaaaa!!!! sähan tajuat apina sen että se on niistä "sekasikiöiden" ja puhdasrotusten omistajista kiinni mitä tauteja ne levittää eikä siitä mitä rotuja tai rotua koirassa on.... haloo!!!!
s24:451892a24e2da2982679d985860cc80d	not-identity_attack	Hirtä itsesi, sinä kastematoakin alhaisempi ja hyödöttömämpi ali-ihminen!
s24:62f817803a300a4f19f282bd55e7bcaf	not-identity_attack	Olen omalla kohdallani huomannut parhaan opettajan löytyvän kärsimyksistä, valitettavasti. Ja onhan myös niin, että jokainen kohtaamamme ihminen on opettajamme ja me puolestamme kaikille niille jotka kohtaamme. Uskonnot ovat erinomaisia lähteitä opiskeluun, mutta ensin täytyy herätä se tiedonhalu sisältämme. Kun se on tarpeeksi voimakas, etsimme väsymättä totuutta.
s24:4b9067ea034d7c82fa0421278afdf049	not-identity_attack	Kannatusluvut Arja 24x3v?  Suo nyt anteeksi Arja, mutta nuo mielipiteesi kertovat kyllä paljon kypsyneemmästä iästä.  Äärioikeistolaisuus ei ole synti, mutta kirjoituksesi kertovat huonosta häviäjätyypistä. Lisäksi musta on surkeaa, että naisnimimerkillä räävitään historiamme ensimmäistä naispressaa. Olisko muovinukke pula-aho ollut paree?
s24:59dd6f572e977e55d6fa632ed1b0c915	not-identity_attack	Saako homo pari tulla syömään. Asutaan täs lähellä
s24:2f57487e0d123be11294fe15101071df	not-identity_attack	..suomalaiset köyhät saivat sodanjälkeen ruokapaketteja usa:sta...pirullista porukkaa... muuten annoitteko new Yorleansin uhreille yhtään mitään?....
s24:a7a0f6253689fe47c5f46d23abc22d70	identity_attack	Media tekee roistoista sankareita  Hassan Zupier olikin tyypillinen maahanmuuttaja joita vasemmisto raahaa tänne vallankumousta tekemään.
s24:33ebc2999dcdade984bdf3c00683d25e	not-identity_attack	Eipä kuoltaisikaan. Katsos, jot et tiedä, heterot ne juuri synnyttävät jatkuvasti uusia homoja.
