ID	text	majority	agreement	annotator1	annotator2	annotator3
s24:a80993beb51b87dc69502cbcd22e159d	Paitsi nusittaessa, elvä se. Jos olet liian lihava ja vieläpä homo...ei ei. Sinun täytyy aina maksaa.	not-insult	0.3333333333333333	not-insult	unsure	insult
s24:88d6bda90ec0ed70213eb77b7cacea9b	Missä ovat ne t o d i s t e e s i siitä, että äänestäisi nyt toisin?	not-insult	1.0	not-insult	not-insult	not-insult
s24:5d03d1de7a7ccf2bc664caa765f016d3	Jobbari on muuten yksityinen kauppias ilman y tunnusta eli kusettaja eli taas ja taas YKSITYINEN.	unsure	0.3333333333333333	unsure	not-insult	insult
s24:60e406af184a857a935790fbdda16e47	vaikka olisin sinun mielestä si mikä"lapsen tappaja,verilammikko,murhaaja yms" niin ei paljo hetkauta mitä jossain nettipalstalla kerrotaan.pääasia et itel on paljon hyvii ystävii,jotka ymmärtäisivät aina. mä en ainakaan vois kuvitella huolehtivani lapsesta,kun haluun vielä mennä.mun kotiin ei ole tervetullut vauva,eikä minun ole pakko kantaa ketään kohdussani,sen verran päätän omista asioistani. limainen ihmisenalku ei alenna mua,koska sillä ei ole mitään järkeä koska en aijo huolehtia siitä.koska en halua tässävaiheessa mitään lapsia.ja viimeiseksi sitä kellekkää muulle antaisin.kuka on niin tyhmä,että tehtailis jollekki lapsen,ja kärsis itse kaikki raskausajat.YÖKÖTTÄVÄÄ.en halua olla mikää venyny plussapallo raskauden johdosta.lapsen on turha tunkeutua mun elämään.siispä onneksi käytän ehkäisyä,ettei sitä VIRHEttä tapahtuis.	not-insult	0.6666666666666666	not-insult	not-insult	insult
s24:aec361df24cc3d9f31bce7bf28dc2b0e	Mikä on "säännöllistä" käyttöä?	not-insult	1.0	not-insult	not-insult	not-insult
s24:d9b7d2ca01ed8262b61c3c9e678cb90e	Mikä saavutus, olet halveksittava spermaviemäri!	insult	1.0	insult	insult	insult
s24:41041590064a0ef9fb3b0b8ac7438172	Metsä vastaa niin kuin sinne huudetaan sukurutsari. Sitä saa mitä tilaa tolvana.	insult	1.0	insult	insult	insult
s24:8e80d016d55a5e87afff0c9fb7c1cb60	no eikös siellä ollut joku ruskean reiän ritari,suomeksi homo	insult	0.6666666666666666	insult	unsure	insult
s24:75f880ae409d587a47bb37d6d0b08619	Koska te "suvaitsevaiset" koko ajan haukutte ja pilkkaatte suomalaisia olette te rasisteja. Joka harjoittaa rasismia on rasisti.	insult	0.6666666666666666	insult	not-insult	insult
s24:165988372ad9f3275bdd3983a6c9d421	MUS MUS .....ARGGGGHHHHH. En ihan koko päivää kunhan tässä vain omaksi ilokseni lämmittelen itseäni.......ARRRGGHHHH.....NARSK.	not-insult	1.0	not-insult	not-insult	not-insult
