ID	text	majority	agreement	annotator1	annotator2	annotator3
s24:e454b82928b7635ef5c64efbc42c2396	kyseessä on "Lea" jolla on huomattu olevan aina jonkinmoista kääpiöseropia myynnissä...ilmeisesti tehtailee niitä. Hinnat on ihan törkeitä.  Hitto millä tollaiset saa kuriin!!!!!!	obscene	0.6666666666666666	obscene	obscene	not-obscene
s24:86810a96fb2e1ecb8699c5404f8e8cad	No vittu just niin VITTU!!! Nyt vittu sitä vitun PILLUA!! Muuten ei henki kehity! HUORAT PERKELE!!!	obscene	1.0	obscene	obscene	obscene
s24:9e51d3d6419b0bbb03ae88e6799cf8f5	On sitten oikein tyhmä akka ja vielä rumakin.	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:a8b8feb7acf18ae8aa66fc9d672d3374	en ole sanonut olevani sen kummmempi vittuilija kuinmuutkaan enkä ole...Ja sulle kyllä uskaltaisin,huvittaa tuollaet säälittävät kehitysvammaset ja tyhmät murklkupenmnut,jotka koittaa uhitella...Kyllä mä uskallan,jos on tarvetta,riippuu tietenkin ihmisestä...	obscene	0.6666666666666666	unsure	obscene	obscene
s24:2b9dd304ff5472703186c4699729b3dd	Eihän tuo ole enää ostamista kun halvimmillaan myyjä joutuu maksamaan että saa lähettää pöksyjä.	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:b3dfeac54206980747141aeedcbfe2c3	163 HEPPAA	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:5699e9c7b42d4f5d1c3f79be884a0118	TV:stä pornoa  TV2 esittää parhaillaan päiväaikaan venäläistä saunaohjelmaa missä venäläiset pervot ukot esittelevät kyrpiään. Eikö YLE häpeä koskaan tekemisiään?	obscene	1.0	obscene	obscene	obscene
s24:d377091effef650d4846dcd88e2b4866	Kyllä on ihmisillä sitten älyttömiä stereotypioita! Katkeria taidatte olla kun pitää yleistää kaikki kauniit/komeat aivottomiksi ääliöiksi.	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:944495d33119cc7158e289c7e7ea7b13	ei anna rissiiniöljyä pikkuelukalle,tullis meille paskanen loppu!	obscene	1.0	obscene	obscene	obscene
s24:89c211dbb722615fdc1dc430acd2d645	Onko ilmaisia seksichatteja, joissa on aidosti halukkaita naisia  Tietääkö joku, onko olemassa ilmaisia chatteja, joissa naiset aidosti haluavat seksiseuraa? Yleensä niissä puhutaan suoraan sanottuna pelkkää paskaa. Jos joku tietää, niin laita infoa.	obscene	1.0	obscene	obscene	obscene
s24:b1940efa6e5e3e1bcf834d77e7d41109	hölmö!	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:99fd1efe50d7a9f847dc40867c635b13	private-tyttöjä, ukkos käy ihan varmasti vieraita muijia tuijottelemassa, tuskin pornoleffojakaan vuokrailee!	unsure	0.3333333333333333	unsure	obscene	not-obscene
s24:a40303bdaeec726aa49a6dca60fbcf43	Siitä vaan vapaaksi ... perkele....... JA YKSI HENKILÖ OTTAA VASTUUN TÄSTÄ SITTEN!  KATSOTAAN LÖYTYYKÖ KANTTIA ??  - JOTAIN JÄRKEÄ ON SAATAVA SUOMEN OIKEUSJÄRJESTELMÄÄN .... SUVAKIT NYT TEKEVÄT KAIKKENSA TÄMÄN ROMUTTAMISEKSI !!!	obscene	1.0	obscene	obscene	obscene
s24:4e1e36cd1275419b43036c7b87574ace	Ootko sinä se mies pusikosta joka kirjoittelet tänne....:)?	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:5e1496d2cb805f5e356841ced0a3cd8b	minna* : ymmärsinkö oikein, että jouduit maksamaan exällesi koska firma meni nurin? Hitto, munhan kannattaa sitten laittaa joku hulabaloobisnes pystyyn ja hoitaa se vielä surkeampaan kuntoon kuin vaimollani oleva "yritys"?	not-obscene	0.6666666666666666	obscene	not-obscene	not-obscene
s24:65ebdc0835de9e1a2e20be7604eb813b	Ai Sinä? Just just, kyllähän Sinulle aina lainaa annetaan Skodan korjaukseen.	not-obscene	1.0	not-obscene	not-obscene	not-obscene
s24:ae3752886890d67e9d39677a9f0651dc	Vuxna människor förvränger inte andra människors namn.	REJECT	1.0	REJECT	REJECT	REJECT
