ID	text	majority	agreement	annotator1	annotator2	annotator3
s24:61ee93134da91f37a4505a7daba151ae	Eikö vieläkään vituta vai eikö enää kiinnosta? Nooh, missäs on ne uhoavat savolaiset? Kalpa ei koskaan nouse mitalipeleihin. Hah hah haa...!!!!!!!!	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:ec89f7a4ebc9de186a158a6870b50825	tämä paska. Vittu mikä chatti tää on, aikuiset ihmiset datailee 24/7 täällä.	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:5d4c91dd0d1b77a5a8449c9c523eff3d	Haluan lyödä ja potkia!  Naisia haarojen väliin niin että jalka jää vittuun	severe_toxicity	1.0	severe_toxicity	severe_toxicity	severe_toxicity
s24:ec0ff40bcca677e7c71e9bfcff5662f7	Mitä vittua sä täällä kitiset jostain photoshopista jota useimmat tavalliset ihmiset ei edes käytä? Mee takas Sodat-palstalle itkemään kuinka Ubuntulle ei ole natiivia photoshoppia!	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:4048f430fd8513e69d9a33fb894362b8	Vittu että sä oot tyhmä! Etkö sä osas lukea? Ooksä joku kehari?	severe_toxicity	1.0	severe_toxicity	severe_toxicity	severe_toxicity
s24:47077c6866039a4f38dfa6d7d69c0524	kiihottaa vaan ne reunat:)))) Mikä on se hyödytön nahka läjä vitun ympärillä? Nainen!	severe_toxicity	0.6666666666666666	severe_toxicity	severe_toxicity	not-severe_toxicity
s24:32cc2904b42cb9a757b33870d5a72bb1	Jätä tuollaiset luuserit! Ei niistä äidin pikku vellihousuista mihinkään ole. Munaa ei ole yhtään ei edes housuissa...	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:2f373676747cd3137229ccd555b79500	Ei vittu, lökäpöksyt! Ei vittu teidän kanssa...  Niin vittu, vittu, ei sulla paljon sanottavaa oo..  Kuunnelkaa kunnon HEAVY:ä älkääkä räpätkö paskat pöksyis.  Miksi?  Räppärit yms. lökäpöksyt on ihan helvetin naurettavan näkösiä.  Ootko kelannu et sun pukeutumisesta ajatellaan ihan samlla tavalla....	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:405df25bc976e4f793c60de49669945b	läskithän makaa sohvalla ja juo siideriä ja syö sipsejä. Niillä on isot vitut jotka ovat löysiä ja kaiken lisäksi ihran sisässä nysämulkkujen tavoittamattomissa.	severe_toxicity	0.6666666666666666	severe_toxicity	severe_toxicity	unsure
s24:d20ba8fd2d183158299b5f584d9f9676	Paskan syöminen  Olen joskus nähnyt pornoleffoja, missä nainen tai mies ottaa paksun kakka pökäleen suoraan anaalista suuhunsa. Kiihottaako?	not-severe_toxicity	0.6666666666666666	not-severe_toxicity	severe_toxicity	not-severe_toxicity
s24:abf53d1e8223629fdf1199dd9fcd7f0e	ANNA POMOLLE KENGÄN KUVA PERSEEESEEN ,,JA PIAN!	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:b50998acaac1315259b2b5299f4d7a3f	PEPUN IMESKELIJÄ  saatana ei kuulu joukoon! Tajutkaa jo mm. perkeleen teinit!	not-severe_toxicity	0.6666666666666666	not-severe_toxicity	severe_toxicity	not-severe_toxicity
s24:d98f2eb6735e5031085b6e54ceed0282	puhalla perseeseen kyrpä!	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:60571c969f03722b020107a1cbab6298	Miljoona euroa? Oikeasti, M I L J O O N A euroa? No eihän se ole tyhmä joka pyytää, vaan.. Miljoon euroa?!!? Aika kallista. Lennättää spermat pallista:(	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:9059dfa7d6fd2ad329c233c988772d77	Persujugend har utmärkt sig igen, anmälan för rasism.	REJECT	1.0	REJECT	REJECT	REJECT
s24:ee719374189c50916a10fe0771d310ea	Hullu Amalia, Pidä syyläinen kärsäsi poissa asioista jotka eivät sinulle kuulu ja joista et ymmärrä mitään.	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:612a520975f9edf63730b122f081a11b	Heheh. En ole aloittaja, mutta mistä nämä pellet vetävät aina herneet neään ja raivostustat ja alakvat hakkumaan?  Jotkut vitun apinanörtit jotka läskeineen kiehuu kun ovat erimieltä. Tuokin vastaus aloittajalle kehitysvammaisen tasoa.	severe_toxicity	0.6666666666666666	severe_toxicity	severe_toxicity	unsure
s24:b3291e860e83ac907f174f22e5051c03	Kuvitteletko sä että jonkun ihmisen elämä on kiinni randomien hyväksynnästä? Kato itse peiliin juuri sulla on ne huulitäytteet,hörökorvat ,hiusjatkeet ja naama pakkelissa pyöritetty.Statukses löytyy facebookista tiedetään kuka olet.kade dorka ämmä,nimees en viitsi tässä sanoa.Hanki ihmeessä jotain keskuteluapua katkeruutees ja kato sinne peiliin :D	severe_toxicity	0.6666666666666666	not-severe_toxicity	severe_toxicity	severe_toxicity
s24:c4d8d5e731913c80e23b411988ef0005	ampua akka	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:974a1b8d7747594550a90bae1b55e510	Hoi sieee, mie tuun murhaan siuuuut! Sie varastit miun puukon! Sietäsit kuollaaaaa! Mie oon manneeeee! Hoiiiiii!  Ts. vituttaa mustalaiset. Tämän keskustelupalstan vois lopettaa, ne on kaikki kohta vankilassa eikä siellä saa käyttää nettiä.	not-severe_toxicity	0.3333333333333333	not-severe_toxicity	severe_toxicity	unsure
s24:661ebc172f85b9392315f50c0c686df5	vituttaa tollaset mopoiliat!!! ARGHHHHH	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:10ed587f8f8d71bf8fdfaf9ca19c88d1	Vit-tu, että osaakin olla ruma ämmä!!! :-):-):-)	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:80b9ec1f60ae8d72373c741ea51a4081	16 cm levee!! O.O WHAT HELVET!!!  nyt oot joku trolli...  mun RANTEEN ympärys on 16cm, ja oon MELKEI ALIPAINOINEN!!!!  vastasyntyneenkää reisi on joku 20cm.  PIKKUNENKO VALEHTELIJA TROLLI PASKA HOMO OOT ... -.-  vai tarkotitko nilkaa?? sit se on eri asia...  EI tarvii tulla tänne homoilee, kaikkia vrmaa kiinnostaa ... -.-	unsure	0.3333333333333333	unsure	not-severe_toxicity	severe_toxicity
s24:cc3691330cce90647cf9a4fb33caf9be	Nää on näitä helvetin propaganda artikkeleita... Suomi-autothan ne tosi ruusuja ja kestäviä ja luotettavia on..........niissähän on lisävarusteena veivattavat ikkunat ja ruosteläikät!!!!!!!!Vitun kallis laitattaa lohkolämmitin ja ostaa talvirenkaat.......saa sentään kunnon auton sitten ja se jopa sit suomi varusteltu!!!!!!!!!!	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:6838e70d204aa82bad604521fb0808b4	Ei rumia vanhoja naisia niin vaan edes pysty nussimaan kuin ehkä jotkut hyvin kokeneet panomestarit, mutta nämä taas keskittyvät nuorten kauniiden naisten nussimiseen. Ehkä juuri joku jo ikääntynyt panometari joka ei vanhennuttuaan enää nuorta naista saa saattta nussia jyystä tällaisiakin naisia siksi kun ei ole tottunut tykkänään ilman naisiakaan olemaan.	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:02fce9194a1fa97597c643e6f0a2d904	Äitisi oli varmaan täysi laiskamato, läski ämmä. Makasi aamusta iltaan ja illasta aamuun isäsi omistamassa talossa tekemättä yhtään mitään. Vei rahat isäsi lompakosta avioliiton aikana ja vielä erossa otti tasinkoa.  Parempi on, että et katso naisiin päinkään. Kaikki naiset on samanlaisia loisia, vievät rahat ja tavarat ja jättävät sinut puille paljaille.  Ai niin, sinähän et äitisi kuoltua hänen jättämää perintöä vastaanota, sillä eihän kukaan itseään kunnioittava mies läskin hullun vanhan loisena eläneen ämmän rahoja huoli.	severe_toxicity	1.0	severe_toxicity	severe_toxicity	severe_toxicity
s24:cb888ba7dece709aa06fec0f362d29e4	Kuselle haiseva koleraallas rannassa ja kuseskelevat asukkaat...paska kylä mamuineen ja huumemyyjineen.	severe_toxicity	0.6666666666666666	severe_toxicity	severe_toxicity	not-severe_toxicity
s24:6c70b034c4dae05f46553cf5968ee12a	Tappakaa sitä ennen kuitenkin myös kaikki köyhät, rumat ja sairaat, niin minua ei vituta niin paljon katsella tyhmää kansaanne!"	not-severe_toxicity	0.6666666666666666	not-severe_toxicity	severe_toxicity	not-severe_toxicity
s24:51348703cf2201d91bc7798aea3d29bb	KIRJOITIN IHAN ITTE NÄÄ KAIKKI JA MUL O TENNISKYYNÄRPÄÄ VIIKON. SÄÄLIN ITSEÄNI! tosiasias mul o ollu he****** hauskaa purkaa v*********	not-severe_toxicity	0.6666666666666666	severe_toxicity	not-severe_toxicity	not-severe_toxicity
s24:9e2cd91e0493c4c69a3b3f8501220e17	Antakaa lisää vaan nimii, ei ne kaikki siinä yhdessä viestissä olleet.	not-severe_toxicity	1.0	not-severe_toxicity	not-severe_toxicity	not-severe_toxicity
