ID	text	majority	agreement	annotator1	annotator2	annotator3
s24:bfa2877e5554e7400e808581f470a43b	Saas nähdä kauanko saavat tappaa meitä vääräuskoisia eurooppalaisia koiria, kunnes herätys tapahtuu.	not-threat	1.0	not-threat	not-threat	not-threat
s24:8b838a5e0c26c54aaca530d48f3fbc7d	G: Paljonko raskauskiloja?  Elikkä paljonkos teille on tullut raskauskiloja kustakin lapsesta? Ihan mielenkiinnolla kyselen :)  Meillä yksi lapsi ja kiloja tuli 21. :)	not-threat	1.0	not-threat	not-threat	not-threat
s24:fce2e8873cbdbe33c16ddc775c8be246	HETI HUOLISIT JOS VAIN UKOLLE OIKEESTI KEPAISIT,hah hah haaaaaaa	not-threat	1.0	not-threat	not-threat	not-threat
s24:b05278f0c6ce7e921cbc476f97baab9b	hifk hävis mut ei anneta sem häiritä..NARRIT ON NARREJA!!!vai mitä, hifkiläiset!!!???Lauantaina onkin kova kamppailu turussa..mutta hifki toivottavasti vie pitemmän korren!!!!lähen nimittäin fanimatkaan mukaan tsekkaamaan pullasorsien NÖYRYYTYSTÄ!!!UNOHDETAAN kaikki MATSI JOKEREITA VASTAAN, SEURAAVAX ON HIFKIN VUORO!!!!	not-threat	1.0	not-threat	not-threat	not-threat
s24:775480463ddeed0eba4e587c89077efa	Tiedän kenestä puhutaan ja tiedän hänen touhunsa,hyi helv...i.Mikä teitä nakkkilalaisia vanhenpia vaivaa, vai eikö tyttärienne neitsyys ole pyhä? Vai haluattekko kännisepäisenepäsiistinperäkammaripojan joka lähe s,väkisinmakaa tyttärenne,olisi vävynne? PIDÄ HUOLTA..	not-threat	1.0	not-threat	not-threat	not-threat
s24:25705ae153c8545cd8eb2bb6877e66a5	Toivottavasti karma on bitch kohdallasi, läheisesi menehtyy onnettomuudessa ja sast lukea netistä vastaavanlaisia aivopieruja! Olet tunteeton ja kylmä ihminen, käy sääliksi läheisiäsi!	not-threat	0.6666666666666666	not-threat	not-threat	unsure
s24:522b966ac9d7f6f5412ed103273ed4fe	Tulevat kuolemaan ennen aikojaan...	not-threat	0.6666666666666666	not-threat	not-threat	unsure
s24:2d1a80a83d016ecadbd6d57ad5f18c71	Siperiaan, ilman palautusoikeutta. Täysin turha pelle ja kaiken lisäksi työkyvytön idiootti.	not-threat	1.0	not-threat	not-threat	not-threat
s24:cef7e01415617b9b5107da4f31ca2704	MINÄ EN OLE SANONUT ENKÄ VÄITTÄNYT ETTÄ ASIA MITENKÄÄN KUULUU FEMINISMIIN. KERROIN AINOASTAAN SEN, ETTÄ LUIN ASIASTA SIELLÄ!  SEN SIJAAN SINULLA ON TAPANA KULJEKSIA PERÄSSÄNI JA ESITTÄÄ AINA OUTOJA ITSE KEKSIMIÄSI PÄÄTELMIÄ JA SYYTÖKSIÄ KIRJOITINPA SITTEN MITÄ VAIN.  HELLITÄ JO.	not-threat	1.0	not-threat	not-threat	not-threat
s24:8d6f3d2c9c86df3237b0ced43de343b4	m!nä  m1nä on ihan homo hintti vitun "hauska"... jos vittu ny ei lopu noi sun juttus nii sut bannataa täälä kokonaa kaikista keskusteluista!!!	not-threat	0.6666666666666666	not-threat	not-threat	unsure
s24:0bf9c2c5322a922866ff4eb4baf5ccf2	Ottaisit kovaa kiinni ranteista, painaisit mut allesi liikkumattomaksi, levittäisit polvillasi mun jalkani, purisit mua kaulasta niin että multa melkein loppuis happi... Voi mä haluisin sua niin kovasti... Ja sitten sä..	not-threat	1.0	not-threat	not-threat	not-threat
s24:96c15496a14d9e277f6da58b813e43e5	Sairasta päähänpotkittua raukkaa. Kaikki mitä kokoomus tekee on juuri päinvastoin. Kuvittele sinä vain, sillä eihän luojakaan kiellä suuria ajattelemasta. Kokoomus ei pidä yhtään köyhistä, heti tappavat köyhät nälkään.	not-threat	1.0	not-threat	not-threat	not-threat
s24:93f80594da51a9f8ed8b207ea9280fe2	Nyt turpa kiinni homo^ saatana mitä perkeleen touhua vittu	not-threat	1.0	not-threat	not-threat	not-threat
s24:04b6faa3537ba5b46786729a9b22153b	:DDDDD Kuolen nauruun..oikeesti!! Mahaan sattuu..auttakaa!	not-threat	1.0	not-threat	not-threat	not-threat
s24:5db73e7aecdf0461f1521491bbbf8735	Miten perheväkivalta saadaan loppumaan. Joka kolmas saa turpiinsa ukoltansa säännöllisesti.	not-threat	1.0	not-threat	not-threat	not-threat
s24:b8d3c7e930f66b001bcd164a86b9e15f	Kuinka on, oletko jo työpaikka kiusaamisen uhri kun täällä tollasta paskaa kirjottelet? Ei kukaan ota vakavasti tollasta skeidaa, opettele puolustamaan itseäsi verbaaalisesti äläkkä alistu mihin tahansa. Se on juttu joka toimii, ei se että kirjottelet tänne jotain hei mä tapan kaikki skeidaa. Jos oikeesti tuntuu siltä painu lääkäriin. Kortit jotka tulevat käteen elämässä ovat välillä täyttä kakkaa mutta so? Sellasta se elämä on. Ei siihen puukottelut auta.	not-threat	1.0	not-threat	not-threat	not-threat
s24:d765307ada7484ca601496ae18306c9d	Haluaisin jäädä junan alle.	not-threat	0.6666666666666666	not-threat	not-threat	unsure
s24:93aec0fc4a033d73e7ac33364ae66665	No irakin lippuako ajattelit heiluttaa vai? Ja kuule pelle,minä olen töissä enkä äänestänyt jotain vitun kepua kuten sinä saatanan maanpetturi!	not-threat	1.0	not-threat	not-threat	not-threat
s24:e8010bd84f69f00f406b3bf3a456bbf2	Onneksi Valkoprojektini sai säästettyä tälläkin kertaa henkeni ja tulen tappamaan joka sivistysmaan ei-Neoconnan. Valhevasemmistoa äänestäneetkin lähtevät täältä Ruotsiin ja muslimeille enemmän kuin Minulle valtionkassasta antaneet sossutädit.  3 miljoonaa Suomeen tätä sakkia jää, ja kyllä LiAnd. kuuluu siihen, kuten SofiO. kanssa. MINÄ SANELEN TE TOTTELETTE SUOMALOISET MAAILMAN MUSLIMEISTA PAHIMMAT!  -The Jässikkä & gloubaali Varjohallitus	threat	0.6666666666666666	not-threat	threat	threat
