ID	text	majority	agreement	annotator1	annotator2	annotator3
s24:c8f7283d7025f71ea63569dff4d6a7bf	Hyvää , rauhallista yötä sinulle! Yllä olevan kaltaista mielenhallinta potaskaa, en koskaan kirjoittaisi ja yleisellä palstalla. Kaikki hyvin ! Unta odotellessa.	not-toxicity	0.6666666666666666	not-toxicity	toxicity	not-toxicity
s24:9d6f945956eaac63a7c20982a844db9d	ihan paskapuhetta. Perusteleppa hieman mikisi näin olisi. Viimekesänäkään ei voida puhua keveistä kesätuulista ainakaan heinäkuussa ITÄMERELLÄ. Olin itse siellä ja me purjehdimme useimpina päivänä 10-14 m/s tuulissa. Eiköhän muutenkin miehistö vaikuta minkälaisella purrella on parasta liikkua. Racer/cruiserien ohjaaminen jo tuollaisessa 2 m aallokossa on turhan työlästä perhemiehistölle, jossa käytännössä ruorivuoroja Itämerellä ei jaeta. Bavariat ovat kyllä mielestäni alirikattuja enkä sellaitakaan halua, mutta kyllä on paljon hyviä cruisereita, jossa purjealaa on riittävästi, mutta ei likkaa ja muutkin ominaisuudet on suunniteltu nimen omaan matkapurjehduksen näkökulmasta.	not-toxicity	0.3333333333333333	not-toxicity	unsure	toxicity
s24:55342ca8ce0d352026c8c0e53c70dc8b	Persujen mamu-puputus kyllästyttää  mutta mamu-puputuksen tarkoitus onkin yrittää peitellä sitä että Suomen taloudella menee huonosti. Ilman jatkuvaa velanottoa Suomen kansantalous putoaisi joka vuosi 4-5%:lla. Nyt lisävelalla yritykset, valtio, kunnat, yksityiset ihmiset pungertavat bkt:n ehkä 1%:n kasvuun. Mutta lasku tulee maksuun tuleville ikäluokille.	toxicity	1.0	toxicity	toxicity	toxicity
s24:4ca966fd3197849f902c2ee7f74f2205	Suvakit ja hyysärit haluaa saada lapset omaan aivopesunsa piiriin ajoissa, ettei nämä ota vanhempien omaa arvomaailmaa omakseen. Että silleen.	toxicity	1.0	toxicity	toxicity	toxicity
s24:64844416909031b96232f1d6249d63f6	VIELÄ YKSI ASIA! NÄMÄ EI OLE HENKILÖVAALIT,VAAN PUOLUEVAALIT!!!	not-toxicity	1.0	not-toxicity	not-toxicity	not-toxicity
s24:fa3e78cbbd4d0460c2abc68f274c2596	Halosen aikana on lapsiin ja naisiin kohdistuneet raiskaukset ja lasten hyväksikäytöt lisääntyneet räjähdysmäisesti!  Syynä seta-presidentimme sairaan ja poikkeavan ja sukupuolikäyttäytymisen täydellinen rohkaisu ja hyväksyminen!  Jopa halosen vaalijuhliin on järjestestetty sadomasokistinen esitys, sekä kiitosjuhliin transujen drag-shov, huviksi näille sukupuolisesti sairaille halosen kannattajajille.	toxicity	0.6666666666666666	not-toxicity	toxicity	toxicity
s24:69f91d11bde1a9c2caf24303da88440c	Voihan ihmisiä haukkua tyhmäksi tai muillakin nimikkeillä mutta saatko sinä siitä jotain tyydytystä itsellesi haukkumalla ilman perusteluja?  Perustele asiasi.	not-toxicity	0.6666666666666666	not-toxicity	not-toxicity	unsure
s24:ad6c6e6a2719d3a037134a73d0ad4c8d	Maahanmuuttajille löytyy palvelua, avustajaa ja vierihoitajaa joka käänteessä. Siihen löytyy jos jonkinmoista opastajaa. Vanhuksen todellinen arki ja selviytyminen ei kiinnosta ketään. Siksi äänestän nyt aivan jotain muuta kuin perinteistä demariehdokasta.	not-toxicity	0.6666666666666666	not-toxicity	unsure	not-toxicity
s24:b3ba1cf93f83f502c287c344f09f7a11	Byää! Byää! Jos tulee vammoja, byää! Saatanan tekopyhät paskahousut, itkupillit ja vauvat.  Niitä vammoja EI TULE, jos osoittaa mieltään asiallisesti. Vandalismi, mellakointi ja naamioituminen on merkki siitä että on kusta päässä. Silloin sietääkin tulla vähän ojennusta! Itse saa tehdä mitä vaan, mutta jos kusipäisyydelle pannaan loppu, niin sitten poliisi on paha natsisika. Ai niin, byää. Mielestänne saatte esim. heittää katukivillä poliisia mutta jos teidät otetaan siitä kiinni niin se sitten väärin?  Mellakointi ei ole demokratiaa vaan nyrkkivaltaa. Demokratiassa on osattava käyttäytyä sivistyneesti, avoimesti ja demokraattisesti.	toxicity	1.0	toxicity	toxicity	toxicity
s24:dbf549b827aed581d202200c252648d5	Fundamentalismista  Fundamentalismi on harhakuvitelmaa, jonka mukaan Jumala odottaa ja edellyttää ihmiseltä Kristus-uskon lisäksi uskoa tuhansia vuosia vanhan 1200-sivuisen kirjoitusten kokoelman absoluuttiseen erehtymättömyyteen ja ristiriidattomuuteen. Fundamentalismi on toisin sanoen näkemys ja vakaumus, että usko Kristukseen ei yksin riitä. Fundamentalismi on malliesimerkki opista, josta Paavali kirjoittaa: "Jos joku julistaa teille evankeliumia, joka on vastoin sitä, minkä olette saaneet, hän olkoon kirottu." Edellä sanottuun fundamentalisti toteaa: "Ethän sinä tietäisi Kristuksesta ja Paavalin evankeliumista mitään, jollei sinulla olisi Raamattua." Ja jättää lisäämättä: "Siksi sinun on uskottava KAIKKEEN MUUHUNKIN, mitä Raamattuun on kirjoitettu." Tämä on vasta-argumenttina niin kiero/typerä, että sille on hankala löytää vertailukohtaa. Mutta yritetään. Fundamentalisti on kuin mies, joka inttää: "Luit Kimi Räikkösen maailmanmestaruudesta Helsingin Sanomista. Sinulla ei ole mitään oikeutta uskoa Kimi Räikkösen maailmanmestaruuteen, jollet usko Helsingin Sanomien ja sen edeltäjän Päivälehden absoluuttiseen erehtymättömyyteen ja ristiriidattomuuteen vuodesta 1889 lähtien." Ikään kuin Kimi Räikkösen Ferrarilla vuonna 2007 Brasiliassa voittama maailmanmestaruus olisi jotenkin riippuvainen siitä, kuinka tarkasti ja oikeaan osuvasti kymmenet ja sadat toimittajat ovat asetelleet sanojaan helsinkiläisen sanomalehden toimituksessa esimerkiksi vuosina 1897, 1913, 1929 ja 1963. Vuoden 2007 uutinen Kimi Räikkösen maailmanmestaruudesta on toisin sanoen pelkkää huuhaata, jos joku Hesarin toimittaja teki vuonna 1927 virheen raportoidessaan eduskuntavaaleista. Toinen, vielä idioottimaisempi argumentti kuuluu: "Raamattu julistaa itse olevansa Jumalan Sanaa." Kyseinen virke on monipuolisimmin mieletön lausuma, jonka ihminen on suustaan/näppikseltään päästänyt. Se on sekä valhe että kehäpäätelmä. Ja tällaisten idioottimaisuuksien fundamentalistit kuvittelevat olevan olennainen osa evankeliumia. Ja sitten toki ihmetellään, kun kaiken maailman räsäsiä ja puolimatkoja pidetään hieman tärähtäneinä.	toxicity	1.0	toxicity	toxicity	toxicity
