ID	label	text
s24:61ee93134da91f37a4505a7daba151ae	not-severe_toxicity	Eikö vieläkään vituta vai eikö enää kiinnosta? Nooh, missäs on ne uhoavat savolaiset? Kalpa ei koskaan nouse mitalipeleihin. Hah hah haa...!!!!!!!!
s24:ec89f7a4ebc9de186a158a6870b50825	not-severe_toxicity	tämä paska. Vittu mikä chatti tää on, aikuiset ihmiset datailee 24/7 täällä.
s24:5d4c91dd0d1b77a5a8449c9c523eff3d	severe_toxicity	Haluan lyödä ja potkia!  Naisia haarojen väliin niin että jalka jää vittuun
s24:ec0ff40bcca677e7c71e9bfcff5662f7	not-severe_toxicity	Mitä vittua sä täällä kitiset jostain photoshopista jota useimmat tavalliset ihmiset ei edes käytä? Mee takas Sodat-palstalle itkemään kuinka Ubuntulle ei ole natiivia photoshoppia!
s24:4048f430fd8513e69d9a33fb894362b8	severe_toxicity	Vittu että sä oot tyhmä! Etkö sä osas lukea? Ooksä joku kehari?
s24:47077c6866039a4f38dfa6d7d69c0524	severe_toxicity	kiihottaa vaan ne reunat:)))) Mikä on se hyödytön nahka läjä vitun ympärillä? Nainen!
s24:32cc2904b42cb9a757b33870d5a72bb1	not-severe_toxicity	Jätä tuollaiset luuserit! Ei niistä äidin pikku vellihousuista mihinkään ole. Munaa ei ole yhtään ei edes housuissa...
s24:2f373676747cd3137229ccd555b79500	not-severe_toxicity	Ei vittu, lökäpöksyt! Ei vittu teidän kanssa...  Niin vittu, vittu, ei sulla paljon sanottavaa oo..  Kuunnelkaa kunnon HEAVY:ä älkääkä räpätkö paskat pöksyis.  Miksi?  Räppärit yms. lökäpöksyt on ihan helvetin naurettavan näkösiä.  Ootko kelannu et sun pukeutumisesta ajatellaan ihan samlla tavalla....
s24:405df25bc976e4f793c60de49669945b	severe_toxicity	läskithän makaa sohvalla ja juo siideriä ja syö sipsejä. Niillä on isot vitut jotka ovat löysiä ja kaiken lisäksi ihran sisässä nysämulkkujen tavoittamattomissa.
s24:abf53d1e8223629fdf1199dd9fcd7f0e	not-severe_toxicity	ANNA POMOLLE KENGÄN KUVA PERSEEESEEN ,,JA PIAN!
s24:d98f2eb6735e5031085b6e54ceed0282	not-severe_toxicity	puhalla perseeseen kyrpä!
s24:60571c969f03722b020107a1cbab6298	not-severe_toxicity	Miljoona euroa? Oikeasti, M I L J O O N A euroa? No eihän se ole tyhmä joka pyytää, vaan.. Miljoon euroa?!!? Aika kallista. Lennättää spermat pallista:(
s24:ee719374189c50916a10fe0771d310ea	not-severe_toxicity	Hullu Amalia, Pidä syyläinen kärsäsi poissa asioista jotka eivät sinulle kuulu ja joista et ymmärrä mitään.
s24:612a520975f9edf63730b122f081a11b	severe_toxicity	Heheh. En ole aloittaja, mutta mistä nämä pellet vetävät aina herneet neään ja raivostustat ja alakvat hakkumaan?  Jotkut vitun apinanörtit jotka läskeineen kiehuu kun ovat erimieltä. Tuokin vastaus aloittajalle kehitysvammaisen tasoa.
s24:c4d8d5e731913c80e23b411988ef0005	not-severe_toxicity	ampua akka
s24:974a1b8d7747594550a90bae1b55e510	severe_toxicity	Hoi sieee, mie tuun murhaan siuuuut! Sie varastit miun puukon! Sietäsit kuollaaaaa! Mie oon manneeeee! Hoiiiiii!  Ts. vituttaa mustalaiset. Tämän keskustelupalstan vois lopettaa, ne on kaikki kohta vankilassa eikä siellä saa käyttää nettiä.
s24:661ebc172f85b9392315f50c0c686df5	not-severe_toxicity	vituttaa tollaset mopoiliat!!! ARGHHHHH
s24:10ed587f8f8d71bf8fdfaf9ca19c88d1	not-severe_toxicity	Vit-tu, että osaakin olla ruma ämmä!!! :-):-):-)
s24:80b9ec1f60ae8d72373c741ea51a4081	not-severe_toxicity	16 cm levee!! O.O WHAT HELVET!!!  nyt oot joku trolli...  mun RANTEEN ympärys on 16cm, ja oon MELKEI ALIPAINOINEN!!!!  vastasyntyneenkää reisi on joku 20cm.  PIKKUNENKO VALEHTELIJA TROLLI PASKA HOMO OOT ... -.-  vai tarkotitko nilkaa?? sit se on eri asia...  EI tarvii tulla tänne homoilee, kaikkia vrmaa kiinnostaa ... -.-
s24:cc3691330cce90647cf9a4fb33caf9be	not-severe_toxicity	Nää on näitä helvetin propaganda artikkeleita... Suomi-autothan ne tosi ruusuja ja kestäviä ja luotettavia on..........niissähän on lisävarusteena veivattavat ikkunat ja ruosteläikät!!!!!!!!Vitun kallis laitattaa lohkolämmitin ja ostaa talvirenkaat.......saa sentään kunnon auton sitten ja se jopa sit suomi varusteltu!!!!!!!!!!
s24:6838e70d204aa82bad604521fb0808b4	not-severe_toxicity	Ei rumia vanhoja naisia niin vaan edes pysty nussimaan kuin ehkä jotkut hyvin kokeneet panomestarit, mutta nämä taas keskittyvät nuorten kauniiden naisten nussimiseen. Ehkä juuri joku jo ikääntynyt panometari joka ei vanhennuttuaan enää nuorta naista saa saattta nussia jyystä tällaisiakin naisia siksi kun ei ole tottunut tykkänään ilman naisiakaan olemaan.
s24:02fce9194a1fa97597c643e6f0a2d904	severe_toxicity	Äitisi oli varmaan täysi laiskamato, läski ämmä. Makasi aamusta iltaan ja illasta aamuun isäsi omistamassa talossa tekemättä yhtään mitään. Vei rahat isäsi lompakosta avioliiton aikana ja vielä erossa otti tasinkoa.  Parempi on, että et katso naisiin päinkään. Kaikki naiset on samanlaisia loisia, vievät rahat ja tavarat ja jättävät sinut puille paljaille.  Ai niin, sinähän et äitisi kuoltua hänen jättämää perintöä vastaanota, sillä eihän kukaan itseään kunnioittava mies läskin hullun vanhan loisena eläneen ämmän rahoja huoli.
s24:51348703cf2201d91bc7798aea3d29bb	not-severe_toxicity	KIRJOITIN IHAN ITTE NÄÄ KAIKKI JA MUL O TENNISKYYNÄRPÄÄ VIIKON. SÄÄLIN ITSEÄNI! tosiasias mul o ollu he****** hauskaa purkaa v*********
s24:9e2cd91e0493c4c69a3b3f8501220e17	not-severe_toxicity	Antakaa lisää vaan nimii, ei ne kaikki siinä yhdessä viestissä olleet.
