TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
1 	 29 	 0 	 5
0 	 23 	 1 	 4
0 	 21 	 0 	 15
3 	 24 	 0 	 13
3 	 15 	 3 	 12
1 	 22 	 0 	 8
7 	 11 	 0 	 15
9 	 8 	 7 	 6
17 	 4 	 4 	 8
0 	 39 	 0 	 5
2 	 27 	 0 	 9
0 	 20 	 1 	 9
1 	 17 	 1 	 18
1 	 19 	 2 	 9
6 	 17 	 5 	 9
7 	 13 	 6 	 10
12 	 10 	 9 	 5
11 	 11 	 12 	 0
26 	 1 	 9 	 1
0 	 44 	 0 	 2
6 	 26 	 4 	 5
5 	 23 	 4 	 5
8 	 22 	 6 	 5
11 	 14 	 11 	 4
11 	 13 	 12 	 2
16 	 8 	 15 	 2
20 	 9 	 7 	 3
31 	 2 	 7 	 0
28 	 3 	 9 	 1
0 	 47 	 0 	 0
0 	 43 	 2 	 0
0 	 39 	 1 	 2
0 	 32 	 2 	 1
0 	 33 	 4 	 1
0 	 24 	 2 	 5
0 	 22 	 3 	 4
1 	 25 	 8 	 1
1 	 16 	 8 	 1
4 	 8 	 14 	 0
0 	 47 	 0 	 0
0 	 42 	 1 	 2
0 	 43 	 1 	 1
1 	 38 	 3 	 1
0 	 40 	 2 	 2
1 	 42 	 1 	 3
1 	 33 	 3 	 4
2 	 37 	 1 	 5
2 	 30 	 4 	 4
5 	 18 	 9 	 8
0 	 40 	 0 	 1
8 	 9 	 3 	 8
3 	 17 	 9 	 6
14 	 7 	 7 	 3
6 	 13 	 12 	 4
8 	 10 	 12 	 5
17 	 5 	 6 	 2
10 	 4 	 15 	 2
21 	 4 	 10 	 0
35 	 1 	 6 	 1
