TP 	 TN 	 FP 	 FN
0 	 645702 	 0 	 14037
14037 	 407073 	 0 	 70185
0 	 322851 	 14037 	 56148
0 	 294777 	 0 	 210555
42111 	 336888 	 0 	 182481
42111 	 224592 	 28074 	 168444
14037 	 308814 	 0 	 112296
98259 	 154407 	 0 	 210555
112296 	 126333 	 84222 	 98259
196518 	 70185 	 42111 	 154407
0 	 547443 	 0 	 70185
28074 	 378999 	 0 	 126333
0 	 280740 	 14037 	 126333
14037 	 238629 	 14037 	 252666
14037 	 280740 	 14037 	 126333
70185 	 266703 	 42111 	 140370
98259 	 182481 	 84222 	 140370
168444 	 140370 	 126333 	 70185
126333 	 182481 	 140370 	 28074
350925 	 14037 	 126333 	 28074
0 	 617628 	 0 	 28074
70185 	 364962 	 56148 	 84222
70185 	 336888 	 42111 	 70185
98259 	 336888 	 56148 	 84222
154407 	 238629 	 112296 	 56148
140370 	 182481 	 168444 	 42111
224592 	 140370 	 182481 	 28074
252666 	 126333 	 98259 	 70185
393036 	 28074 	 98259 	 42111
393036 	 56148 	 112296 	 14037
0 	 659739 	 0 	 0
0 	 617628 	 14037 	 0
0 	 547443 	 14037 	 28074
0 	 449184 	 28074 	 14037
0 	 491295 	 28074 	 14037
0 	 350925 	 14037 	 70185
0 	 308814 	 42111 	 56148
14037 	 393036 	 70185 	 14037
0 	 238629 	 98259 	 28074
56148 	 126333 	 182481 	 0
0 	 659739 	 0 	 0
0 	 589554 	 14037 	 28074
0 	 603591 	 14037 	 14037
14037 	 533406 	 42111 	 14037
0 	 561480 	 28074 	 28074
14037 	 603591 	 0 	 42111
0 	 463221 	 42111 	 70185
28074 	 519369 	 14037 	 70185
14037 	 421110 	 56148 	 70185
70185 	 252666 	 126333 	 112296
0 	 561480 	 0 	 14037
98259 	 126333 	 42111 	 126333
42111 	 252666 	 112296 	 84222
182481 	 98259 	 98259 	 56148
70185 	 182481 	 168444 	 70185
112296 	 182481 	 126333 	 70185
224592 	 70185 	 84222 	 42111
126333 	 70185 	 196518 	 42111
294777 	 70185 	 126333 	 0
491295 	 14037 	 84222 	 14037
