s24:2b9dd304ff5472703186c4699729b3dd 	 not-obscene 	 Eihän tuo ole enää ostamista kun halvimmillaan myyjä joutuu maksamaan että saa lähettää pöksyjä. 	 0.0006468940991908312
s24:89c211dbb722615fdc1dc430acd2d645 	 obscene 	 Onko ilmaisia seksichatteja, joissa on aidosti halukkaita naisia  Tietääkö joku, onko olemassa ilmaisia chatteja, joissa naiset aidosti haluavat seksiseuraa? Yleensä niissä puhutaan suoraan sanottuna pelkkää paskaa. Jos joku tietää, niin laita infoa. 	 0.4084610641002655
s24:c6178c1bc0fb4ab8228d16652a0295a1 	 not-obscene 	 Jos ajatus kiihottaa sinua, niin why not? Muista vain kertoa naiselle omat rajasi ja varmista, että hän kunnioittaa niitä. Olet saattanut löytää elämäsi dominan. 	 0.0009669315768405795
s24:8f314e6135f4e4e52f344466b41e920c 	 not-obscene 	 homo 	 0.6617079973220825
s24:4d2987dddcd46001aabac0fd1b8f975f 	 not-obscene 	 Roskaa eli pakkoruotsia HOMOJEN HOMMOO VERORAHOJEN SURMAA 	 0.8875814080238342
s24:7a0b97bde361f850b0c5e0ee6cc98699 	 obscene 	 Mihin ihmeeseen sinä pyrit kyselemällä tyhjänpäiväisyyksiä, jonka vastaukset nyt jo tietää etukäteen.  Käytännössä suurin este on riippuvuus jonkun pillun saannista, joka ei niin vaan muutakaan mukana. Tosin tätä riippuvuutta ei niin kovin usein suoraan mainosteta. 	 0.37654224038124084
s24:83f0b57151ad12a48bdec37715c4b8a5 	 obscene 	 Mitä teen...  Mulla on 15 v lämppäri tamma. se ootta nyt varsaa. sen taka polvet on ihan paskana ja sitä ei siis voi enää liikuttaa. Mitä mun pitäs tehä? laitanko sen teuraaksi vai annanko vanheta täällä. sillä ei oo kipuja, mut jotkut vaan on sanonu, et heppojen taivaasee. ite rakastan sitä mielettömästi, enkä haluis. voiko heppa olla onnellinen ilman työtä varsansa kanssa? 	 0.06276366859674454
s24:43d5804c68772b6aeaa0d0c0d7b34fb3 	 not-obscene 	 "VASEMMISTOLAISET ,MUSLIMIEN JUOKSUPOIKIA !!!!  VIHER-VASEMMISTOLAISET ajavat tietämättään tai tyhmyyttään MUSLIMIEN JA ISLAMIN asiaa ja laajenemista !!!! Muslimit nauraa miten saavat höynäytettyä näitä into ""SUVAITSEVAISIA"" ." 	 0.243861123919487
s24:5bd281cc69877fcbb2893920a20ad253 	 not-obscene 	 mullekin mummo valitti mutta löin turpaan 	 0.06580594927072525
s24:5bd281cc69877fcbb2893920a20ad253 	 not-obscene 	 mullekin mummo valitti mutta löin turpaan 	 0.06580594927072525
s24:954c291d8da98fa3095b585c10284ead 	 not-obscene 	 Nyyh... viimeiset niitit, kompastelut,  idioottimaisuudet, hiippariripelot, jatkuvat siivoamiset...  Byäääääh, kun on surkeaa...  Ja mä vaan ikävöin... 	 0.2907574474811554
