s24:86810a96fb2e1ecb8699c5404f8e8cad 	 obscene 	 No vittu just niin VITTU!!! Nyt vittu sitä vitun PILLUA!! Muuten ei henki kehity! HUORAT PERKELE!!! 	 0.996758759021759
s24:86810a96fb2e1ecb8699c5404f8e8cad 	 obscene 	 No vittu just niin VITTU!!! Nyt vittu sitä vitun PILLUA!! Muuten ei henki kehity! HUORAT PERKELE!!! 	 0.996758759021759
s24:9e51d3d6419b0bbb03ae88e6799cf8f5 	 not-obscene 	 On sitten oikein tyhmä akka ja vielä rumakin. 	 0.8377293348312378
s24:a8b8feb7acf18ae8aa66fc9d672d3374 	 obscene 	 en ole sanonut olevani sen kummmempi vittuilija kuinmuutkaan enkä ole...Ja sulle kyllä uskaltaisin,huvittaa tuollaet säälittävät kehitysvammaset ja tyhmät murklkupenmnut,jotka koittaa uhitella...Kyllä mä uskallan,jos on tarvetta,riippuu tietenkin ihmisestä... 	 0.9484622478485107
s24:dcae3176fe3febaade7373092821ad49 	 obscene 	 Sellutehtaalla on porilaisia töissä! Ja vitut. Yksikään porissa asuva ja raumalla töissä käyvä ei ole porilainen vaan hylkiö persereikä jota ei porissa kaivata.näin on. 	 0.9671178460121155
s24:7837d1d3609b76457b8acb778e7f946c 	 obscene 	 Tänä vielä: suksi vittuun ja joudu kadotukseen! Sinne pääset ilman minunkin sadatuksia. Toivottavasti hukut pahuuteesi. Pikku paska. 	 0.9924707412719727
s24:321df2c7e83492fc6a16bd9b29b4071f 	 obscene 	 "Oikeessa oot, ei sormenpäässä, vaan kyrvänpäässä.. Se että olin vähänaikaa pois, niin anteeks, lupaan olla aktiivisempi. AP:N juttu, että akat vertailee jotain kaljabaarin deekuja, ei vaikuta oikein hyvältä...millaisia ""dooriksia"" nää mahtaakaan olla??!!" 	 0.09070384502410889
s24:681c5a3eb601e3b7efe55f68e62d1c6b 	 obscene 	 Kovana mutta ei runkkaamista  Katsooko kuin moni pornoa yms sellaista joka kiihottaa ja pitää munan esillä mutta ei runkkaa? Välillä teen itse niin tai korkeintaan vedän esarin vaan alas.. 	 0.9013960361480713
s24:6773284f91de68dc1583aa23cfab61d7 	 obscene 	 Hän oin kuin Odin, jolla syntyy ääniä persäsuolessa kaverin pannessa häntä. 	 0.041587576270103455
s24:a9b6b8b9e38835f3f2621b17a5bb80a0 	 obscene 	 Elokuva halosesta tehtiin verovaroilla ?  Halonen käyttäytyi kuten muutkin kommunistijohtajat.  Paskasakkia. 	 0.9167460799217224
s24:1216c994b81198050662af232c099539 	 not-obscene 	 Vähäpoika taas vitisee omiaan! 	 0.004755865782499313
s24:9881bce5c9420ca802754c1a3ecb8d36 	 obscene 	 Nussintaa autokorjaamolla  Anna muutamalle vakio asiakkaalle perää ja naisille munaa, Korjaamon varastossa on hyvä ollut käydä nussittavana ja kiihko on kova.  Kiinnijäämisenruski lisää kiihkoa 	 0.9590005278587341
s24:44baf85b8191deeebcee1d755131897c 	 obscene 	 Ei sulle pellelle tullut mieleen, että kyselen siksi, kun siellä ei ole paristoja. Vitun vaikee katsoa. 	 0.9789102673530579
s24:e27399673387ea11dfe8256c2ec4bbd8 	 not-obscene 	 sinähän alat oppia, sinä kirjoitat jo melkein kuin Iso Persu !  HIENOA !!! 	 0.9806622862815857
s24:813b928347ff0d5a895020dd3b5f5611 	 obscene 	 Kerran olen kännissä himomoinnut kaverin muijaa. Mitä tein, no panin tietenkin! Vitutti jälkeenpäin, ei se mitä tein kaverille, vaan oli niin helvetin ruma eukko. 	 0.9797835350036621
s24:0b8fe0ac11b42a175821b39aeb7553b1 	 not-obscene 	 musta se taas on ihan sikahuono!! 	 0.03222636505961418
s24:417528493265fde5cca813c89b14d5b3 	 not-obscene 	 Persu taas öyhöttää. Onko kaljaa taas nuppi täynnä? 	 0.956156849861145
s24:e0497fa80dc215cea912df5a9787ff6b 	 not-obscene 	 mahdollisuudet saada vaiika hiv. Toivon et miehes ei sitä saa, se et sinä saat niin se olisi ihan oikein sulle. Jos tartutat sukupuolitaudin miehees olet tosi sika. Kaikki sun kaltaisesi pettäjät ovat rottia, mitkä pitäisi myrkyttää pois päiviltä. 	 0.7690539360046387
s24:73c5cbf641a6ab7bc018ba95756f332d 	 obscene 	 voi vittu sentään,nuo kaikki minuuttitaksaiset ovat täyttä ihmisten kusetusta.Ainoa millä on vihjeissä järkeä on vetoguru ja sen ei tarvikaan rahastaa soittajilta saatanallisia minuuttimaksuja,vaan niillä on kiinteä ja halpa kertamaksu.Kyllähän tuon nyt tajuaa tyhmempikin ! 	 0.9863054752349854
s24:4d94a4150602e824656b8e5c6c94a628 	 not-obscene 	 Nef.fe on typerä. 	 0.9329524040222168
s24:5574cdd714a1a1475080bdf002ecbeae 	 obscene 	 No toivottavasti Mestari voittaa niin todistuu väitteeni kaltaisillesi kusipäillekin. 	 0.9510567784309387
s24:84fa9e814718cb76c163c2f44b1d2c25 	 obscene 	 "joo ja sä varmaan tiiät rapista jotain.....et vittu varmaan paskaakaan.toi pikkug on villitys....kun kaikki tytöt kuunelee sitä ku ""se o nii söpö(hihihi)""." 	 0.9859619736671448
s24:ea16793c77a0e541a207514df4756ba4 	 obscene 	 Ettekö te nyt saatana osaa edes taivuttaa sanoja oikein, mikä vitun linuxset... kielioppi kehiin ja todistamaan jos on sitä mieltä että noin taipuisi... eikö kalskahda edes korvaan? 	 0.9912658333778381
s24:00ba2730b15177468047eefb432cec8c 	 not-obscene 	 kyrönpoika jallittaa ja pitää muka pihdeissöä, mutta kyllä silti herrana on hyvä olla. 	 0.0031595597974956036
s24:67b547fcbc0f337edb08d63576c3b9c2 	 obscene 	 "Hyi vittu kun  Kuppanen äijä kuolaamassa ruudun ääres. Joo, justiinsa joo, paras sanomaan kuka on kaunein? Pitäs järkätä kisa kuka on kuppasin ukko netissä? Tiedän jo voittajan, se on ""pulinat pois""." 	 0.9905517101287842
s24:6a60dcf585911f80636d820abbf13db9 	 obscene 	 Ketään ei kiinnosta. Jos se että palstan suurin kusipää menee sinne kertoo fiksummille sen että kannattaa etsiä muuta tekemistä. 	 0.8707945942878723
s24:75516d79cdff702e5e221e92bd746126 	 not-obscene 	 Miks naiset kuolaa  perään? 	 0.1866477131843567
s24:c4228711332c742e3d23eebd969ca591 	 not-obscene 	 ääliö.. 	 0.9461365938186646
s24:5281713bc12c470ddc00f43700744c09 	 obscene 	 no voi persesuti  mikä sen tunnarin nimi on joka pyörii madventures ohjelmassa (ohjelma joka näkyy subtveellä). 	 0.9547845125198364
