s24:47077c6866039a4f38dfa6d7d69c0524 	 severe_toxicity 	 kiihottaa vaan ne reunat:)))) Mikä on se hyödytön nahka läjä vitun ympärillä? Nainen! 	 0.42035454511642456
s24:cc3691330cce90647cf9a4fb33caf9be 	 not-severe_toxicity 	 Nää on näitä helvetin propaganda artikkeleita... Suomi-autothan ne tosi ruusuja ja kestäviä ja luotettavia on..........niissähän on lisävarusteena veivattavat ikkunat ja ruosteläikät!!!!!!!!Vitun kallis laitattaa lohkolämmitin ja ostaa talvirenkaat.......saa sentään kunnon auton sitten ja se jopa sit suomi varusteltu!!!!!!!!!! 	 0.09289908409118652
s24:f975bfe0b8aa2f919a624d42b3a1dd40 	 not-severe_toxicity 	 vaikee jättää sellane vitun kaittis 	 0.34816470742225647
s24:83bce9104c30280441fcd34e82232ae5 	 not-severe_toxicity 	 Vituttaa, niin perkeleesti. Sanonko mikä? 	 0.09230881184339523
s24:7ee9d8c61e2b2ae0d01649d1abe6be15 	 not-severe_toxicity 	 ämmän vuoksi. Ei minkään muun.. A-mies. 	 0.030069565400481224
s24:a372b0f7b1f9076078ca0c1a8be5ccdc 	 not-severe_toxicity 	 Haluaisitko vaihtaa konkurssissa omaisuutensa ja perheensäkin menettäneen luottokelvottoman yrittäjän kanssa roolia??  Jotkut perkeleet ovat niin vitun tyhmiä että eivät muista mitä tuolloin tapahtui.  Kuten sinä. 	 0.09055276215076447
s24:3a7e04a08350be29fbea19c7428f912a 	 not-severe_toxicity 	 on sitten mennyt sullakin sekaisin käsitteet. Teini ei ole lapsi. Lapset eivät ole kiimassa, nuoret ovat kiimassa.  Pedofiili on lapsiin sekaantuja. Pedofiili ei sekaannu teinivittuun. Sellainen on pedofiilille liian aikuinen jos tajuat faktat nyt pönttöpetteri.  Terveisiä akallesi. 	 0.06029341369867325
s24:20fffbb1bc9a0f7d8d771b59079da0b7 	 not-severe_toxicity 	 Mikä VITUN welan verkko? En ole koskaan kuullutkaan. 	 0.12747998535633087
s24:c60f783e2636e3676d8b8ba146dcfdfd 	 not-severe_toxicity 	 Voi vittu mitä paskaa 	 0.8368851542472839
s24:c190df88f4be9396d624f92dd02445e8 	 not-severe_toxicity 	 Jos sulle suuseksissä tulee karvoja suuhun ja siksi haluat posliinin, olet suuseksihommassa uusavuton. Kyse on siitä, että haluat olla posliin kanssa siksi, että olet kykenemätön kehittämään omia suuseksitaitojasi niin ettei niitä karvoja tule suuhun. Soisit kumppanillesi itsemääräämisoikeuden omaan alapäähänsä.  Mulle on sama onko kumppanilla luomupuska, trimmattu tai posliini, koska se on hänen itsemääräämisoikeutensa eli annan kaikkien kukkien kukkia. Samoin toivon hänen myös suhtautuvan mun itsemääräämisoikeuteeni onasta alapäästäni. Kyllä mullekin aikoinaan tuli muutama karva suuhun, mutta opettelin suuseksin salot niin ettei sitä tapahdu eli en ollut uusavuttomana tumput suorassa vaatimassa tiettyä alapääulkonäköä. 	 0.033505503088235855
s24:08bf3a1c9bd3633e8db823573612e344 	 not-severe_toxicity 	 Kamajeppejä vartenko treenaat sekä räkänokkaluuseteitta? Vittu hei, heitä spaddu tai tulee lättyyn. 	 0.1483526974916458
s24:d735f7dcbe140a5372834ccca4d5a423 	 not-severe_toxicity 	 "Anarkistit on paskaa ei tarvitte olla ""kova jätkä"" eikä houdini tuon nähdäkseen. Vai ""imeä tuttia"", olen tehnyt perkele työuraa lähes 40 vuotta elämässäni, ja tuollainen perkeleen ituhippi alkaa hyppimään silmille, kukahan sitä tuttia imee, anarkistit, ovat yhteiskunnan viruksia." 	 0.05517575144767761
s24:68573de9e4af472be2667f57defdacce 	 not-severe_toxicity 	 Siis, ite ensiksi siistin saksilla(hiustenleikkuu) ja voi vittuku oli terävät, kyrvän yläpuolelta sain suht paljon leikeltyy. Alko kasseissa pitkät karvat ärsyttämään, joten päätin nekin sitten leikata SAKSILLA, Ja ai vittujen vittuku lähti pikku slaissi kasseista vahingossa, sattu nii perkeleesti. Eli en tuota suosittele :) ! 	 0.14242084324359894
s24:ebf36bac0fb4b4aa7c4348c8f172f766 	 not-severe_toxicity 	 PANTU ON JA PALJON  Vituttaa kun ukko tai miehet ei saa orkkua millään aina pakko panna perseeseen, onko mitään keinoa itse treenaa lähes joka päivä mutta väljyyttä en saa pois,olen kyllä jakanut tavaraani helposti mutta ei kaise käytöstä kulu?terv sipoo sudet 	 0.5303430557250977
s24:8ead96003b1e742aec7374a60bbb1f80 	 not-severe_toxicity 	 Vittu naiset on sairaita kun rakastuvat murhaaja jännämiehiin. 	 0.685470700263977
s24:81e74d9250545614199cc6bac6398aff 	 not-severe_toxicity 	 VASEMMISTO HOMMASI SUOMEEN  8H TYÖPÄIVÄT JA VAPAAT VIIKONLOPUT! JOS KOKOOMUS PORVARIEN OLISI ANNETTU RIEHUA VAPAASTI SINÄ TEKISIT VIELÄKIN 12H TYÖPÄIVIÄ JA MYÖS LAUANTAINA! 	 0.00025837443536147475
s24:2a7261ab6211570335025935d14c9a1c 	 not-severe_toxicity 	 homostelotiin remppamiesten kanssa  bullshit 	 0.06026585027575493
s24:b6e0b073cf967ad973488ccd4ca9ff9d 	 not-severe_toxicity 	 miksi turhaan pitäisi??? vitun hölmö 	 0.6925362944602966
s24:1e4dfb7694359fac65c758984587c468 	 not-severe_toxicity 	 Saatanan limanuljaska skampäk! 	 0.006746686063706875
s24:eb28c1f95c5b1e75d2f97afdbd3e6929 	 not-severe_toxicity 	 vai oliko se AD-HD? Vittu mikä nauru homppelilla. 	 0.2848956882953644
s24:4d0738a8a9e4f51ef39f4a03fd4a2402 	 severe_toxicity 	 Matu raiskaa se vain on kylmä totuus, eikö se mene suvakkien kusiseen päähän, suvakit ruokkii näitä maturaiskaajia, eikä tunnu omaa tuntoo vaivavaan,,, ehkä sitten kun kolahtaa omaan nilkkaan,, 	 0.0007296802941709757
s24:eba160c9c4a39d5f86f5936a7c2b0c2b 	 not-severe_toxicity 	 "Ei mulla muuta kun et onneksi mulla ei ole lapsia. Mä varmaan tappaisin jokaisen puolikaljun oksettavan pedofiilin joka katsoisi mun lasta ""sillä silmällä""!!  Voiko enää mitään vastenmielisempää ollakaan kun nämä ala ikäisistä tytöistä haaveilevat perverssit neitsytsedät!?!  Lopettakaa se nettiporno . Menkää kirkkoon ja rukoilkaa sairaitten halujenne puolesta. Jumala kyllä kuulee ja antaa anteeksi ja poistaa halut! Jollette sitten rukoile itsellenne oman ikäistä puolisoa." 	 0.018662182614207268
s24:80ce97e799850c0bbc6ab0ad4ee62443 	 not-severe_toxicity 	 Saat imeä kullia jos haluat huomenna törmällä iltapäivällä 	 0.6198489665985107
s24:fb996601606380d629b77881fe12be39 	 not-severe_toxicity 	 PS. Aika vitun urpoja ootte kaikki :DD vastailette 8 vuotta vanhaan otsikkoon :DDDDDDDDDDDDDDDD tai sit mä oon vaan urpo ja puhun ei-kellekkään.. 	 0.21608063578605652
s24:88c059682337db3d3215ecc096417e09 	 not-severe_toxicity 	 Hyppää ny äkkiä kaivoon tai sinne helvetin CHÄTTIIS äläkä valita... 	 0.03821013495326042
s24:88c059682337db3d3215ecc096417e09 	 not-severe_toxicity 	 Hyppää ny äkkiä kaivoon tai sinne helvetin CHÄTTIIS äläkä valita... 	 0.03821013495326042
