TP 	 TN 	 FP 	 FN
0 	 645702 	 0 	 14037
0 	 378999 	 28074 	 84222
14037 	 336888 	 0 	 42111
0 	 280740 	 14037 	 210555
28074 	 280740 	 56148 	 196518
70185 	 238629 	 14037 	 140370
28074 	 252666 	 56148 	 98259
84222 	 98259 	 56148 	 224592
112296 	 126333 	 84222 	 98259
168444 	 84222 	 28074 	 182481
0 	 547443 	 0 	 70185
14037 	 336888 	 42111 	 140370
28074 	 238629 	 56148 	 98259
70185 	 168444 	 84222 	 196518
70185 	 210555 	 84222 	 70185
98259 	 224592 	 84222 	 112296
84222 	 140370 	 126333 	 154407
126333 	 168444 	 98259 	 112296
126333 	 154407 	 168444 	 28074
336888 	 14037 	 126333 	 42111
0 	 617628 	 0 	 28074
28074 	 421110 	 0 	 126333
28074 	 364962 	 14037 	 112296
42111 	 364962 	 28074 	 140370
28074 	 252666 	 98259 	 182481
56148 	 210555 	 140370 	 126333
84222 	 196518 	 126333 	 168444
168444 	 168444 	 56148 	 154407
280740 	 56148 	 70185 	 154407
350925 	 70185 	 98259 	 56148
0 	 659739 	 0 	 0
0 	 631665 	 0 	 0
0 	 505332 	 56148 	 28074
0 	 463221 	 14037 	 14037
0 	 449184 	 70185 	 14037
14037 	 322851 	 42111 	 56148
14037 	 266703 	 84222 	 42111
14037 	 266703 	 196518 	 14037
0 	 210555 	 126333 	 28074
56148 	 140370 	 168444 	 0
0 	 659739 	 0 	 0
0 	 589554 	 14037 	 28074
0 	 589554 	 28074 	 14037
0 	 547443 	 28074 	 28074
0 	 547443 	 42111 	 28074
14037 	 575517 	 28074 	 42111
14037 	 421110 	 84222 	 56148
14037 	 463221 	 70185 	 84222
28074 	 322851 	 154407 	 56148
98259 	 154407 	 224592 	 84222
0 	 561480 	 0 	 14037
28074 	 168444 	 0 	 196518
0 	 336888 	 28074 	 126333
70185 	 182481 	 14037 	 168444
14037 	 280740 	 70185 	 126333
28074 	 280740 	 28074 	 154407
84222 	 126333 	 28074 	 182481
42111 	 252666 	 14037 	 126333
168444 	 140370 	 56148 	 126333
449184 	 42111 	 56148 	 56148
