s24:2b9dd304ff5472703186c4699729b3dd 	 not-obscene 	 Eihän tuo ole enää ostamista kun halvimmillaan myyjä joutuu maksamaan että saa lähettää pöksyjä. 	 0.6901288032531738
s24:89c211dbb722615fdc1dc430acd2d645 	 obscene 	 Onko ilmaisia seksichatteja, joissa on aidosti halukkaita naisia  Tietääkö joku, onko olemassa ilmaisia chatteja, joissa naiset aidosti haluavat seksiseuraa? Yleensä niissä puhutaan suoraan sanottuna pelkkää paskaa. Jos joku tietää, niin laita infoa. 	 0.645161509513855
s24:c6178c1bc0fb4ab8228d16652a0295a1 	 not-obscene 	 Jos ajatus kiihottaa sinua, niin why not? Muista vain kertoa naiselle omat rajasi ja varmista, että hän kunnioittaa niitä. Olet saattanut löytää elämäsi dominan. 	 0.6284157633781433
s24:8f314e6135f4e4e52f344466b41e920c 	 not-obscene 	 homo 	 0.6587250828742981
s24:4d2987dddcd46001aabac0fd1b8f975f 	 not-obscene 	 Roskaa eli pakkoruotsia HOMOJEN HOMMOO VERORAHOJEN SURMAA 	 0.6401160359382629
s24:7a0b97bde361f850b0c5e0ee6cc98699 	 obscene 	 Mihin ihmeeseen sinä pyrit kyselemällä tyhjänpäiväisyyksiä, jonka vastaukset nyt jo tietää etukäteen.  Käytännössä suurin este on riippuvuus jonkun pillun saannista, joka ei niin vaan muutakaan mukana. Tosin tätä riippuvuutta ei niin kovin usein suoraan mainosteta. 	 0.6738944053649902
s24:83f0b57151ad12a48bdec37715c4b8a5 	 obscene 	 Mitä teen...  Mulla on 15 v lämppäri tamma. se ootta nyt varsaa. sen taka polvet on ihan paskana ja sitä ei siis voi enää liikuttaa. Mitä mun pitäs tehä? laitanko sen teuraaksi vai annanko vanheta täällä. sillä ei oo kipuja, mut jotkut vaan on sanonu, et heppojen taivaasee. ite rakastan sitä mielettömästi, enkä haluis. voiko heppa olla onnellinen ilman työtä varsansa kanssa? 	 0.6625100374221802
s24:43d5804c68772b6aeaa0d0c0d7b34fb3 	 not-obscene 	 "VASEMMISTOLAISET ,MUSLIMIEN JUOKSUPOIKIA !!!!  VIHER-VASEMMISTOLAISET ajavat tietämättään tai tyhmyyttään MUSLIMIEN JA ISLAMIN asiaa ja laajenemista !!!! Muslimit nauraa miten saavat höynäytettyä näitä into ""SUVAITSEVAISIA"" ." 	 0.6825913190841675
s24:5bd281cc69877fcbb2893920a20ad253 	 not-obscene 	 mullekin mummo valitti mutta löin turpaan 	 0.6043471693992615
s24:954c291d8da98fa3095b585c10284ead 	 not-obscene 	 Nyyh... viimeiset niitit, kompastelut,  idioottimaisuudet, hiippariripelot, jatkuvat siivoamiset...  Byäääääh, kun on surkeaa...  Ja mä vaan ikävöin... 	 0.6830006837844849
s24:75d3b49f2ba822b293180ebc9e97a1d5 	 not-obscene 	 En usko että kukaan asiaa puolusta on hakkaamassa PUITA, vaan risukkoa ! vesakkoa ! täysin joutavaa pajupensaikkoa !!! älä kommentoi, jos et ymmärrä mitä asialla tarkoitetaan. JUNTTI ! 	 0.6974191665649414
s24:d32db4e40db183d8cce03f3a9c33e2fe 	 obscene 	 Mikä epäilyksen siemen? Vieläpä suuri. Mitä paskaa sinäkin jauhat täällä? 	 0.6758846044540405
s24:21d5baddc082df3758a7b095b71c9928 	 not-obscene 	 niin ja lisäksi paljastit olevasi RAUKKA SINKKU 	 0.6593227386474609
s24:e5630228171babd55266eb4cf6b1b9f1 	 obscene 	 hankalaa  Hitto oon niin ihastunut yhteen mieheen, joka on kaikin puolin täydellinen. Mutta en voi koskaan saada häntä. Sydän kipristelee, kun häntä ajattelen. Miksi ihastun aina niihin, jotka ovat varattuja tai muuten vaan ulottumattomissa, mutta perässä roikkuu muutama mies, joista en taas itse ole kiinnostunut :( 	 0.6208652257919312
s24:786ed080e5cfe846bb26c1818b2b7a95 	 obscene 	 Ei paskapaperullanvaihto 5 sekuntia voi maksaa 15 euroa. Sen pitää kuulua peruspakettiin ilman eri veloitusta. 	 0.6281340718269348
s24:5cf81d9ccb0a35f0cdfb03f5b2a5ec2e 	 obscene 	 Eikös se ole sanonta että tyhmällä on halvat huvit ?  Omaan tyhmyyteensä moni kompastuu ja helv4ettiin joutuu? 	 0.6314038634300232
