TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
0 	 29 	 0 	 6
0 	 23 	 0 	 4
0 	 21 	 0 	 15
0 	 24 	 0 	 16
15 	 0 	 18 	 0
9 	 0 	 21 	 0
22 	 0 	 10 	 0
15 	 0 	 14 	 0
25 	 0 	 8 	 0
0 	 39 	 0 	 5
0 	 26 	 0 	 11
0 	 21 	 0 	 9
0 	 18 	 0 	 19
0 	 21 	 0 	 10
14 	 0 	 22 	 0
17 	 0 	 19 	 0
17 	 0 	 18 	 0
11 	 0 	 21 	 0
26 	 0 	 10 	 0
0 	 44 	 0 	 2
0 	 30 	 0 	 11
0 	 27 	 0 	 10
0 	 27 	 0 	 13
0 	 24 	 0 	 15
13 	 0 	 25 	 0
18 	 0 	 21 	 0
23 	 0 	 16 	 0
31 	 0 	 9 	 0
28 	 0 	 12 	 0
0 	 47 	 0 	 0
0 	 44 	 0 	 0
0 	 37 	 0 	 2
0 	 32 	 0 	 1
0 	 36 	 0 	 1
5 	 0 	 26 	 0
4 	 0 	 24 	 0
2 	 0 	 31 	 0
2 	 0 	 24 	 0
4 	 0 	 21 	 0
0 	 47 	 0 	 0
0 	 41 	 0 	 2
0 	 42 	 0 	 1
0 	 40 	 0 	 2
0 	 41 	 0 	 2
4 	 0 	 41 	 0
5 	 0 	 35 	 0
6 	 0 	 34 	 0
6 	 0 	 34 	 0
12 	 0 	 26 	 0
0 	 40 	 0 	 1
0 	 13 	 0 	 16
0 	 26 	 0 	 9
0 	 14 	 0 	 17
0 	 25 	 0 	 10
13 	 0 	 22 	 0
19 	 0 	 11 	 0
12 	 0 	 18 	 0
21 	 0 	 14 	 0
33 	 0 	 7 	 0
