s24:aec361df24cc3d9f31bce7bf28dc2b0e 	 not-insult 	 "Mikä on ""säännöllistä"" käyttöä?" 	 0.0002660074969753623
s24:c0769a6e43a6ff1e70bcadf6efa93002 	 not-insult 	 Lykkyä tykö ja kaikkea hyvää teille! 	 0.0007989724399521947
s24:5ff05d5f0cc0dec542258d8ca300398a 	 not-insult 	 Minullakin on pari Ladaa palanut kun bensaa on lentänyt kuumalle moottorille. Ei kunnon autoissa ole tällaisia ongelmia. 	 0.006290423683822155
s24:3702be41e00090489a3b3e9a633c33e7 	 not-insult 	 Käytän nekin rahat mieluummin johonkin muuhun. Olen mieluummin vaikka koirani kanssa kun kattelen kännisiä ihmisiä. Talvella matka on myös este, lähin bussipysäkki puolen kilometrin päässä enkä halua yöllä yksin kävellä edes sieltä kotia. Mieluummin nukun yöni hyvin:). 	 0.00376419210806489
s24:c0be56f1488c62e95e63d88857fb6619 	 not-insult 	 ...mukavaa?  Tietty 2 henkilöä / 2 mopoa vielä hauskempaa. 	 0.0002885459107346833
s24:453018b90039455b61254dc92f85ef2c 	 not-insult 	 No siis jos et ole liikuntaa harrastanut vähään aikaan, on tuo treeniohjelma todella vaativa ja hyvin helposti unohdat sen parin viikon pakottamisen jälkeen. Lisäksi noin suurella liikuntamäärällä ja noin vähällä syömisellä olet hyvin pian todella väsynyt ja aliravittu, et tule jaksamaan ja voi olla että sohva houkuttaa pian enemmän kuin treenit. Lisäksi jos aloitat liikunnan liian rankalla ohjelmalla, ei kroppasikaan siitä tykkää. Vastaan panee siis mieli, väsymys ja oma kehosi. Kuulostaako se mielestäsi hyvältä yhtälöltä?  Liikunnan aloittaminen kannattaa tehdä maltillisesti, suurin vaikutus on joka tapauksessa ruokavaliollasi. Kolme treenikertaa viikossa on todella hyvä suoritus alkuun, kannattaa aloittaa siitä. Pidä liikuntapäivä vaikka maanantaisin, keskiviikkoisin ja perjantaisin kuukauden ajan. Näin et jätä liikuntaa välistä minkään tekosyyn varjolla, liikkumisesta tulee tapa etkä aloita liian rankasti. Kehosi tottuu liikkumiseen hiljalleen ja voit myöhemmin lisätä treenien määrää. Kuitenkin olet varannut laihtumiseesi pari vuotta aikaa, joten sinulla ei ole mikään kiire polttaa kynttilää molemmista päistä loppuun. Suosittelisin vierailemaan salillasi ja juttelemaan liikunnanohjaajan kanssa, hän osaa suositella sinulle hyvää aloitustreeniohjelmaa.  Harvemmin kukaan kuitenkaan laihtuu pelkällä liikunnalla, joten oikeanlainen ravinto on tärkeää. Myös tarpeeksi ruokaa pitää syödä. Kannattaa syödä mahdollisimman puhdasta, itsetehtyä ruokaa, ja suosia kasviksia. 180 senttiselle kaverille ei 1500 kilokaloria tule riittämään mihinkään, varsinkin jos haluat lihaksiakin kasvattaa. Mitä jos pitäisit ruokapäiväkirjaa nykyisistä syömisistäsi, ja laskisit tarkkaan nyt saamasi energiamäärän? Ruokavaliomuutos kannattaa myös aloittaa hitaasti ja tehdä vedenjuonnista ja oikeista valinnoista tapa. Jos kaiken yrittää muuttaa kerralla, voi vastaan tulla ylitsepääsemätön henkinen seinä joka haluaa vain vanhat tavat takaisin.  Vain sinä itse päätät mitä sinä syöt, se on ainoa asia tässä maailmassa mitä pystyt oikeasti kontrolloimaan. Kehoa kannattaa kuunnella ja sitä kannattaa kohdella hyvin. Sinä olet itsesi paras ystävä, joten koita katsoa itseäsi ulkopuolisen näkökulmasta. Itselle ei kannata olla liian ankara, vaan kannustaa itseä ja iloita pienistä saavutuksista. Kun itseään alkaa arvostamaan ja kannustamaan ja näkemään ne hyvät puolet, kroppakin alkaa voida paremmin. Painonpudotus ei ole vain ulkoinen muutos, sinä tulet muuttumaan myös sisältä.  Toivon sinulle kaikkea hyvää ja onnea elämänmuutoksellesi.  Terveisin,  tuntematon internettuttavuus 	 0.001857735333032906
s24:eaca093456a3eee33bd7a270b022377f 	 not-insult 	 Se on kyllä varmaa jo ettei hän joka sydämeni valloitti kaipaa minua.. 	 0.000517488457262516
s24:e441999ba305eb1c54b5076b9e961650 	 insult 	 Leso pelle, ei tosta ollut kyse ja tiedät sen itekin. Mut kiva että oot ylpeä itestäs, arvostan kykyjäsi. 	 0.007072616834193468
s24:1da168cb015cdf5f8ee76eb5582ec528 	 not-insult 	 Mitäs jos joku hyväksyykin sut sellaisena kuin olet? Oletko ollut jo niin kauan yksin, että ajattelet kaikista noin, ettei kukaan hyväksy sua ja jaksa olla sun kanssa? 	 0.004947774577885866
s24:ee37681d40d96e2d5d0457fe8d8334ab 	 not-insult 	 Tracker päivittää sijainnin vain tunnin välein. Tuolla tarkkuudella tarkasteltuna jälki jo voi oikaista näkyvästi todelliseen verrattuna. 	 0.00027508364291861653
s24:ecb53cbb6e3700209c4d8aa9412d0e42 	 not-insult 	 tuli käytyä kerran vuodessa, kuten kaikkien muidenkin. Sen jälkeen olen käynyt n. 1,5 - 2 vuoden välein. On sovittu hammaslääkärin kanssa, että lähettävät automaattisesti kutsun. Joillakin paikkakunnilla tuo voi kunnallisella puolella olla vaikea järjestää resurssipulan/ asiakkaiden määrän takia. Omalla paikkakunnallani systeemi kuitenkin toimii. Yksityisellä asioidessa onnistunee muuallakin hyvin.  Pidän tärkeänä säännöllistä käyntiä ja hampaiden tarkistusta. Vaikka eivät käynnit reikiä estä syntymästä. Ainakaan minulla. Vaikuttaahan hampaiden kuntoon pesun lisäksi ravinto (sekä ulkopuolelta kulutuksena että elimistön hyvinvoinnin kautta) jaterveydentilakin. Minulla on kuiva suu ja se on osasyy hampaideni reikiintymiseen (suun kosteus- ja ph-taso eivät ole hampaiden kannalta ihanteelliset).  Yksi ystävistäni käy nykyään n. 5-6 vuoden välein, jos tuntuu jotain vaivoja. Reikiä ei kuitenkaan juuri ole ollut ja suu on kunnossa. Eli tasan ei mene onnen lahjat. Hänellä olisi vieläpä varaa käydä vuosittain yksityiselläkin, mutta minulla tekee joskus tiukkaa käydä kunnallisessakaan. 	 0.0002622405590955168
s24:7ef5872cfa10d85f03fba5831f146bdc 	 not-insult 	 tällä palstalla saa ja mitä ei saa kirjoittaa. Älkää olko alkeisvoimien orjia ja alaisia!  Monikohan ihan sormea nostamalla sitä heristelee. 	 0.0019450864056125283
s24:0000e19e4dc27c4055689eaced20fd47 	 not-insult 	 miksi sitä verkkopiuhaa ei sitten voi käyttää? 	 0.0002608496288303286
s24:1102695d8887cb846bbff276b6fd9977 	 not-insult 	 Juu, kahteen otteeseen. 	 0.0002600802981760353
s24:25441c7e6ca0d599758dfd869967f332 	 not-insult 	 Budjetoi kaikki menot ja tulot. Jos et saa viivan alle jäämään tarpeeksi, ota selvää pankin eri rahoitus vaihtoehdoista. Maksat pois kaikki ne nuoruuden hölmöilysi yhdellä lainalla jota sitten lyhennät sulle sopivammin pankkiin. Meillä tämä auttoi. Lisäksi mieti arkea, missä voisit säästää rahaa vielä. Se on ainoa keino. Ei ole oikotietä onneen. Senverran voin sanoa tuosta ulosotosta et ei se maailmanloppu ole, mutta kalliikksi tulee ja eroon pääseminen on vaikeata ilma apua. Tsemppiä. :) 	 0.000547854055184871
s24:bc7b49931c4cb2bb7157365f6b172cec 	 not-insult 	 "Ennen loppuvernissan levittämistä maalauksen on oltava täysin kuiva. Mm. maalikerroksen paksuudesta riippuen siihen menee vähintään 6-12 kk. Jos levittää loppuvernissan liian aikaisin, saattaa pinta lähteä kuoriutumaan maalauksesta. Tarkoittaako tuo ""puuvillainen"" puuvillaa tai pellavaa, vai halpakauppojen muovikangasta? Jos pohja muovia, maalaus tuskin kuivuu koskaan.  Kyllä taulun voi viedä kehystettäväksi, mutta kannattaa se kuljettaa varoen, ettei maalipinta vioitu. Ei se kehystämössä pölyynny sen kummemmin kuin kotonakaan. Mutta kannattaa huomauttaa, että pinta on vielä tuore." 	 0.0002685422368813306
s24:7d8d605d6abb16942644ac0d765e11f8 	 not-insult 	 Kuuluu vanhan meijerin ja myllyn ohella kiistattomasti samaan miljööseen;D.Antaa Euro-sepille hommat niin lähtee valitukset välittömästi menemään.Euro-sepistä voitaisiin tehdä tuleva valtiovarainministeri. 	 0.0002605247718747705
s24:cc3da5f8c33b386df8ff28ca8ae5b97c 	 not-insult 	 Onhan miehelläkin ruumiinosa nimeltä rinta, johon syöpäkasvain voi pesiytyä. Mutta mites asetut taloksi naisen eturauhaseen??  Katukuvan pissikset ovat erittäin tärkeä tasa-arvoaskel. Pojathan ovat kautta aikojen kuseskelleet pientareille, joten tyttöjen oli korkea aika tehdä seuraa. Tosin pissis-nimitys on toistaiseksi sukupuolisesti erotteleva, mutta käsite neutraloituu nopeasti kuin virtsa kesäsateessa. 	 0.049642693251371384
s24:f8434091188e164fa38be9ad8b875569 	 insult 	 "En Michaelia koska pedofiilit ja muut rikolliset aina kiistää rikoksen...  Et usko Michaelia koska hän kiistää rikoksen? Pitäisikö syyttömien sitten myöntää syyllisyytensä että sinunkaltaiset idiootit uskoisivat heidän olevan syytön??  ""Pedofiililla on monesti vielä tapana jotenkin syyllistää lasta tapahtumasta. "" Näytäpä virallinen dokumentti jossa Michael syyttää lasta tapahtumasta?! Enpä ole moista vielä nähnyt... vanhemmat tässä ovat syyllisiä,ei lapsi. Tässä tapauksessa lapsen oma isäkin sanoo että äiti on ""unstable"", eikä usko syytteisiin pätkääkään.  ""Sen he osaavat, joten siihen että Michael kiistää teon, ei ehkä kannata luottaa."" No hyvä että itsekin tajusit, ettei kiistäminen vielä merkitse sitä että olisi teon tehnyt!!  ""Todisteet puhuu puolestaan, samoin useat huhut vuosien varrella."" Huonosti on sullakin pullat uunissa, itse olen kuullut huhuja että ahdistelet eläimiä. Kyllä minä nyt ennemmin huhuja uskon kuin faktoja... Äly hoi älä jätä... Kerrotko vielä mitä todisteita näistä jutuista on olemassa (ja lähteet mistä olet tiedon saanut), niis sit voidaan aloittaa ihan järkevä keskustelu aiheesta.  Ihan pienenä vinkkinä, jos tekstissäsi olisi pätkääkään faktaa niin sustakin sais fiksumman kuvan." 	 0.07095973938703537
s24:a8b566e66e8d3112886daeb6a5880c42 	 not-insult 	 Sinäpä sen sanoit! Työssäni saanut tutustua eri ihmisiin joilla on eri kulttuuri ja taustat ja hekin ovat ihmisiä. Samanlaisia ihmisiä kuin mekin. Miksi tappaa omaa lajiamme... 	 0.005775893572717905
s24:06c95c83713c6009e1f46477926bec86 	 not-insult 	 Koska aivot ovat vastaanotin, niin niiden pitää olla tietenkin täysin kunnossa. Epäkunnossa oleva vastaanotin ei voi toimia.  No miksi sitten monilla ihmisillä ne ovat epäkunnossa jo syntyestä lähtien? 	 0.0010838514426723123
s24:02a275d528115d9de54e435c5a842946 	 not-insult 	 Liittokokouksia, suviseuroja, lentopalloturnauksia, sprinttihiihtoja, häitä ja hautajaisia. Eivätkö nämä päättäjien jo ennen rakentamista luvatut tapahtumat ole ideoita? 	 0.0002749192644841969
s24:2892d8bdac3fd0c8fc44046f5ecfbfc3 	 not-insult 	 Kerropa vielä, La isla bonita, kuinka paljon Kanarian saarilla on canarioita, paljonko espanjalaisia, paljonko etelä-amerikkalaisia, argentiinalaisia ja paljonko muita eurooppalaisia. Odotan vastausta! 	 0.00025978314806707203
s24:d219382b853c9c2189853e2fb10a1084 	 not-insult 	 Todisteena toistuvuudesta... 	 0.00026652641827240586
s24:bbba159bbf1f7608d754756bf1bcf2ce 	 not-insult 	 Itsekin olen Kuopioon muuttamassa keväällä. Tosin Kuopion baarit ovat tulleet tutuiksi. Moni tuossa ketjussa tuntuu mainostavan Divaa. Diva on 20v paikka, jossa suurin osa alle tuon. Mutta jostain syystä silti siellä useimmiten viihdyn, vaikka olenkin 22. Ja kaveriporukkani on kaikki yli 20. K-18 nimimessä baarissa taitaa olla loput alle 20v tyypit.  Mutta jos bänbejä on sattuu olemaan Puikkarissa niin ainaki sillo sinne kannattaa suunnata. Henkka on keskustassa hyvä! Ja Giglin Marlin (tais olla jopa 24 raja).  Tietty riippuu sun iästäs... 	 0.00026332493871450424
s24:b1f5d1ba3cf6f16ef992b7ddb4d529e7 	 not-insult 	 Kun Israelin Jumalasta on kyse niin helvettiin ei oel alaikärajaa.  Sinne joutuvat pärstäkertoimen perusteella ne jotka eivät mielistele. 	 0.006289971061050892
s24:bddd123d4eaaafe905a84feaddd61df6 	 not-insult 	 Venäläisten koulutyttöjen suosikkiammatti kyselyss  oli prostituoitu suurimmalla osalla. Olikohan peräti 75% hujakoilla, muistaako joku tarkan lukeman? 	 0.012432674877345562
s24:019e5c3bb2057c82f772991c5cf718b8 	 not-insult 	 Olihan taas luettelo miehellä.Kaikki hommat sujuu ammattimieheltä rutiinilla.Nuo kaikki mainitsemasi työtehtävät ovat upotettu kuljettajan selkärankaan eikä ne aiheuta minkäänlaista päänvaivaa.Pitkään pakettijakelussa ollut ystäväni lähti jäteautonkuljettajaksi.Teki sitä työtä puoli vuotta ja tuli takaisin perusjakelutyöhön.Hän sanoi :jätehommassa tulee pöpiksi kun ei tapaa ketään ihmisiä yksin vaan puurretaan takapihoilla.Se on sitten sellainen yksinäisen miehen työ arvon pakettiautomaatti.Puhut aina helposta työstä joka on pönttöjen tyhjennys.Kyllä minun mielestäni jätekonttien ajo kaatopaikalle on se kaikisten kevyin ja mukavin työ.Siinä ei edes talvi ole haittana.Prismasta kontti kyytiin ja tyhjennys ja takaisin paikoilleen.Monesti vielä mukavasti lämpöisessä hallissa.Kysynkin pakettiautomaatilta miksi jätekonttien kuskaus ei mukavien töiden no 1 ja siirtolavojen kuljetus no:2 	 0.000745633093174547
