s24:41041590064a0ef9fb3b0b8ac7438172 	 insult 	 Metsä vastaa niin kuin sinne huudetaan sukurutsari. Sitä saa mitä tilaa tolvana. 	 0.24135436117649078
s24:79f20b2305c55c62a06ddba8535290ae 	 not-insult 	 syyllinen on pelien tarjoaja joka kynii säälittä kaikki jotka erehtyvät pelaamaan kuvitellen voittavansa. 	 0.2708026170730591
s24:526a3113ace2d79ded231f66eb8c9ac2 	 insult 	 Minkälaisen luuserin kakkoseksi olet päätynyt? Mies viettää vaimon pakottamana joulua perheensä kanssa ja ajattelee sinua? Etkö parempaa miestä löydä? Jos mies ei halua viettää joulua perheensä kanssa, eikö hänen ihan itse aikuisena ihmisenä pitäisi hoitaa asiat siten, että saisi viettää nautinnollisen ja haluamansa joulun. Ja toivottavasti et vastaa, ettet häntä omaksesi edes halua. En nimittäin sitä edes tarkoita. Miehen - ja naisten - pitäisi tehdä omat ratkaisunsa eikä roikkua löysässä hirressä, kun eivät parempaankaan pysty.  Jos olet miesystävällesi Ihminen, pyydä häntä tekemään elämässään ratkaisut siltä pohjalta, että kerranhan täällä vain eletään. Jos mies kökkii eukkonsa vahdittavana vaikkapa lapsilla kiristäminen takia, jätä mokoma luuseri. Sellaisesta miehestä ei voi olla pitemmän päälle kuin harmia. 	 0.26808807253837585
s24:3b468216f98c9d1261babca2e950eb67 	 not-insult 	 Tee kympistä palautus usb tikku tai polta dvd ja poista koko paska :) 	 0.20027022063732147
s24:6637c0f82c9a4396f0fe2b03ddc3f22d 	 insult 	 Pyhäselässä tehtiin mielipidekysely,kun puolueväki ei uskaltanut järjestää äänestystä. Kyselyn tulos oli liitosta vastaan selvin luvuin,mutta puolueväki kannatti liitosta siitä hulimatta. Tämä oli selvä petos ja petos on rikollista toimintaa. Siitä syystä kuntaliitosta ei olisi pitänyt mitenkään toteuttaa. Kyllä kansa taas kerran tiesi miten marjat on. Petkuttajat jo vihdoin vastaamaan tekosistaan. Miksi idiootit johtavat kuntia? 	 0.2771563231945038
s24:d3bd687813cfc868b566f9f1aaf33f48 	 insult 	 Ei kiinnosta. Taidat olla narsisti kun tuollaista suuruusharhaa elättelet ja itsees nostatat. 	 0.23413221538066864
s24:d7cb9367b17f6d57e4e4474d0217b1ea 	 insult 	 se vanhanaikasen kömpelön näkönen rumilus kesäks nevalle töihin ni katotaan miten pärjäät henkisesti ja taloudellisesti 	 0.23197562992572784
s24:a4cbd686b883aaf43aee2f1b3b6a6d78 	 not-insult 	 ihan selvää tuunausta, diovmorffin pakonomaista mulkun hiplausta, ei muuta :-> 	 0.22394971549510956
s24:20981b70267d756b39359c6c2908b605 	 insult 	 "Kuinka tää kaikki paska täällä liittyi Tietotekniikka > Apua aloitteleville asiaan ? Yks ""hörhö"" aloittaa ja muut pässit laumassa mukana." 	 0.2557469606399536
s24:5f86cf1a76a7c4d0640c71506642a56e 	 not-insult 	 narsistit on semmosia.ei niit kiinnosta kun oma hanuri. hyvä että pääsit siitä eroon. koita pitää puoles....kyl se päivä viel sullekkin alkaa paistaa. 	 0.24230900406837463
s24:871d761daece2f48456f99398815ac7d 	 not-insult 	 Tiimari on ihan saatanan kova firma. Ne äijät takoo rahaa pikkukamalla ja loistavalla logistiikkakonseptillaan. Suosittelen, oikeesti, pienistä puroista se iso joki ja niin edelleen. 	 0.25100329518318176
s24:4ca36d981fa497fec1628573cb444a5b 	 not-insult 	 Miten nuorten miesten pitäsi suhtautua kypsiin kuolaaviin leideihin? Kun heille sanoo ei, alkaa homottelu, rääkyminen, uhkailu ja kiristyis. Nuorimies on leidien mielestä lähennellyt ja ahdistellut. Jos tämä ei auta , nuorimies on yrittänyt raiskata ja saa uhkauksen poliisille ilmoittamisesta ellei taivu leidin seuralaiseksi. 	 0.2336694449186325
s24:20a254bb9c9368fd3aedc1a0a0bce808 	 not-insult 	 Härski teko kepusetämiehiltä käyttää kulmunia Rinteen ajojahtiin. 	 0.21166060864925385
s24:1832fee632a094ee2fda341612922393 	 not-insult 	 Sido parin kilon painoinen kivi kumpaankin palliisi riippumaan jos tunnet että pallisi ovat liian pienet ja kevyet. 	 0.26213037967681885
s24:fc17e7a4d90d52a418fd10b49c66493f 	 insult 	 Jos maahantulijat ovat rasisteja,kai tiedätte miten he käyttäytyvät. Joten miksi minun pitää sietää moukkia,häh?. Minun sivistykseni mukaan he ovat ITSE niitä rasisteja.He voivat lähteä pois niin sivistys palasi. 	 0.22754140198230743
s24:c85f109b8e9b4f4d2d5b9643b79b8bc8 	 not-insult 	 Oletko paukuttanut rouvan penaalia kun noin hyvin tiedät 	 0.21637381613254547
s24:57ddb4b0270233eb8c65e436b6362102 	 not-insult 	 Sporttinen! Kiinteät pyöreät pakarat ja isot tissit on parasta! Ja jos vielä hoikka vatsa niin avot. 	 0.22510398924350739
