s24:93f80594da51a9f8ed8b207ea9280fe2 	 not-threat 	 Nyt turpa kiinni homo^ saatana mitä perkeleen touhua vittu 	 0.11245229095220566
s24:31ac9994f149d92f31604ad09c421dc5 	 not-threat 	 sekava ja sokkeloinen kuin musliminaisen vittu. 	 0.1394871324300766
s24:3e9021bff5b92ebb2b60e2248770b0e0 	 not-threat 	 sohtaaja123 kusipää homo  kusipää homo :DDDDDDDDD 	 0.16546015441417694
s24:0fa070fdf2a854bad7c27da64a9147ee 	 not-threat 	 GO Orpo ja Niinistö! Saadaan matuja ja Nato Suomeen!! 	 0.13499191403388977
s24:867a9ee5892201e23d6fdf919d041857 	 not-threat 	 Hätätila uhrit julkisuutta  HÄTÄTILA JULKISUUTA TV LEHDISTÖ  POLISI APUA!!!!APUA!!!LAPSET RYÖTETÄÄN KOTOA!!!  PERÄTÖN SOS TOIMINTA!!! 	 0.16788886487483978
s24:0860de07cb03de3fd8484743ed9f39cb 	 not-threat 	 eI KAI TÄSSÄ MIKÄÄN HAISE TUNTUU VAAN OLEVAN PULAA NOISTA SIIVOOJISTA MEINAAN ISOMMISSAKIN FIRMOISSA 	 0.12111768871545792
s24:22539ef8c09f5ead9e28f5f10f781d6c 	 not-threat 	 Vitun ääliöt! Tottakai siitä tuli rangaistus poliisille. Oli sitten liian lyhyt tai pitkä tuomio, jokainen saa olla mitä mieltä haluaa. Jos poliisi on raiskannnut jonkun niin tarkoittaako se että kaikki poliisit on raiskaajia? Jos kirvesmies raiskaa jonkun tarkoittaako se että minun rakennusfirma kaatu kun työntekijäni ovat pedofiileja ja raiskareita ja heihin ei voi luottaa? Onko suomessa tuomiot muutenkaam oikeuden mukaisia? Yleensä virkamies tuomitaan ankarammin hänen asemansa takia. Se ei ole lieventävä seikka jos on poliisi ja tuomio ei olisi muuttumut miksikää vaikka raiskaaja olisi ollut vaikka bussikuski, korkeintaan alaspäin ja oikeushan sen päättää mikä on sopiva rangaistus sinne toimitttujen todistajien ja tutkintamateriaalin perusteella. Enkä usko että kyseinen henkilö on enää kovin suosittu poliisien keskuudessa elikkä ei apuja sieltäkään. Vittuilessaanko tänne tuollaista paskaa kirjotetaan.En puollusta raiskaajia mutta Jos teillä liikkuu oikeasti näin vähän päässä, että saatte kaikki poliisit muuttumaan raiskareiksi, voitte minun puolesta HYPÄTÄ KAIVOON! 	 0.1080748587846756
s24:05f63a9c4914ab51710fb1aac6737fac 	 not-threat 	 Kumpa ME demarit voittais  sitten ME rauhassa saamme ollavaan, ei patisteltas töihin ja ME pilkatas vaan homostella irstaillas niiden tyhmien kustannuksella, jotka tyotä tekee.  niin ja ME pannaan kepulit ja kokkareet ruoskallaselkää töihin ne on työnteot kesinnetki. 	 0.12182055413722992
s24:3b1b109337d0a6abfbe0dd65d4b77a91 	 not-threat 	 Anonyymi nyt tulit minun henkilökohtaiselle itsemääräämisoikeuden rajalle😤TÄSSÄ MENEE RAJA!  Eiköhän seksuaalisen suuntautumisen määrittely ole ihan minun henkilökohtainen asia! Siihen ei ole kenelläkään ulkopuolisella mitään sanomista! Minun seksuaalinen suuntautuminen on minun henkilökohtainen itsemäärittely/ itsrmääräämis oikeuteni!  Nyt tiedän joltain osin miltä homoseksuaaleista on kautta historian tuntunut, kun heidän seksuaalisuuttaan parjataan, sörkitään ja arvostellaan yksityisesti ja mediassa! Voi vittu!🤯 Luulin ettei minua saa sateenkaari asioista barrikaadeille, että osaan olla maltillisempi, olin väärässä! Otin ensin huumorilla, kun luulin että joku hyvin nuori lesbo kommentoi...Helvetti mitä paskaa!  Mikäli itse olet Bi, et ehkä voi käsittää asiaa, mutta sinulla ei ole oikeutta ylittää minun itsemääräämis oikeutta omasta seksiaalisuidestani!  Luulis, että tälläisellä vähemmistöille tarkoitetulla palstalla ei joutuisi kohtaamaan tälläistä toimintaa! Ihan helvetin paskaa! 	 0.12457601726055145
s24:03a32575ed60c7aa51001d315e8b5502 	 not-threat 	 Kaikki douppaa, ainoastaan tyhmä ryssä jää siitä kiinni. Sitä saa, mitä tilaa ... pidä tuo mielessäs, stnan DESANTTI. 	 0.1363760530948639
s24:4a4ed35db87be77bf90b9efb43af65d6 	 not-threat 	 10.MOLEMMILLA 11.MENEN SUIHKUUN 12.EN MUISTA 13.PERJANTAI HIHIHIII < OIS IHANAA VIETTÄÄ JOSKUS AIKANAAN PERJANTAIT NIIN ETTÄ VIETTÄS NE JONKUN MUIJAN KANSSA,SITTEN MAANANTAI.TIISTAI.KESKIVIIKKO.TORSTAI 14.jaa a on monia yks on ainakin Joulukuu sitten syyskuu - lokakuu.kesäkuu-heinäkuu 15.Kaikki päivät on ihania 16.ruotsissa < tukholma. suomessa tampere.edelliskesänä 2004 italiassa.2003 TURKISSA.2001 KEVÄÄLLÄ UNKARISSA.2002 OLIN HANGOSSA JA KOTIMAASSA.20000 TAMPEREELLA.JEE.. 17.EN MUTTA HALUAISIN JOSKUS PÄÄSTÄ SEKÄ OMIIN ETTÄ MYÖS VIERAAKSI. 18.KUNPA KAIKKI MENISI LOISTAVASTI 19.MUSSA ON LEIJONAMIESTÄ 20.LEIJONAMIES < KUNPA OIS JOSKUS RINNALLA MYÖS LEIJONANAINEN 21.JAA.AA ENPÄ TIEDÄ.ENKÄ MÄ MIKÄÄN PLAYBOIKAAN OO.22.TOTTA KAI OIS IHANAA OLLA SEMMONEN MIES JOKA AAMULLA HERÄTESSÄÄN MENISI AINA EKANA VESSAAN 23.ON MÄ OON KOHDANNU PALJON IHMISIÄ 24.OLISI IHANAA PÄÄSTÄ AVAUTUMAAN KUNNOLLA 25.2 VELJEÄ < JOSKUS HALUAN KYLLÄ AIKANAAN TYTTÖYSTÄVÄN JOLLA ON SISKOJA NIIN SAAN SITTEN SISKOJAKIN 26.EI MUTTA OISPA KIVAA KUN OIS KOIRIA.2 PAPUKAIJAA.2 KISSAA JA MIKSEI MYÖS 2 VALTAVAA KOIRAA 27.MUN VAARI KUOLI 2003. MUMMIT ELÄÄ VIELÄ.MUUTA EN MUISTA.28.EI MUTTA OIS NIITÄKI IHANA AIKANAAN SAADA < 1 TYTTÖ JA 1 POIKA.29.ON.30.OLIKO NYT KOLME < OIS IHANAA OLLA JONKUN JARKKO MATIAKSEN TAI AMANDA LINDA JULIAN KUMMI.ITSE EN NIIN HIRVEÄSTI HALUA LAPSIA.31.MERSEDES-B/REDACTED/.SAANA.33.EN TIEDÄ.34.OMA ÄITI.MYÖHEMMÄSSÄ VAIHEESSA VARMAAN TYTTÖYSTÄVÄ.35.SOSIAALIALA 	 0.13309016823768616
