s24:8ed26e037bfbfea4207d3af7da7323de 	 not-identity_attack 	 Oletko mahdollisesti homoseksuaali? 	 0.42860570549964905
s24:35e768a943755e7014c7b077d4d1bdc9 	 identity_attack 	 Rassatkaa hintit vaikka kuusenhavulla perseenne, siinähän pääsette sitten pukamistakin samaan rahaan eroon 	 0.2447044402360916
s24:1ce6f6cc1e00581fca3889cc75782834 	 not-identity_attack 	 homot 172cm ja huterot 171mm 	 0.34260421991348267
s24:33ebc2999dcdade984bdf3c00683d25e 	 not-identity_attack 	 Eipä kuoltaisikaan. Katsos, jot et tiedä, heterot ne juuri synnyttävät jatkuvasti uusia homoja. 	 0.8334874510765076
s24:dc71c6154e00537d591df1a1e799d2e9 	 not-identity_attack 	 Ja kun homma kusee kintuillenne, Siperian mammutit ovat hoaxia. Hekoheko teitä. 	 0.016472145915031433
s24:db1a65dfc65615feb53a944e23bbbe21 	 identity_attack 	 Sossu työllistyy!  Hygieniakin handussa: http://www.niggerman/REDACTED/o036_JPG.htm  Hanki parilla dollarilla Somalian kansalaisuus ja hae turvapaikkaa Suomesta. Ihana uusi elämäsi sossutätien hellässä hoivassa voi alkaa. http://www.youtube.com/watch?v=RX-kwYmq_8U  Ugabuga haluaa suomeen: http://www.youtube.com/watch?v=8Y9a687EMRU  RussianToday/Halla-Aho http://www.youtube.com/watch?v=30SSbpq-o_A&feature=channel 	 0.00789255928248167
s24:cbd4b70deae76051f524b1891a799d1e 	 not-identity_attack 	 fuckifuu on raivossaan jotenkin säälittävä. Hän tarjoaa tuomiota maanpetoksesta tai peräti kuolemantuomiota kristityille. Todellisuus on ajat sitten karannut fuckifuulta. Mutta minkäs sille sitten voi, jos viha sumentaa järjen. 	 0.6030201315879822
s24:e03dc2e96af5716eeb286917a1719546 	 not-identity_attack 	 Surullista. Tapahtui vuosia sitten. Kaksi homoa tappoivat itsensä kaatopaikalla johdettuaan autonsa pakokaasut sisätilaan. Kissat on helppo lopettaa pakokaasulla, mutta. Että sellaista totuutta tosielämästä. Älkää homot ja lesbot tehkö samaa... 	 0.8617684245109558
s24:d9fde5a95d0c455e18f04654eb5b576a 	 identity_attack 	 Suomen muslimeita vituttaa armottomasti amerikkalaisten sotakoneiden tulo Suomeen. He vihaavat kuitenkin niin paljon amerikkalaisia. En ihmettelisi, vaikka yrittäisivät terroritekoja amerikkalaisia vastaan. 	 0.9965144991874695
s24:a053fe84fd01bf3f314db58da22f6b5a 	 not-identity_attack 	 Ei niitä paljon ollut. Susinarttuja oli jätetty jonkin verran. Naarastiikereille kostettiin. Venäläiset väittivät yhden talon olleen ilotalona. Yksi ämmä itki YLELLE miten ei unohda pyyntöä 'Ana pilu'. Itä-Karjalan vapauttajat riistivät ilon Berliinin kävijöiltä. Igor tiesi ämmänsä antaneen sapuskasta. 	 0.009781007654964924
s24:8649f23ea02103bbadbb735837500120 	 not-identity_attack 	 Venäjällä ei ole vetovoimaa.  Kriminaali on hylkiö. 	 0.6553027033805847
