TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
1 	 29 	 0 	 5
0 	 23 	 1 	 4
0 	 21 	 0 	 15
3 	 24 	 0 	 13
3 	 16 	 2 	 12
1 	 22 	 0 	 8
7 	 11 	 0 	 15
8 	 9 	 6 	 7
14 	 5 	 3 	 11
0 	 39 	 0 	 5
2 	 27 	 0 	 9
0 	 20 	 1 	 9
1 	 17 	 1 	 18
1 	 20 	 1 	 9
5 	 19 	 3 	 10
7 	 13 	 6 	 10
12 	 10 	 9 	 5
9 	 13 	 10 	 2
25 	 1 	 9 	 2
0 	 44 	 0 	 2
5 	 26 	 4 	 6
5 	 24 	 3 	 5
7 	 24 	 4 	 6
11 	 17 	 8 	 4
10 	 13 	 12 	 3
16 	 10 	 13 	 2
18 	 9 	 7 	 5
28 	 2 	 7 	 3
28 	 4 	 8 	 1
0 	 47 	 0 	 0
0 	 44 	 1 	 0
0 	 39 	 1 	 2
0 	 32 	 2 	 1
0 	 35 	 2 	 1
0 	 25 	 1 	 5
0 	 22 	 3 	 4
1 	 28 	 5 	 1
0 	 17 	 7 	 2
4 	 9 	 13 	 0
0 	 47 	 0 	 0
0 	 42 	 1 	 2
0 	 43 	 1 	 1
1 	 38 	 3 	 1
0 	 40 	 2 	 2
1 	 43 	 0 	 3
0 	 33 	 3 	 5
2 	 37 	 1 	 5
1 	 30 	 4 	 5
5 	 18 	 9 	 8
0 	 40 	 0 	 1
7 	 9 	 3 	 9
3 	 18 	 8 	 6
13 	 7 	 7 	 4
5 	 13 	 12 	 5
8 	 13 	 9 	 5
16 	 5 	 6 	 3
9 	 5 	 14 	 3
21 	 5 	 9 	 0
35 	 1 	 6 	 1
