s24:47077c6866039a4f38dfa6d7d69c0524 	 severe_toxicity 	 kiihottaa vaan ne reunat:)))) Mikä on se hyödytön nahka läjä vitun ympärillä? Nainen! 	 0.03057396598160267
s24:cc3691330cce90647cf9a4fb33caf9be 	 not-severe_toxicity 	 Nää on näitä helvetin propaganda artikkeleita... Suomi-autothan ne tosi ruusuja ja kestäviä ja luotettavia on..........niissähän on lisävarusteena veivattavat ikkunat ja ruosteläikät!!!!!!!!Vitun kallis laitattaa lohkolämmitin ja ostaa talvirenkaat.......saa sentään kunnon auton sitten ja se jopa sit suomi varusteltu!!!!!!!!!! 	 0.02493332512676716
s24:f975bfe0b8aa2f919a624d42b3a1dd40 	 not-severe_toxicity 	 vaikee jättää sellane vitun kaittis 	 0.06484255939722061
s24:83bce9104c30280441fcd34e82232ae5 	 not-severe_toxicity 	 Vituttaa, niin perkeleesti. Sanonko mikä? 	 0.22962135076522827
s24:7ee9d8c61e2b2ae0d01649d1abe6be15 	 not-severe_toxicity 	 ämmän vuoksi. Ei minkään muun.. A-mies. 	 0.037822023034095764
s24:a372b0f7b1f9076078ca0c1a8be5ccdc 	 not-severe_toxicity 	 Haluaisitko vaihtaa konkurssissa omaisuutensa ja perheensäkin menettäneen luottokelvottoman yrittäjän kanssa roolia??  Jotkut perkeleet ovat niin vitun tyhmiä että eivät muista mitä tuolloin tapahtui.  Kuten sinä. 	 0.08280306309461594
s24:3a7e04a08350be29fbea19c7428f912a 	 not-severe_toxicity 	 on sitten mennyt sullakin sekaisin käsitteet. Teini ei ole lapsi. Lapset eivät ole kiimassa, nuoret ovat kiimassa.  Pedofiili on lapsiin sekaantuja. Pedofiili ei sekaannu teinivittuun. Sellainen on pedofiilille liian aikuinen jos tajuat faktat nyt pönttöpetteri.  Terveisiä akallesi. 	 0.05980635806918144
s24:20fffbb1bc9a0f7d8d771b59079da0b7 	 not-severe_toxicity 	 Mikä VITUN welan verkko? En ole koskaan kuullutkaan. 	 0.46013960242271423
s24:c60f783e2636e3676d8b8ba146dcfdfd 	 not-severe_toxicity 	 Voi vittu mitä paskaa 	 0.9262382388114929
s24:c190df88f4be9396d624f92dd02445e8 	 not-severe_toxicity 	 Jos sulle suuseksissä tulee karvoja suuhun ja siksi haluat posliinin, olet suuseksihommassa uusavuton. Kyse on siitä, että haluat olla posliin kanssa siksi, että olet kykenemätön kehittämään omia suuseksitaitojasi niin ettei niitä karvoja tule suuhun. Soisit kumppanillesi itsemääräämisoikeuden omaan alapäähänsä.  Mulle on sama onko kumppanilla luomupuska, trimmattu tai posliini, koska se on hänen itsemääräämisoikeutensa eli annan kaikkien kukkien kukkia. Samoin toivon hänen myös suhtautuvan mun itsemääräämisoikeuteeni onasta alapäästäni. Kyllä mullekin aikoinaan tuli muutama karva suuhun, mutta opettelin suuseksin salot niin ettei sitä tapahdu eli en ollut uusavuttomana tumput suorassa vaatimassa tiettyä alapääulkonäköä. 	 0.008658270351588726
s24:08bf3a1c9bd3633e8db823573612e344 	 not-severe_toxicity 	 Kamajeppejä vartenko treenaat sekä räkänokkaluuseteitta? Vittu hei, heitä spaddu tai tulee lättyyn. 	 0.4050059914588928
s24:d735f7dcbe140a5372834ccca4d5a423 	 not-severe_toxicity 	 "Anarkistit on paskaa ei tarvitte olla ""kova jätkä"" eikä houdini tuon nähdäkseen. Vai ""imeä tuttia"", olen tehnyt perkele työuraa lähes 40 vuotta elämässäni, ja tuollainen perkeleen ituhippi alkaa hyppimään silmille, kukahan sitä tuttia imee, anarkistit, ovat yhteiskunnan viruksia." 	 0.29956626892089844
s24:68573de9e4af472be2667f57defdacce 	 not-severe_toxicity 	 Siis, ite ensiksi siistin saksilla(hiustenleikkuu) ja voi vittuku oli terävät, kyrvän yläpuolelta sain suht paljon leikeltyy. Alko kasseissa pitkät karvat ärsyttämään, joten päätin nekin sitten leikata SAKSILLA, Ja ai vittujen vittuku lähti pikku slaissi kasseista vahingossa, sattu nii perkeleesti. Eli en tuota suosittele :) ! 	 0.05652562528848648
s24:ebf36bac0fb4b4aa7c4348c8f172f766 	 not-severe_toxicity 	 PANTU ON JA PALJON  Vituttaa kun ukko tai miehet ei saa orkkua millään aina pakko panna perseeseen, onko mitään keinoa itse treenaa lähes joka päivä mutta väljyyttä en saa pois,olen kyllä jakanut tavaraani helposti mutta ei kaise käytöstä kulu?terv sipoo sudet 	 0.23393724858760834
s24:8ead96003b1e742aec7374a60bbb1f80 	 not-severe_toxicity 	 Vittu naiset on sairaita kun rakastuvat murhaaja jännämiehiin. 	 0.145510733127594
s24:81e74d9250545614199cc6bac6398aff 	 not-severe_toxicity 	 VASEMMISTO HOMMASI SUOMEEN  8H TYÖPÄIVÄT JA VAPAAT VIIKONLOPUT! JOS KOKOOMUS PORVARIEN OLISI ANNETTU RIEHUA VAPAASTI SINÄ TEKISIT VIELÄKIN 12H TYÖPÄIVIÄ JA MYÖS LAUANTAINA! 	 0.029481133446097374
s24:2a7261ab6211570335025935d14c9a1c 	 not-severe_toxicity 	 homostelotiin remppamiesten kanssa  bullshit 	 0.10003266483545303
s24:b6e0b073cf967ad973488ccd4ca9ff9d 	 not-severe_toxicity 	 miksi turhaan pitäisi??? vitun hölmö 	 0.5615605115890503
