TP 	 TN 	 FP 	 FN
0 	 210358 	 0 	 4573
4573 	 132617 	 0 	 22865
0 	 105179 	 4573 	 18292
0 	 96033 	 0 	 68595
13719 	 109752 	 0 	 59449
13719 	 68595 	 13719 	 54876
4573 	 100606 	 0 	 36584
32011 	 50303 	 0 	 68595
41157 	 36584 	 32011 	 27438
77741 	 18292 	 18292 	 36584
0 	 547443 	 0 	 70185
28074 	 378999 	 0 	 126333
0 	 280740 	 14037 	 126333
14037 	 238629 	 14037 	 252666
14037 	 266703 	 28074 	 126333
84222 	 238629 	 70185 	 126333
98259 	 182481 	 84222 	 140370
168444 	 140370 	 126333 	 70185
154407 	 154407 	 168444 	 0
364962 	 14037 	 126333 	 14037
0 	 971212 	 0 	 44146
132438 	 573898 	 88292 	 110365
110365 	 507679 	 88292 	 110365
176584 	 485606 	 132438 	 110365
242803 	 309022 	 242803 	 88292
242803 	 286949 	 264876 	 44146
353168 	 176584 	 331095 	 44146
441460 	 198657 	 154511 	 66219
684263 	 44146 	 154511 	 0
618044 	 66219 	 198657 	 22073
0 	 52734 	 0 	 0
0 	 48246 	 2244 	 0
0 	 43758 	 1122 	 2244
0 	 35904 	 2244 	 1122
0 	 37026 	 4488 	 1122
0 	 26928 	 2244 	 5610
0 	 24684 	 3366 	 4488
1122 	 28050 	 8976 	 1122
1122 	 17952 	 8976 	 1122
4488 	 8976 	 15708 	 0
0 	 30268 	 0 	 0
0 	 27048 	 644 	 1288
0 	 27692 	 644 	 644
644 	 24472 	 1932 	 644
0 	 25760 	 1288 	 1288
644 	 27048 	 644 	 1932
644 	 21252 	 1932 	 2576
1288 	 23828 	 644 	 3220
1288 	 19320 	 2576 	 2576
3220 	 11592 	 5796 	 5152
0 	 2237760 	 0 	 55944
447552 	 503496 	 167832 	 447552
167832 	 951048 	 503496 	 335664
783216 	 391608 	 391608 	 167832
335664 	 727272 	 671328 	 223776
447552 	 559440 	 671328 	 279720
951048 	 279720 	 335664 	 111888
559440 	 223776 	 839160 	 111888
1174824 	 223776 	 559440 	 0
1958040 	 55944 	 335664 	 55944
