s24:0d6c5224b593123cb524302dc1a3eb0e 	 toxicity 	 Joko Haavisto ilmoitti erostaan?  Vaatiko myös yrmistelijä AKTIIVISTA KATUMISTA 	 0.003992629237473011
s24:f732f1a12dc0b9a8870f43737afa536b 	 toxicity 	 Voi Tapio ressua!!  Tarvitsiko Jeesus parannuksen kastetta??Sinähän pilkkaat Jumalaa!  Jeesus antoi meille esimerkin Uuden liiton kasteesta.  Oliko Johanneksen kasteessa läsnä Isä, Poika ja Pyhä Henki???  Ajattelisit hieman, mitä kirjoitat. 	 0.4989103078842163
s24:a8a036aa98f2065a2462de5f6e355c20 	 toxicity 	 Pah. Oon kuule ihan hyvä. Haista home 	 0.0036995732225477695
s24:578ea1fc0cc8b429dc4554278736f499 	 not-toxicity 	 "Heitit muuten ihan hemmetin vaikeasti vastattavan kysymyksen...  Et ole syntynyt väärälle planeetalle, väärään aikaan tai väärään uskontoon.  Ei, kyllä suomea puhuvassa maailmassa on miehet ja naiset yhdenvertaisia mitä tulee yksilöyteen, parisuhteeseen ja seksiin.  Oikeassa rakastelussa pitää olla oikea henkinen yhteys, paitsi jos kyse on vain raakasta seksistä. On tavallaan valitettavaa, että pornoteollisuuden moottorointi esineellistää naista ihan sata- nolla ja tätä kautta niin monen heikomman mieltä muokataan suuntaan, missä esineellistetty nainen on helpompi hoitaa maaliin ilman että itse pitää olla... oikeastaan mitään. Tuon teollisuuden teemahan on ""Nainen on siinä sinua varten, mies"".  Ihan pimeee setti oikeasti...  Itse olen valmis tekemään mitä vain, jotta vaimollani on hyvä ja tyydytetty olo." 	 0.10506443679332733
s24:93c4d04c9bbec63d572a07233609c0ae 	 toxicity 	 Suomen ei pitäisi ryhtyä imperialistisen roistovaltion sätkynukeksi. 	 0.0016159135848283768
s24:f2912b93eaa9d7698683572ae61f345f 	 not-toxicity 	 öh en tajuu mitä toi wlockkien meinaa mut mm warlockien petejä ei tarvi siks ruokkii ku ne on vähä niiku hmm miten sen selittäisi.. jotain ''½ illuusioo'' mut ei ihan täydellistä tai siis ne on vähän niiku jotain paholaisii tai henkiä 	 0.0021946534980088472
s24:76e9ad105a6d6fdcaed083260b108505 	 toxicity 	 "Yli 1200 vuotta orjuuttamista! Milloin nuo arabit oikein sitten heräävät ja ""alkavat maksamaan velkaa""? Kipeätä." 	 0.007311508059501648
s24:3ae920b8f624fd7bea1c55732ea9d170 	 toxicity 	 "Nokiallakin ammuskeltiin ja taisivat olla vielä ""vähemmistöliittolaisia"" , siis SUOMI ON SODASSA, kyllä Paavo tietää......ei itkemättä/nauramatta voi tuollaista lukea...." 	 0.006071001291275024
s24:1f44f7b7e2405a748122b683aba0162b 	 not-toxicity 	 Köyhän kannattaa ajaa fillarilla. 	 0.0011361143551766872
s24:ed1c3f9bea404ac64a93c3ef58a413d9 	 not-toxicity 	 Renttu lookkini ei toimi, koska olen ATM. Mitä vanhemmaksi naiset tulevat sitä enemmän heitä kiinnostaa keskustelutaidot. Puheilla naisia saadaan ei millään muulla. Ainaki voi silti juoda. 	 0.0022371546365320683
s24:9c23c3bbacf517902b3be8c95b68d50f 	 not-toxicity 	 Syökää vaan margariinia HEH!  http://keskustelu.suomi24.fi/node/8425450 	 0.005357049405574799
