TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
0 	 27 	 2 	 6
1 	 24 	 0 	 3
0 	 20 	 1 	 15
2 	 20 	 4 	 14
5 	 17 	 1 	 10
2 	 18 	 4 	 7
6 	 7 	 4 	 16
8 	 9 	 6 	 7
12 	 6 	 2 	 13
0 	 39 	 0 	 5
1 	 24 	 3 	 10
2 	 17 	 4 	 7
5 	 12 	 6 	 14
5 	 15 	 6 	 5
7 	 16 	 6 	 8
6 	 10 	 9 	 11
9 	 12 	 7 	 8
9 	 11 	 12 	 2
24 	 1 	 9 	 3
0 	 44 	 0 	 2
2 	 30 	 0 	 9
2 	 26 	 1 	 8
3 	 26 	 2 	 10
2 	 18 	 7 	 13
4 	 15 	 10 	 9
6 	 14 	 9 	 12
12 	 12 	 4 	 11
20 	 4 	 5 	 11
25 	 5 	 7 	 4
0 	 47 	 0 	 0
0 	 45 	 0 	 0
0 	 36 	 4 	 2
0 	 33 	 1 	 1
0 	 32 	 5 	 1
1 	 23 	 3 	 4
1 	 19 	 6 	 3
1 	 19 	 14 	 1
0 	 15 	 9 	 2
4 	 10 	 12 	 0
0 	 47 	 0 	 0
0 	 42 	 1 	 2
0 	 42 	 2 	 1
0 	 39 	 2 	 2
0 	 39 	 3 	 2
1 	 41 	 2 	 3
1 	 30 	 6 	 4
1 	 33 	 5 	 6
2 	 23 	 11 	 4
7 	 11 	 16 	 6
0 	 40 	 0 	 1
2 	 12 	 0 	 14
0 	 24 	 2 	 9
5 	 13 	 1 	 12
1 	 20 	 5 	 9
2 	 20 	 2 	 11
6 	 9 	 2 	 13
3 	 18 	 1 	 9
12 	 10 	 4 	 9
32 	 3 	 4 	 4
