TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
0 	 27 	 2 	 6
0 	 24 	 0 	 4
0 	 20 	 1 	 15
1 	 21 	 3 	 15
5 	 17 	 1 	 10
1 	 19 	 3 	 8
6 	 9 	 2 	 16
8 	 9 	 6 	 7
10 	 6 	 2 	 15
0 	 39 	 0 	 5
0 	 25 	 2 	 11
0 	 19 	 2 	 9
5 	 13 	 5 	 14
1 	 17 	 4 	 9
6 	 17 	 5 	 9
5 	 11 	 8 	 12
9 	 13 	 6 	 8
8 	 11 	 12 	 3
21 	 1 	 9 	 6
0 	 44 	 0 	 2
1 	 30 	 0 	 10
1 	 27 	 0 	 9
3 	 26 	 2 	 10
2 	 20 	 5 	 13
2 	 16 	 9 	 11
4 	 17 	 6 	 14
10 	 12 	 4 	 13
16 	 5 	 4 	 15
25 	 6 	 6 	 4
0 	 47 	 0 	 0
0 	 45 	 0 	 0
0 	 36 	 4 	 2
0 	 33 	 1 	 1
0 	 34 	 3 	 1
1 	 24 	 2 	 4
0 	 24 	 1 	 4
1 	 25 	 8 	 1
0 	 17 	 7 	 2
4 	 10 	 12 	 0
0 	 47 	 0 	 0
0 	 43 	 0 	 2
0 	 44 	 0 	 1
0 	 39 	 2 	 2
0 	 39 	 3 	 2
1 	 41 	 2 	 3
0 	 30 	 6 	 5
1 	 35 	 3 	 6
2 	 24 	 10 	 4
7 	 12 	 15 	 6
0 	 40 	 0 	 1
0 	 12 	 0 	 16
0 	 25 	 1 	 9
5 	 13 	 1 	 12
1 	 22 	 3 	 9
2 	 20 	 2 	 11
4 	 10 	 1 	 15
3 	 18 	 1 	 9
10 	 10 	 4 	 11
30 	 4 	 3 	 6
