s24:5d03d1de7a7ccf2bc664caa765f016d3 	 insult 	 Jobbari on muuten yksityinen kauppias ilman y tunnusta eli kusettaja eli taas ja taas YKSITYINEN. 	 0.8633341789245605
s24:8e80d016d55a5e87afff0c9fb7c1cb60 	 insult 	 no eikös siellä ollut joku ruskean reiän ritari,suomeksi homo 	 0.17865720391273499
s24:165988372ad9f3275bdd3983a6c9d421 	 not-insult 	 MUS MUS .....ARGGGGHHHHH. En ihan koko päivää kunhan tässä vain omaksi ilokseni lämmittelen itseäni.......ARRRGGHHHH.....NARSK. 	 0.7576800584793091
s24:1899c2688f75cdda7f7ce575cd09afaf 	 insult 	 Mistähän voisi saada lisää matuja, jotta saataisiin kerralla Suomesta islamilainen paratiisi? On meinaan senverran hienoja uusia monikulttuurisia tapoja jo nyt tänne tulleilla. Kyllä me nyt rikastutaan kuten A STUBB tiesi jo etukäteen. Hirveän viisas mies tuo alex. 	 0.009012478403747082
s24:92bb542a6d38f0068cb3e1a16a32906b 	 insult 	 Urpilaisen metsärosvot  Urpilainen viittasi demarijohdon olevan metsärosvoja (Robin Hood & co). Niinhän ne melkein onkin. Oppositiota voi verrata metsään jossa nämä metsärosvot piileskelivät. Tekivät sieltä iskuja järjestäytynyttä yhteiskuntaa vastaan samalla tavoin kuin demarijohto nyt heittelee ruikutuksiaan oppositiosta. Mitään järkeä ei ruikutuksessa tarvi olla niin kuin ei yleensäkään kun demari on esittäjänä. Demarilla vaatimustason pitää aina olla matalampi niin kuin virkoihin ja suojatyöpaikkoihinkin. Nehän vois muuten jäädä työttömäksi tai ilman koulutuspaikkaa.  Pitäisi vain muistaa Urpilaisen ensin ottaa asioista selvää, ennen kuin vertaa itseänsä metsärosvoihin. Robin Hood ja muut metsärosvot kyllä varastivat rikkailta, mutta eivät he köyhillekään sitä jakaneet. Lainasivat pirunmoista korkoa vastaan niin kuin koronkiskurit yleensäkin.  Mutta hei. Sehän sopii hyvin kuvaan sillä demarithan polkee pienituloisia, köyhiä ja työttömiä jalkoihinsa niin kuin ei mitään. Mutta ei haittaa. Joku tyhmä näistäkin voi taas ensi vaaleissa erehtyä antamaan äänensä tälle rosvoporukalle. 	 0.019734980538487434
s24:d5712a7136c48b2f9f301dea737bfedd 	 not-insult 	 oli hyvä olla, mut ehdotan. Tylsät töpeksijät& Tekokeho... 	 0.03450659289956093
s24:32ec77521eb33d74504a667f4390cc06 	 insult 	 "Et ole teiniäiti ""onnellinenehkääippä"", joten miksi provoilet kyseisellä palstalla?  Olen sentään äiti ja minulla on lapsia useampikin, joten minulla lienee enemmän annettavaa kyseisellä palstalla kuin sinulla, ""onnellisella"".  En ole katkera nuorille äideille, vaan säälin heitä. Kun näen jonkun kaltaisesi provoilevan pissiksen, minua alkaa suorastaan oksettaa. Antaisit edes lapsillesi mahdollisuuden parempaan elämään, vaikka itselläsi resurssit ovatkin tällä hetkellä riittämättömät, koska järki tyystin puuttuu." 	 0.09760356694459915
s24:bbc64992353a4b6924e7f4c6b6a38e73 	 insult 	 jutuistasi ja sensuroinneistasi päätellen voi kuvitella ihan helposti.  Valehtelija olet ja valheellisen propagandan levittäjä. Isänmaan vihollinen. 	 0.7470600008964539
s24:808fd701a311cb002f1e6acff2772337 	 insult 	 "keitä anarkistit oikein luulevat olevansa?  Tälläkin palstalla rellestävät punikki-loiset yrittävät kantaa ylpeänä titteliä anarkisti. Mielestäni kyseiset punaloiset eivät ole anarkisteja nähneetkään. Jos on anarkisti, asettautuu koko nykyisen järjestelmän ulkopuolelle eikä toimi sen keskuudessa millään muotoa. Nykyiset ""anarkistit"" haisevat kotonaan paskalta ja nostavat työmarkkinatukea ja sossurahoja yrittäen samalla esittää kovaakin kapinoitsijaa. Ei ne muutamat punkkikeikat teistä anarkisteja tee, eikä huumeiden veto tai kaljan jatkuva kiskominen. Todellisuudessa olette yhteiskunnasta riippuvaisia orjia jotka kuuluvat sen alimpaan kastiin. Tekstistä pääosa sopii myös muihin palstan aktiivikirjoittajille, oli anarkomarko tai ei!" 	 0.2541552484035492
s24:8b05d4aacb6e5f6f2b2abca55e42042f 	 insult 	 Hys hys korkki kiinni ja tutimaan. Mitäs suvakki tähän? 	 0.0015479797730222344
s24:3c7b75155fdcd233f7f957533ffcc0ea 	 not-insult 	 No ei mustalainen ole rasistinen ilmaus, manne on!!!! Ja ei Martina sitä rasistisesti sanonut. Ja siinähän se aiemmin jutteli mustan miehen kanssa. 	 0.0138823501765728
s24:527d0b5b85daf5b43b62d88d0e7511aa 	 insult 	 Niin, ne on tossavaisia, torniaisia tai muita natsipellejä. 	 0.9095606803894043
