TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
0 	 26 	 3 	 6
1 	 24 	 0 	 3
2 	 19 	 2 	 13
3 	 18 	 6 	 13
7 	 13 	 5 	 8
4 	 15 	 7 	 5
10 	 7 	 4 	 12
9 	 9 	 6 	 6
15 	 4 	 4 	 10
0 	 39 	 0 	 5
3 	 23 	 4 	 8
3 	 16 	 5 	 6
8 	 11 	 7 	 11
7 	 15 	 6 	 3
8 	 13 	 9 	 7
7 	 6 	 13 	 10
11 	 10 	 9 	 6
10 	 8 	 15 	 1
25 	 1 	 9 	 2
1 	 44 	 0 	 1
3 	 28 	 2 	 8
4 	 24 	 3 	 6
6 	 24 	 4 	 7
6 	 12 	 13 	 9
5 	 12 	 13 	 8
12 	 14 	 9 	 6
16 	 11 	 5 	 7
22 	 3 	 6 	 9
26 	 4 	 8 	 3
0 	 47 	 0 	 0
0 	 41 	 4 	 0
1 	 33 	 7 	 1
0 	 29 	 5 	 1
0 	 27 	 10 	 1
2 	 18 	 8 	 3
1 	 14 	 11 	 3
1 	 15 	 18 	 1
2 	 11 	 13 	 0
4 	 7 	 15 	 0
0 	 47 	 0 	 0
0 	 42 	 1 	 2
0 	 42 	 2 	 1
0 	 37 	 4 	 2
1 	 38 	 4 	 1
3 	 38 	 5 	 1
1 	 30 	 6 	 4
2 	 28 	 10 	 5
2 	 21 	 13 	 4
10 	 11 	 16 	 3
0 	 40 	 0 	 1
3 	 11 	 1 	 13
1 	 23 	 3 	 8
9 	 12 	 2 	 8
1 	 20 	 5 	 9
4 	 19 	 3 	 9
7 	 8 	 3 	 12
5 	 17 	 2 	 7
15 	 8 	 6 	 6
32 	 3 	 4 	 4
