s24:b3dfeac54206980747141aeedcbfe2c3 	 not-obscene 	 163 HEPPAA 	 0.15807129442691803
s24:b1940efa6e5e3e1bcf834d77e7d41109 	 not-obscene 	 hölmö! 	 0.14893147349357605
s24:c539ba580b508a67ad02940a17aca9d7 	 obscene 	 Joo kyllä se on kommunisteilla hallituksessa kusinen paikka jost alkaa se tuttu kiljuminen ja öyhöttäminen näilläkin palstoilla,persu,natsi ,fasisti pilkkaa joka palstat täynnä. Vaan ei haittaa kun totuuden näkee jokainen ja iso käsi laittaa vääryydellä kasatun hallitukselle kivikuormia siivottavaksi. Hallitus puolueissa on paljastunut jo poliittisia virkanimityksiä,laittomia päätöksiä ja murha listoja. Tällä hallituksella on historian huonoin maine. 	 0.19060687720775604
s24:a9ae129361490574bbc509a4187ac9a7 	 obscene 	 Yritä tiivistää kahteen kymmenen sanan lauseeseen. Minkä tahansa asian voi esittää tiivistetysti - paitsi paskanjauhamisen. 	 0.190082386136055
s24:2d5e1101ab3743a9b2f1eb0ef421b01b 	 not-obscene 	 Ja vaipoista kirjoittava kaveri on taas tullut hokemaan vaipoistaan. Miksi sinulla päässäsi vaipat pyörii?? 	 0.1260303109884262
s24:3c864cd502a8327ccd36522e62964b60 	 not-obscene 	 Kovia juoppoja nämä demarit. 	 0.12316123396158218
s24:0a0a4e4e5f8e558cda4d8b05f7ee6bc9 	 not-obscene 	 "Ja instassa joku ""vajakkiLatvaKakkonen"" hehkuttaa miten inssssssssssssspiroiva Mara on ja huikee ja ihailtu. Voi hellanlettas!" 	 0.11016828566789627
s24:150aef0d7586d7b1254575739ed82370 	 not-obscene 	 "Haha LancerKäyttäjän viestit22.7.2009 01:09 ""Täällä taas leiutaan kuinka 125cc kulkee 200km/h 250cc pytyllä. Voiko tästä tyhmempää ihmistä olla?"" Ei oo pahemmin kyllä tullu vähään aikaan revettyäx)" 	 0.10913627594709396
s24:9d070d3ad703bba79e2f05eb8af0fd41 	 obscene 	 "Vaikka voidaan laskea, että tuloeliitin autoiluun käyttämä raha on PROSENTTEINA vain niin ja niin vähän, verrattuna siihen prosettiin, jonka köyhä autoilija käyttää samaan tarkoitukseen, niin EUROINA ero on tietysti mahtavan suuri. Jos ""köyhä"" maksaa uuden autonsa veroja esim. 10.000 euroa tai allekin, niin varmaan menee eliitiltä ainakin 4-50.000 euroa ökyautoosa, ja sitten tarvitaan tietysti vielä se kakkosauto. Eikä näillä auta ajaa kovin montaa vuotta, jolloin eikun taas vaan autokauppaan.  PERKULE! Ei tällainen ole sopivaa. Korkea aika siirtää tämä lysti köyhien maksettavaksi!" 	 0.11597137153148651
s24:1a54dcc96f28f643be4829c7168dfcbd 	 not-obscene 	 mä taasen, ei voi sanoa että vihaan, mutta inhoon kaikkia hesalaisia. Ne on niin itseensä täynnä olevia... Olen pohjoisesta keski-suomesta. Entäpä ite.. En ole minkään joukkueen fani, mutta kun toi kärpät ja jyppi on lähimpiä sm-liiga joukkueita, niin yritän vähän pitää niitten puolia. 	 0.16104276478290558
s24:d8f7a612768a6d6dae976b02d6ed1d8a 	 not-obscene 	 Mistä te saatte nuo numbat? Oma hakupalvelu käytössä? 	 0.15838278830051422
s24:03edc1fe4db32c9a2db461fa7b1c7eea 	 not-obscene 	 Ja audii, mersuu, bemarii.... 	 0.11799462884664536
s24:f999780b1b9908080ca93400658208e0 	 obscene 	 Haukutko syyttä vai syyn kera, on mulle ihan sama, lopettaa et näimmä osaa etkä halua. Tosissaan kauhistuttaa, että onko kaikki sun ikäset oikeesti noin kakaroita, että sormet vipeltää näppäimistöllä syytämässä paskaa eikä itse edes sitä ymmärretä.  Esimerkkiä ja perustelua sä kyllä jaksat täällä vinkua, mutta siihen se sun antis tälle palstalla tuntuu jäävän. Sorry, mut ei tarvi ku katsoo sun vastauksias vaikka tässä ketjussa, niin kyllä mulle ainakin on aivan sama miten verbaalisesti lahjakkaana joku sua sivujes takia pitää ym. kun täällä vastaukset on samaa tasoa, kuin serkun pojalla kiukustuessaan ja hän sentäs on seitsemän. 	 0.18349336087703705
s24:b0420b7fd081898a809993f40d10d7ca 	 not-obscene 	 Minäkin olin teiden king kun olin 19 vee.  Sitten löytyi elämään muutakin sisältöä. 	 0.14821138978004456
s24:a4c6ec0adab2e7757617b019a9dd5d6b 	 not-obscene 	 rakas miesystäväni antoi minun tisuille nimet Vilma ja Valma! Vähän naurattaa kun hän puhelimessa lähettää heille terkkuja:) 	 0.10371606051921844
s24:b9eb61609c60d92aa790dd7b66a33d1e 	 not-obscene 	 Elähän traktori-pave höyryä. Syö liäkkees. 	 0.16593530774116516
s24:e7498bd31a9968221b6bf62460376759 	 obscene 	 käsidesit auta,jos syömäsi ruoka on saastunutta.Jos juuri SINÄ et sairastunut,niin ei se tarkoita yleisesti pientä riskiä paskataudin saamiseksi,palikka. 	 0.1763637512922287
s24:d3003440467b5845eac8e871ff966987 	 not-obscene 	 Noin ne ajotaidottomat pelkurit puolustelee nastoja, vaikka eivät ole koskaan edes uskaltaneet kitkarenkaisella autolla ajaa. Se on tosi että tyhmää kuluttaa kitkarenkaita kesällä, pehmeä kumi kuluu todella nopeasti, etenkin helteellä. 	 0.1747521162033081
s24:044044ab2b949f411b87ced2482361f9 	 not-obscene 	 "Teksteistä päätellen niitä sossulaisia ovat nämä mamujen nuolijat. Mitä teiltä vatipäiltä on muuta irronnut kuin ""homo""? Maahanmuuton kritisoijat sitävastoin esittävät asiallisia kysymyksiä (joihin sossupummeilla ei tosin tunnu olevan vastauksia) ja keskustelevat muutenkin fiksusti. Ulosanti kertoo ihmisestä varsin paljon." 	 0.13531173765659332
s24:c67c55cf119d4a5970279b47a617fb1b 	 not-obscene 	 http://keskustelu.su/REDACTED/000038152601  Hahaa! Ei mennyt kauaa, kun ensimmäinen kunnon muuli ilmaantui uhoamaan! 	 0.1842794418334961
s24:8bc3d91bbc184f67f6c5fcec8ee9d5dd 	 not-obscene 	 Risikko on sadistinen narsisti-psykotaatti, pahuus henkii jo pelkästä habituksesta. Tappaisi köyhät jollei sitä olisi säädetty laissa rikokseksi. 	 0.18124142289161682
s24:dfbb2723ef99de54a67e966620d027e4 	 not-obscene 	 Suvakin olkiukko: Maahanmuuttokriittinen = peräkammarin poika. No, kukin tulee autuaaksi omasta uskostaan. On myös lukuisia tapauksia jossa suvakki on kääntynyt rasistiksi kun on tavannut ulkomaalaisia ei-eurooppalaisia. 	 0.12233010679483414
s24:e0de0b0aaa725e42cec40dbe6d3c1476 	 obscene 	 tere vaan keskisuomesta heh, muutin männä vuonna Lieksasta tänne vilikkaaseen sahateollissuus kyllään ja seuroon politiikkoo tuossa nelostiellä ja mutehhii heh  se tuo temari vissiin iänestää puhheenjohtajasta ja niihän se oikkeissa demokraattisissa puoluveissa käyp jotta valta suattaa vaihtuu toista se on semmosissa heittopuoluvveissa jotka suattaat suaha hirveen kannatuksen yhessä kahessa vualissa ja tulloot perssiilleen ja ehtiit sitten paikkoo oikkeissa puoluvveissa jos ilikiivät ja sitten niihen johtajille järjestettään semmonen eläkevrka  oiskohan se ollu SMP vai mikä liennöö ollu jolle näin kävi heh  ja sitten raunioille ja no se onni er tarina heh 	 0.17627832293510437
s24:26f9a4c43a0f35cd0960fecf51042d78 	 not-obscene 	 Sori nyt vaan mutta jos luet mun viestin uudestaan näät että vastaan 2 HENKILÖLLE samassa viestissä!! Ensin vastaan tälle toiselle lihavalle ja sitten tolle yhdelle valittajalle! LUE TARKEMMIN viesti ennen kun alat nalkuttaa! 	 0.19418656826019287
s24:f74069d2ab53a643a3261d38f106f7b8 	 obscene 	 On lukea raamattu ja uskoa siihen! Väitän ettei 90% ns. kristityistä ole koskaan edes avannut raamattua! Saati että olisi lukenut koko viiksilangalla ja jeesus(roudarin)teipillä kokoonliimatun kyhäelmän! Alkas nimittäin usko horjua jokaisella täyspäisellä jos lukis mihin p*skaan muka tosiaan uskoo! 	 0.19836005568504333
s24:8dde8d156cec108e6c3b870d24cf689a 	 not-obscene 	 "Hyppee kyytiin vaen sisko, tämä meijän puatti on hupiajelulla, kaekki on ilimasta, naaramisestakkaa ee veroteta.  No, mittees miehisto? Joko on silimät kirkkaana ja piä selevänä? Varsinnii Lenyllä, jonka pitäs kiivetä keolakuvaks, vaen kiipee sitte ku piä tuntuu kestävän.  Minä tässä hioin semmosta iteata, että kuhan kaekki ravut ja niliviäeset on syöty niin lähettäs kahtommaan mittee se Perluskooni meille tarjoes. Voetas näättee sille vähä meijännii ruuanlaettotaetoo, ketsuppia kaenaloon ja hyrräellään että ""voe jos kerran reissullasa"" saes tempasta Per Luskoonin nuamasta ohuvia siivuja, oekeeta parmakinkkuva ja voejella sillä kenkäsä. Männään sen kansa seurustelemmaan ja kysytään että mittees tykkeet meijän sörsseleistä ja ootkos jätkä käännä meijän etuskunnassa sapuskalla. Pistetään Lempi-täti pöyvän viereen moukari kourassa, pöyvän viereen vahtiin, niin eiköhän ala superlatiivit lentee Perluskoonin suusta niin että läskisoosi roiskuu." 	 0.1204640120267868
s24:9bd28dde268102cda4aab9e47ac99cf3 	 obscene 	 Sehän tuossa onkin, että jos vs:sta tulisi paikka jossa uskonnollinen julistaminen olisi ok, siellä ei juuri muuta tehtäisi kuin riideltäisiin yhdentekevistä oppinyansseista. Mun Jeesus vetää sun Jeesusta pataan.  Kiiluvasilmäiset uskovat eivät tätä käsitä vaan haluaisivat foorumin haltuunsa silläkin uhalla, että se olisi foorumin loppu. He valitsevat mielummin oman oikeutensa julistaa uskonnollista soopaansa kuin vertaistuen tarjoamisen. Kiiluvasimäiset uskovat ovat vertaistuelle tuhoava voima.  Iso osa entisistä todistajista on uskonnottomia (etenkin kristinuskon Jumalaa kohtaan). Miksi ihmeessä uskonnolliselle julistamiselle tulisi antaa mitään sijaa entisten todistajien foorumilla, kun se vain v*tuttaa kaikkia ja toimii isolle osalle entisiä todistajia karkottavana piirteenä?  Ja sitten vielä kysymys kaikille foorumista itkijöille: Mitä sinä olet koskaan tehnyt entisten Jehovan todistajien tukemiseksi (jeesustelua ei lasketa)? Voisitko sen iän ikuisen itkemisen sijaan alkaa tekemään jotain, perusta vaikka omanlaisesi vertaistukifoorumi tai -alusta, kun nykyinen ei kerran kelpaa. Jeesustele siellä sitten ihan niin paljon kuin haluat. 	 0.12220655381679535
s24:acf75990583ce6296b4e1e2e99239e38 	 not-obscene 	 Ihan tyhmää tällasia ohjelmia edes näyttää..kuka nyt varsin menee naimisiin tolleen... no isot rahathan kaikki tässä kääri ja jotkut jopa jakso katsoa tällasta ilmanaikoista tv:stä.. 	 0.1661374270915985
s24:e20cd093fc133af152b8c6944ac34528 	 not-obscene 	 "Suvakkeja ja muita idiootteja on valitettavan paljon, mutta luulen, että suurempi ryhmä ovat ne, jotka kyllä nyt tajuavat olleensa idiootteja kannatettuaan massiivisen turvapaikanhakimäärän vastaanottamista mutta jotka vain pelkäävät myöntää sitä ääneen, joko siksi, että on noloa myöntää olleensa väärässä, tai siksi, että äänekkäät tekopyhät ""kaverit"" kääntävät selkänsä totuudenpuhujille." 	 0.12992466986179352
