s24:4048f430fd8513e69d9a33fb894362b8 	 severe_toxicity 	 Vittu että sä oot tyhmä! Etkö sä osas lukea? Ooksä joku kehari? 	 0.7614845037460327
s24:c4d8d5e731913c80e23b411988ef0005 	 not-severe_toxicity 	 ampua akka 	 0.7636659741401672
s24:974a1b8d7747594550a90bae1b55e510 	 severe_toxicity 	 Hoi sieee, mie tuun murhaan siuuuut! Sie varastit miun puukon! Sietäsit kuollaaaaa! Mie oon manneeeee! Hoiiiiii!  Ts. vituttaa mustalaiset. Tämän keskustelupalstan vois lopettaa, ne on kaikki kohta vankilassa eikä siellä saa käyttää nettiä. 	 0.7658538222312927
s24:661ebc172f85b9392315f50c0c686df5 	 not-severe_toxicity 	 vituttaa tollaset mopoiliat!!! ARGHHHHH 	 0.7723592519760132
s24:45ba040ebcae08cedee2c197f6cd5f16 	 not-severe_toxicity 	 onkin mulkun lutkuttajia vaarista vauvaan.. 	 0.7150189280509949
s24:6691a0d73d15e2dadb807ba994947a73 	 not-severe_toxicity 	 sulttaanilla  on niiku menny kusi lippikseen ja lökät niiku pöksyyn. vähän niiku muillakin räppäreillä. räppärit on niiku säälittäviä, kun niiku matkivat mustia! 	 0.7153446674346924
s24:baaf8ff60909cc2594fb341c55ec8175 	 not-severe_toxicity 	 ÄÄNESTETÄÄN KAIKKI PERSUU 	 0.7049068808555603
s24:c7a6385ae1631bf12af5a33992f666aa 	 not-severe_toxicity 	 Vitun jytkyt! ettekö te ny prkl jo tajua et nää o henkilövaalit niinku presidentinvaalitki eikä puoluevaalit niku eduskuntavaalit....  ei sillä, oon ittekki persu mut Jytky! Jytky! Jytky! joko riittää??? 	 0.7302836179733276
s24:767c622efe5c56c9ea99008bc1197956 	 not-severe_toxicity 	 "Aloittaa runkkaus het aamupalan jälkeen ja jatkaa sitä kaiken päivää. Illalla on sitten kun pitää ""ämmän"" selkään mennä niin kalu on jo herbaantunut siihen malliin,että kestää kauan saada se timmiin,eikä pyssy meinaa sitten ollenkaan laueta. Joten kestää nussia pitkään." 	 0.7117722034454346
s24:38c8df615b8e2916260c022b88c600aa 	 not-severe_toxicity 	 se on oikein että lapsi hakkaa äitiään. mäkin löin äitiäni. SE OLI VITSI HIHIHIHIHIIHIH ULIULI 	 0.7372459173202515
s24:998829328570fc2f64df627c2805e422 	 not-severe_toxicity 	 "Vai AINA!?! Missä vitun nukkekotimaailmassa sä oikein elät!? :/ Jenkkisolttu tekee diilin olla armeijassa jonkun tietyn ajan (olikohan vuosi?) kerrallaan! Et sä stn palikka voi kesken hyökkäyksen kellekään sanoa että: ""Joo ei muo vittu kiinnostakaa enää tää sotiminen mä otan loparit!"" :D" 	 0.7191476225852966
