s24:5d4c91dd0d1b77a5a8449c9c523eff3d 	 severe_toxicity 	 Haluan lyödä ja potkia!  Naisia haarojen väliin niin että jalka jää vittuun 	 0.8250014185905457
s24:abf53d1e8223629fdf1199dd9fcd7f0e 	 not-severe_toxicity 	 ANNA POMOLLE KENGÄN KUVA PERSEEESEEN ,,JA PIAN! 	 0.8049617409706116
s24:02fce9194a1fa97597c643e6f0a2d904 	 severe_toxicity 	 Äitisi oli varmaan täysi laiskamato, läski ämmä. Makasi aamusta iltaan ja illasta aamuun isäsi omistamassa talossa tekemättä yhtään mitään. Vei rahat isäsi lompakosta avioliiton aikana ja vielä erossa otti tasinkoa.  Parempi on, että et katso naisiin päinkään. Kaikki naiset on samanlaisia loisia, vievät rahat ja tavarat ja jättävät sinut puille paljaille.  Ai niin, sinähän et äitisi kuoltua hänen jättämää perintöä vastaanota, sillä eihän kukaan itseään kunnioittava mies läskin hullun vanhan loisena eläneen ämmän rahoja huoli. 	 0.8559688925743103
s24:51348703cf2201d91bc7798aea3d29bb 	 not-severe_toxicity 	 KIRJOITIN IHAN ITTE NÄÄ KAIKKI JA MUL O TENNISKYYNÄRPÄÄ VIIKON. SÄÄLIN ITSEÄNI! tosiasias mul o ollu he****** hauskaa purkaa v********* 	 0.8426164388656616
s24:906e0f89c6d037cf9d93a22166652c22 	 not-severe_toxicity 	 Pillu, perse, kyrpä/mulkku, tissit/buubsit, pano tms. Kuuluvat sujuvasti sanavalikoimaani myös miesten kanssa jutellessa. Mitä sitä turhia keksimään uusia sanoja. 	 0.869674026966095
s24:7aa0bd043dd0dcddee26f2ec929711b0 	 not-severe_toxicity 	 Löysiä vittuja etsivät? Nulppokulleja, peuravittuja. Hirvaskulleja! 	 0.8777574896812439
s24:dcbb6cf2cfb9276ce61d8f778b4804cd 	 not-severe_toxicity 	 menehän nyt lypsylle ja runkulle maalaisjuntti 	 0.8398329615592957
s24:db085bf6337ba588e5c8e9b0f3db10a9 	 not-severe_toxicity 	 JOO KYLLÄ VÄHÄN AINA SAPETTAA AJAA JONKUN TAULAN PERÄSSÄ , JOKA PYSÄHTYY ODOTTAA NIITÄ VIHREITÄ... AI VITTU MITÄ PORUKKAA. YHEN KERRAN PITI MENNÄ IKKUNAA KOPUTTAA , ET VOISITKO NIINKU PAINAA SITÄ KAASUU... 	 0.8991037011146545
s24:d2499028d048a49a648f419c3bfce8f5 	 not-severe_toxicity 	 Niinpä.  Ja eikös helvetti sitten kun saat jotku suurinpiirtein pelattavat kortit, joku perkeleen tahvo korotttaa ennen floppia !!  Vitun järkee korottaa pelkillä käsikorteillä, kun ei tiä mitä apuja pöydästä. Painutkoot vittuun. vittu kun vituttaa.  Ja eikös jumalauta se korottaja satu saamaan ne koretettavat kortit just sillon, kun mullaki olis jotain kenties pelattavaa. 9 out of 10. Vittu, 	 0.820143461227417
s24:6bb048a0c037a18b3156f8f6bb99b508 	 not-severe_toxicity 	 vittu mitä paskaa, nyt loppu toi saatanan tipitii! tämä siirtyy radio rockin puolelle kuuntelemaan marsea! 	 0.8563435673713684
s24:5ef6e26f1d9106654258f6907061b98d 	 not-severe_toxicity 	 Voi vittu pipilä vetoonen paskaapuolue. Ei ole vuosien varrella kuin tuhonnut pohjois suomen. Olet sinä idiootti. Välistä vetäjien puolue. 	 0.826583981513977
s24:aae5be66ff14c758d3305dcfad593657 	 not-severe_toxicity 	 Mistäs sait päähän, että aloittaja olisi mies, nykyjään voi nääs ämmätkin mennä armeijaan 	 0.8226587772369385
s24:d83796645593a309b271aded164b2c2a 	 not-severe_toxicity 	 homo perse ! 	 0.8728588223457336
s24:0ba2af37e9f8133ea2d9054a738f09c3 	 not-severe_toxicity 	 Rasisti ja rasisti. Mene vittu ylikäyttämään tuota merkityksetöntä sanaa vaikka rasmusryhmään. 	 0.8181614875793457
s24:141b507697f452db6c1db3eceb06410a 	 not-severe_toxicity 	 sinä olet säälittävä PASKIAINEN. 	 0.8416635990142822
s24:6dcf391a9af0c31b8617d3752a7f70c6 	 not-severe_toxicity 	 TOTA KAVERIA TAITAA VAAN VITUTTAA KU TÄÄLTÄ NETIN KAUTTA SAA PALJO TUOREEMPANA MUSAA KU SUOMEN YHDESTÄKÄÄN LEVYLIIKKEESTÄ.TYKKÄISKÖHÄN KAVERI KU LAITTAISIN MUUTAMAN LINKIN MISTÄ SEKIN SAIS HAKEA MP3 MUSAA,TAI JOSPA SE EI OSAA KÄYTTÄÄ TÄTÄ APARAATTIA???? 	 0.8807634115219116
s24:534262618be82031c48034b60e4d2492 	 not-severe_toxicity 	 JM ALOITTAA ENSI VUONNA TOYOTAN TALLIPÄÄLLIKKÖNÄ.. YES!!! ONNEA!!!! 	 0.8994194269180298
s24:54c9df09e81c0bce0947e29869e2e444 	 not-severe_toxicity 	 oot ihan normaali painonen ja ei haittaa vaikka painoo tuli lisääkin! JA HAISTAKAA MUUT NYT VITTU!!! MIKS TEIDÄN PITÄÄ AIHEUTTAA TURHAAN PAHAA MIELTÄ TOLLASILLA KOMMENTEILLA??? 	 0.8696979284286499
s24:c75a0256aa320b529f12ae9c2178ab07 	 severe_toxicity 	 Kannattaakohan sitä sammua perse pystyssä minne vaan vaikka olisikin aidsia sairastava BI-seksuaali kun aina löytyy joku känninen afrikkalainen joka luulee tuommoisia suloposkisia puppelipoikia naisiksi ja raiskaa kovalla kyrvällänsä anaalin ruvelle anteeksi pyytelemättä kun huomaa etupuolen pienenpippelin jota ensin luuli klitorikseksi mutta sitten kuitenkin kiimassaan jatkoi raiskaamista sorkkaraudallaan rosvo kun oli? 	 0.8327623009681702
s24:e4bd20daf0df2fe727759bfe23a40565 	 not-severe_toxicity 	 lärviä vaan avokkaalla ja lujaa moista ämmänkutaletta. 	 0.8052105903625488
s24:f075feef5545c89ebb6f4bf6e989f4ca 	 not-severe_toxicity 	 Ihan vitun mahtava aloitus! Mistä näitä rasisti-idiootteja meillä riittääkin? 	 0.8028734922409058
s24:39ff49e3b2065bebd5a54d439a97e2d6 	 not-severe_toxicity 	 vitun työttömät välttää vanhoissa rievuissa ei ulkönäkö täytä työnantajan vaatimuksia jos on yli 50 vuotias ämmä ja ukko 	 0.8676106333732605
s24:7958c9cbebc61cbb40eeb5cfe75c0cf7 	 not-severe_toxicity 	 VITUTTAAKO NYT KUN EN SINNE KALTEREIDEN TAAKSE JOUDU?????  VAIKKA SUOMEN VANKILA EI EHKÄ OLE MIKÄÄN IHAN HIRVEIN PAIKKA, NIIN SIELLÄ ON TARKAT SÄÄNNÖT MM. OVIEN KIINNI LAITTAMISESTA YMS. JOTEN KYSEESSÄ OLISI OLLUT VAPAUDENRIISTO, JOHON EN TODELLAKAAN OLE KUULU.  Te vain vihaatte minua vuodesta toiseen ja vihanne kuluttaa teidät loppuun. Eikä teillä näytä omaa elämää olevan kun pitää niin täysin olla mun kimpussani.  Olen todella tyytyväinen hovioikeuden päätökseen, olen aiemminkin suorittanut YKP:n loistavasti ja kiitos Jumalalle tästä, AMEN! (Tunkki Fb:ssa 4.2.16) 	 0.8288874626159668
s24:b23ca3e736b51cd3807635c4c913a21e 	 not-severe_toxicity 	 hyi vitun yrjöttävä papparainen 	 0.8696308732032776
s24:b82a030a52448f53c998624a684da5ff 	 not-severe_toxicity 	 Moraaliasiat jo mainittiin.. mutta ihan oman mielenterveytesi vuoksi kannattaisi ehkä olla lukematta.. siellä on keylogger täynnä kyrpä vittu sperma äiti on vitu homo huora juttuja, joista sinä sitten järkytyt turhaan, aiheutat jonkin draamakohtauksen, nolaat lapsesi puhuttelemalla häntä asiasta, samalla aiheutat hänelle ikuiset traumat, sitten soitat koulun rehtorille ja teet jutusta koko kylän asian, kohta on kaikki vanhemmat ihan paniikissa, ja lapsesi kasvaa vinoon kun menit urkkimaan hänen syvimpiä salaisuuksia. 	 0.8464668393135071
s24:925dc3850bee3faa091b25a32384e606 	 not-severe_toxicity 	 vitun YTM! Meille AT-ihmisille eivät naiset todellakaan tyrkytä itseään eikä meillä ole tyttöystävää, joka näiden kuvitteellisten tyrkyttäjien pitäisi ottaa huomioon. Naiset eivät halua kanssamme lapsia/perhettä(joku saattaa tosin kelvata YTM:n äpärän elättäjäksi) eivätkä naiset varsinkaan ikipäivänä halua meitä siitoslaitokseksi.  Emmekä voi pettää tyttöystäväämme kahdestä syystä:  a)meillä ei ole sellaista b)meillä ei ole ketään kenen kanssa pettää. 	 0.8999758958816528
s24:a5c9d7e9bd402dec0cd1ce4066b4a405 	 not-severe_toxicity 	 Vitun läskipää pitsa! Sotaa ennen oli kaksikymmentä vuotta aikaa kehittää ruokahuolto jota rahoitettiin jopa velkarahalla. Maatalouteen 'satsaamisen takia' jouduttiin olemaan jopa kiitollisia museotavarasta. 	 0.8799250721931458
