s24:522b966ac9d7f6f5412ed103273ed4fe 	 not-threat 	 Tulevat kuolemaan ennen aikojaan... 	 0.7172924280166626
s24:954d7d57770857c3dd6c74e3541280dc 	 not-threat 	 Isältäni en ole koskaan penniäkään pyytänyt, vaan omin päin liikkunut maailmalla aivan samalla tavalla kuin kotiseutuni ikätoverit. Kak dela? What's the good word? Etkö fenno vieläkään oke tajunnut, ettei kieliä opi koulussa, vaan elämällä! Lienet elävänä kuollut, omassa surkeudessasi! 	 0.7898289561271667
s24:5b0a4e67fdb3e90c23ffa25f9e0d7634 	 threat 	 Kokoomuslaiset pitäisi viedä saunantaakse ja RATATATATATATAAAAA!!!  Hullut ovat tuhonneet oman maansa kilpailukyvyn ja teollisuuden sekä aiheuttaneet pelkkään ahneuteen perustuvalla politiikallaan suurtyöttömyyden ja alati kasvavan köyhyyden. Siinä näiden rikollisten kuuluisat arvot. Kaikenmaailman törkeistä lahjuksenotoista tuomitut itä huorissa hyppäävät mätäpaiseet mukamas kansaa edustamassa vaikka kuuluisivat vankilaan. 	 0.7561703324317932
s24:70fe022e972ea47084068422f07d881a 	 not-threat 	 Sä haluut...  Sä haluut satuttaa sä saat mut itkemään  Mä takias teen mitä vaan vaikka naurat mulle vaan  Oon ehkä pelle,narris sun karrelle poltat syämeni mun  Sä selkääni heität tikarin kylmää vettä niskaan nakkaat  Oot peluri,julmureista pahin mutta ihana kuitenkin  Sä haluut satuttaa sä saat nut itkemään 	 0.7225340008735657
s24:04e1ffa45e182f015029e0539d6e41a0 	 not-threat 	 Jaha?? Milloin oli sitten viime tapaus? Eihän kielestä kerro mitään... Ja lisäksi, mitä hittoa teitä vaivaa?? Joku kuolee ja heti käytte kimppuun. Kusipäät. 	 0.7934871315956116
s24:eab2ecb539e08d6dc744dd8ff2bc7476 	 not-threat 	 osaa muuta ku loisia ja raiskata. 	 0.7706450819969177
s24:d3f1c0c0c64fe4aa7026f15ec6b15d90 	 threat 	 MITÄ SUOMEN PÄÄTTÄJÄT TEKEVÄT!  Nonni, Suomen Islamilainen yhteisö julistettiin islamilaisten taholta terroristijärjestöksi. Kukapa muukaan asiasta voisi enempää tietää kuin islamistit.  Ja Suomen hallituksen toimet:; emme uskalla tehdä mitään. Ei tämä voi olla totta. Ei Suomen islamilaisissa ole mitään pahaa. Suomen hallituksen toimet ovat täysin oikeita. Ei kukaan muu voi tietää islamista mitään kuin Suomen hallitus.  VOI VITTU, SANON! Voiko enää nynnympää toimintaa minkään maan hallitus toteuttaa! No ei, koska meillähän on Euroopan vakuuttavin ministeri, eli puolustusministeri Haglund. Aivan pelle, ei edes Suomen armeijaa käytynä! Jopa puol. minstr. Elisabeth Rehn oli parempi kuin nykyinen. SAATANA ulos kaikki islamistit täältä. Jos ei löydy hallitukselta toimia, niin kyllä me Suomen kansa lahdataan kaikki somalit ja muut islamistit. VITTU mitä pelkäämistä Suomen hallitukselta. 	 0.7921031713485718
s24:a92178221b8b7d897af64457582a53d9 	 not-threat 	 Sä et tu saamaan mitään. Miehet ja Kristukset aina vaan pienillä kirjaimilla. Mä otan sun karvaisen miehes, haen kadulta thainaisen ja käsken sen pesee nuollen yksitellen kaikki karvat siltä mieheltäs. 	 0.7141671776771545
s24:6ff2a92846a17a69d1031b1d8a5de2c3 	 not-threat 	 Pohjois-Koerealaiset paukuttavat niin tulisen kiimaisesti, että uskovaiset kuolee siihen paikkaan. Se Jumalan suuri suunnitelma, halleluja!!! 	 0.7997051477432251
s24:5dec4db4fa16efcf7b9b2e984186d5f3 	 threat 	 Katainen Elcotekin Piipon ja yrittäjien Lahden kätyri! Vaikka vaalitentissä puhui toisin! Mies on todellisuudessa duunaria kohtaan täys hitler! Moista paskan puhujaa antasin turpiin , jos vastaan kävelis! 	 0.788775622844696
s24:439d034802b713f2d076bc385823f16d 	 threat 	 "J.S: VOI VITTU OIKEESTI TOI JÄTKÄ PITÄÄ TAPPAA!!!  ""Rikokseen yllytystä on se, että joku kehottaa toista rikokseen. Sillä saadaan aikaan rikoksentekopäätös rikoksen tekijässä. Yllyttäjää voidaan luonnehtia rikoksen henkiseksi alkuunpanijaksi.""" 	 0.7806276679039001
s24:d9b1fe8918aa09ba3b228c0a628d8262 	 not-threat 	 Voin kyllä lainaa vaarivainaan Nagaania , että voit vetää kuulan kalloon , v ..tun luuseri . Tuotahan tapahtuu kokoajan sukupuolesta riippumatta . 	 0.7589244246482849
