s24:64844416909031b96232f1d6249d63f6 	 not-toxicity 	 VIELÄ YKSI ASIA! NÄMÄ EI OLE HENKILÖVAALIT,VAAN PUOLUEVAALIT!!! 	 0.31808194518089294
s24:b3911c38e6caaaf58e1b303170ba7f03 	 toxicity 	 Juopoiksi varmaan oli tarkoitus kirjoittaa..?. Tuo on ihan totta, kaikenlaista kuulee ja monenlaisina versioina..Kuulijalla oltava maalaisjärkeä, sydäntä ja hyvä suodatin kun paskajuttuja kuuntelee!! 	 0.36273065209388733
s24:29d19b4910d02584acb8aef8fa52ec54 	 not-toxicity 	 sanoa että läheppä lätkimään...se ei ole niin simppeliä. meillä minä olen se kerjääjä.ja mulle sanotaan et vaiha ukkoa jos ei kelpaa . tää on kauheeta.kaiken muun lisäksi minä olen meillä se joka maksaa kaiken. vuokrat,ruuat,ihan kaiken.on aina ollu niin ,ja aina tulee olemaankin varmasti.vaikka lupas et asiat muuttuu kun vauveli syntyy..hahahh.mikäs sen mukavempaa kuin elää toisten rahoilla??tarjoan kirjaimellisest kaiken.kun pyyän esim kuskaamaan johonkin(mun maksamalla autolla ) niin hän tokasee et jos hän haluis ajella,hänel olis oma auto.. nyt rv 39 menossa..=?arvaatko että minäkin olen kuses.mutta luotan mieheeni,hän ei pettäis,kun ei sitä kiinnosta köyriminen tippaakaan.se mitä tapahtuukin,on VAIN JA AINOASTAAN hänen pussien tyhjäys. minen ees muista millon olisin saanu mitään. mietin usein et tätäkö tää on lopun ikäää??olen ERITTÄINKIN aktiivinen ja innokas sänkyjutuissa..tai olin.. ahistavaa..mutta silti sanon et ei ole helppoo sanoa et tos on ovi..meil paljon kivaakin ja pitää muuten meist huolta.. toivotan sulle voimia ja onnea..kyllä on välillä hankalaa päättää mitä tekee.. 	 0.3475237786769867
s24:ae317edbe2a34230b979673fa6694c64 	 toxicity 	 EI_TROLLI_vaan_TOTUUS 22.02.2020 18:55  Jarmo Eklund näyttelee --- PELASTUNUTTA --- vaikka on JUMALATON !  Jarmo Eklund - ja - PELASTUSSANOMA - sivusto ja lisäksi vielä sivuston yhteydessä oleva --- KESKUSTELUPALSTA . . . ;)  . . .  Jumalan TOTUUS --- Jarmo Eklundin --- EKSYTTÄVÄSTÄ TOIMINNASTA . . .  ◾Jarmo Eklund on TEMPAUS - eksyttäjä  sillä --- TEMPAUSPÄIVÄMÄÄRÄ - ennustelu --- ON KIELLETTYÄ  sillä --- TEMPAUS - harhaoppien levittäminen --- ON KIELLETTYÄ  ◾Jarmo Eklund on VÄÄRÄ PROFEETTA  sillä --- VALHEPROFETIOIDEN ennustaminen --- ON KIELLETTYÄ  sillä --- VALHEPROFETIOIDEN levittäminen --- ON KIELLETTYÄ  ◾Jarmo Eklund on SODASSA - Jumalaa - VASTAAN  sillä --- VALEHTELU - ja - PANETTELU --- ON SYNTIÄ  sillä --- VÄÄRISTELEE Raamattua --- esittämällä virheellisiä tulkintoja  sillä --- EI TEE PARANNUSTA --- vaikka toistuvasti KEHOITETTU  sillä --- esittää PELASTUNUTTA --- vaikka on JUMALATON  . . .  Jarmo Eklund on PANETELLUT --- Jumalan PROFEETTAA eli . . . Jumalaa . . . !  . . .  Jumala KYSYY . . .  . . . KAIKILTA --- Jarmon EKSYTYS - lahkoon --- KUULUVILTA . . .  . . . Millä tavalla OLETTE ojentaneet - Jarmoa - hänen rikkomuksistaan . . .  . . . ELI siis --- Millä tavalla OLETTE täyttäneet . . . Kristuksen lain . . . ?  . . .  OLETTEKO - TE siis - UMMISTANEET SILMÄNNE RIKKOMUKSILTA ?  Jumala SANOO . . . TEILLE --- EKSYNEILLE . . .  Jeesus_valitsi_tekstin 28.04.2017 01:04  7. Älkää eksykö, Jumala ei salli itseänsä pilkata; sillä mitä ihminen kylvää, sitä hän myös niittää. 8. Joka lihaansa kylvää, se lihasta turmeluksen niittää; mutta joka Henkeen kylvää, se Hengestä iankaikkisen elämän niittää.  . . . 11. Katsokaa, kuinka suurilla kirjaimilla minä omakätisesti teille kirjoitan! . . .  Kirje galatalaisille 6 1. Veljet, jos joku tavataan jostakin rikkomuksesta, niin ojentakaa te, hengelliset, häntä sävyisyyden hengessä; ja ole varuillasi, ettet sinäkin joutuisi kiusaukseen. 2. Kantakaa toistenne kuormia, ja niin te täytätte Kristuksen lain. 3. Sillä jos joku luulee jotakin olevansa, vaikka ei ole mitään, niin hän pettää itsensä. 4. Mutta tutkikoon kukin omat tekonsa, ja silloin hänen kerskaamisensa on vain siinä, mitä hän itse on, ei siinä, mitä toinen on; 5. sillä kunkin on kannettava oma taakkansa. 6. Jolle sanaa opetetaan, se jakakoon kaikkea hyvää opettajallensa. 7. Älkää eksykö, Jumala ei salli itseänsä pilkata; sillä mitä ihminen kylvää, sitä hän myös niittää. 8. Joka lihaansa kylvää, se lihasta turmeluksen niittää; mutta joka Henkeen kylvää, se Hengestä iankaikkisen elämän niittää. 9. Ja kun hyvää teemme, älkäämme lannistuko, sillä me saamme ajan tullen niittää, jos emme väsy. 10. Sentähden, kun meillä vielä aikaa on, tehkäämme hyvää kaikille, mutta varsinkin uskonveljille.  11. Katsokaa, kuinka suurilla kirjaimilla minä omakätisesti teille kirjoitan! . . . . . . . . . Kirjoitin nyt Jumalan tahdon, niin kuin Hän tahtoi.  Mitä et tiedä . . . se joskus kerrotaan. Siunausta ja Herran rauhaa ! 	 0.3048226833343506
s24:0114a3c9d622e836b3c2b527abd75848 	 toxicity 	 Typerä väite, jos kerran kaverin sormenjäljet löytyy murha-aseesta, niin miten lavastettu? Yhtä typerä väite sekin, että ampujia olisi useampia, miksi kukaan tekisi niin idioottimaista suunnitelmaa, yleensä yksi kiväärimies pystyy tappamaan suojattoman kohteen yksinkin. Kaksi ampujaa, 100kertainen paljastumisriski jo suunnitteluvaiheessa. Se, että ternikivääri olisi jotenkin kelvoton ase, on taas huuhaajuttuja, joita tietämättömät toistelee, kun ovat jostakin kuulleet. Patruunan kaliiperi on tarkka, ja luoti on nopea, joka tekee pahaa jälkeä osuessaan. 	 0.3317800760269165
s24:3a737dff4a47ebaa615673e0141ccf98 	 toxicity 	 Helsinkiläinen vajakki ei uskalla mennä edes metsään, ei silloin pidä syödä riistaakaan. Se ei kasva vakuumipakkauksissa kaupan hyllyillä. 	 0.37277716398239136
s24:a27ebf73e917550b088955c5ba6a4fd0 	 toxicity 	 Jotta pikku salomaleikkumi ei syyttäisi juttua paskaksi valheeksi (vaikka se nyt on INTERNETISSÄ julkaistu ja siten totta) niin mainitaan lähde.  Uutisen on tehnyt sen Haaz???? jotain eli sama jota leikkumi lukee totuuden torvena. 	 0.3351556956768036
s24:99bb2f1ded3edceca8fcd55cd602741d 	 toxicity 	 "Turvapaikanhakijat ja pakolaiset ovat tehneet täällä erittäin törkeitäkin rikoksia kuten esim.Kokemäen pahoinpitely, törkeä raiskaus ja elävätä poltto, uhrina kantasuomalainen nuori tyttö. En ole kuullut että nämä pelätyt ja maassamme jopa ""kauhua"" levittävät Soldiers of Odinit olisivat porukalla tehneet yhtään poliisin tietoon tullutta rikosta. Miksi viherhyypiöt, Vaseliiniliittolaiset ja te bolsut pelkäätte katupartiolaisia mutta ette törkeitä ryöstöjä ja raiskauksia tehneitä mamurikollisia, ovatko jälkimmäiset niitä Vaseliiniliiton Psyko-Liin mainostamia positiivia rikoksia?" 	 0.31825563311576843
s24:39426357e69dee19463ba9bedb6c918e 	 not-toxicity 	 sallittua?  saako vanhemmat laittaa puhumisen estävän kuonokopan jos kiroilee tai puhuu muuten rumia tai haukkuu vanhempia? mulle laitettiin enkä voinu mennä kouluun tänään ku en saanu pois sitä. en voinu puhua mitään 	 0.31425321102142334
s24:3f5b6e2ca94569f511a58093254496ca 	 toxicity 	 LOL Joo joku haluuki sun kanssa telttaretkelle ja puhumaan whitseistä ja hyppii yöllä niitylle leikkin whitsejä! Jeesus tee nyt jotain muutaki! LoL 	 0.31833508610725403
s24:b13797d77d35a00fd104bc7b0fe7eb7c 	 not-toxicity 	 Ennemmin vaikka velkaa omastani lyhennän kuin sillä rahalla maksan vuokrakiskureille vuokraa. 	 0.3102775514125824
