TP 	 TN 	 FP 	 FN
0 	 210358 	 0 	 4573
0 	 132617 	 0 	 27438
0 	 105179 	 0 	 18292
0 	 96033 	 0 	 68595
0 	 109752 	 0 	 73168
68595 	 0 	 82314 	 0
41157 	 0 	 96033 	 0
100606 	 0 	 45730 	 0
68595 	 0 	 64022 	 0
114325 	 0 	 36584 	 0
0 	 547443 	 0 	 70185
0 	 364962 	 0 	 154407
0 	 294777 	 0 	 126333
0 	 252666 	 0 	 266703
0 	 294777 	 0 	 140370
196518 	 0 	 308814 	 0
238629 	 0 	 266703 	 0
238629 	 0 	 252666 	 0
154407 	 0 	 294777 	 0
364962 	 0 	 140370 	 0
0 	 971212 	 0 	 44146
0 	 662190 	 0 	 242803
0 	 595971 	 0 	 220730
0 	 595971 	 0 	 286949
0 	 529752 	 0 	 331095
286949 	 0 	 551825 	 0
397314 	 0 	 463533 	 0
507679 	 0 	 353168 	 0
684263 	 0 	 198657 	 0
618044 	 0 	 264876 	 0
0 	 52734 	 0 	 0
0 	 49368 	 0 	 0
0 	 41514 	 0 	 2244
0 	 35904 	 0 	 1122
0 	 40392 	 0 	 1122
5610 	 0 	 29172 	 0
4488 	 0 	 26928 	 0
2244 	 0 	 34782 	 0
2244 	 0 	 26928 	 0
4488 	 0 	 23562 	 0
0 	 30268 	 0 	 0
0 	 26404 	 0 	 1288
0 	 27048 	 0 	 644
0 	 25760 	 0 	 1288
0 	 26404 	 0 	 1288
2576 	 0 	 26404 	 0
3220 	 0 	 22540 	 0
3864 	 0 	 21896 	 0
3864 	 0 	 21896 	 0
7728 	 0 	 16744 	 0
0 	 2237760 	 0 	 55944
0 	 727272 	 0 	 895104
0 	 1454544 	 0 	 503496
0 	 783216 	 0 	 951048
0 	 1398600 	 0 	 559440
727272 	 0 	 1230768 	 0
1062936 	 0 	 615384 	 0
671328 	 0 	 1006992 	 0
1174824 	 0 	 783216 	 0
1846152 	 0 	 391608 	 0
