id	gold_labels	predicted_labels	text
s24:55342ca8ce0d352026c8c0e53c70dc8b	['label_toxicity']	['label_toxicity']	Persujen mamu-puputus kyllästyttää  mutta mamu-puputuksen tarkoitus onkin yrittää peitellä sitä että Suomen taloudella menee huonosti. Ilman jatkuvaa velanottoa Suomen kansantalous putoaisi joka vuosi 4-5%:lla. Nyt lisävelalla yritykset, valtio, kunnat, yksityiset ihmiset pungertavat bkt:n ehkä 1%:n kasvuun. Mutta lasku tulee maksuun tuleville ikäluokille.
s24:4ca966fd3197849f902c2ee7f74f2205	['label_toxicity']	[]	Suvakit ja hyysärit haluaa saada lapset omaan aivopesunsa piiriin ajoissa, ettei nämä ota vanhempien omaa arvomaailmaa omakseen. Että silleen.
s24:64844416909031b96232f1d6249d63f6	[]	[]	VIELÄ YKSI ASIA! NÄMÄ EI OLE HENKILÖVAALIT,VAAN PUOLUEVAALIT!!!
s24:fa3e78cbbd4d0460c2abc68f274c2596	['label_toxicity']	['label_toxicity']	Halosen aikana on lapsiin ja naisiin kohdistuneet raiskaukset ja lasten hyväksikäytöt lisääntyneet räjähdysmäisesti!  Syynä seta-presidentimme sairaan ja poikkeavan ja sukupuolikäyttäytymisen täydellinen rohkaisu ja hyväksyminen!  Jopa halosen vaalijuhliin on järjestestetty sadomasokistinen esitys, sekä kiitosjuhliin transujen drag-shov, huviksi näille sukupuolisesti sairaille halosen kannattajajille.
s24:b3ba1cf93f83f502c287c344f09f7a11	['label_toxicity']	['label_identity_attack', 'label_insult', 'label_obscene', 'label_toxicity']	Byää! Byää! Jos tulee vammoja, byää! Saatanan tekopyhät paskahousut, itkupillit ja vauvat.  Niitä vammoja EI TULE, jos osoittaa mieltään asiallisesti. Vandalismi, mellakointi ja naamioituminen on merkki siitä että on kusta päässä. Silloin sietääkin tulla vähän ojennusta! Itse saa tehdä mitä vaan, mutta jos kusipäisyydelle pannaan loppu, niin sitten poliisi on paha natsisika. Ai niin, byää. Mielestänne saatte esim. heittää katukivillä poliisia mutta jos teidät otetaan siitä kiinni niin se sitten väärin?  Mellakointi ei ole demokratiaa vaan nyrkkivaltaa. Demokratiassa on osattava käyttäytyä sivistyneesti, avoimesti ja demokraattisesti.
s24:dbf549b827aed581d202200c252648d5	['label_toxicity']	[]	"""Fundamentalismista  Fundamentalismi on harhakuvitelmaa, jonka mukaan Jumala odottaa ja edellyttää ihmiseltä Kristus-uskon lisäksi uskoa tuhansia vuosia vanhan 1200-sivuisen kirjoitusten kokoelman absoluuttiseen erehtymättömyyteen ja ristiriidattomuuteen. Fundamentalismi on toisin sanoen näkemys ja vakaumus, että usko Kristukseen ei yksin riitä. Fundamentalismi on malliesimerkki opista, josta Paavali kirjoittaa: """"Jos joku julistaa teille evankeliumia, joka on vastoin sitä, minkä olette saaneet, hän olkoon kirottu."""" Edellä sanottuun fundamentalisti toteaa: """"Ethän sinä tietäisi Kristuksesta ja Paavalin evankeliumista mitään, jollei sinulla olisi Raamattua."""" Ja jättää lisäämättä: """"Siksi sinun on uskottava KAIKKEEN MUUHUNKIN, mitä Raamattuun on kirjoitettu."""" Tämä on vasta-argumenttina niin kiero/typerä, että sille on hankala löytää vertailukohtaa. Mutta yritetään. Fundamentalisti on kuin mies, joka inttää: """"Luit Kimi Räikkösen maailmanmestaruudesta Helsingin Sanomista. Sinulla ei ole mitään oikeutta uskoa Kimi Räikkösen maailmanmestaruuteen, jollet usko Helsingin Sanomien ja sen edeltäjän Päivälehden absoluuttiseen erehtymättömyyteen ja ristiriidattomuuteen vuodesta 1889 lähtien."""" Ikään kuin Kimi Räikkösen Ferrarilla vuonna 2007 Brasiliassa voittama maailmanmestaruus olisi jotenkin riippuvainen siitä, kuinka tarkasti ja oikeaan osuvasti kymmenet ja sadat toimittajat ovat asetelleet sanojaan helsinkiläisen sanomalehden toimituksessa esimerkiksi vuosina 1897, 1913, 1929 ja 1963. Vuoden 2007 uutinen Kimi Räikkösen maailmanmestaruudesta on toisin sanoen pelkkää huuhaata, jos joku Hesarin toimittaja teki vuonna 1927 virheen raportoidessaan eduskuntavaaleista. Toinen, vielä idioottimaisempi argumentti kuuluu: """"Raamattu julistaa itse olevansa Jumalan Sanaa."""" Kyseinen virke on monipuolisimmin mieletön lausuma, jonka ihminen on suustaan/näppikseltään päästänyt. Se on sekä valhe että kehäpäätelmä. Ja tällaisten idioottimaisuuksien fundamentalistit kuvittelevat olevan olennainen osa evankeliumia. Ja sitten toki ihmetellään, kun kaiken maailman räsäsiä ja puolimatkoja pidetään hieman tärähtäneinä."""
s24:821b751ad0c64587e94cb0c4e391f332	['label_toxicity']	['label_toxicity']	Nyt lyön kyllä tämän miehen lasikuplaa lujaa.  Jos noin paljon on jo lapsia tehnyt perhe kyseessä, niin kyllä siinä sen synnyttäjänkin mielipidettä olisi kuulunut kuunnella.  Ehkäisy kun ei ole syntiä, vaikka jotkut sellaisia typeryysoppeja viljelevätkin.  Toivotaan että tämä maailman liikakansoitus herättää viimeisetkin pahvit paavin kuoleman jälkeen nykyaikaan:  ehkäisy on ainut keino hillitä maailmanloppua. Koska ilman sitä se helvetti vasta onkin käsillä, kun maailma tuhoutuu ihmisten paljouden käsissä; sodissa, nälkäisten suiden ruokinnassa ja saasteissa - sekä teollisuuden ylivoimassa, joka kehittyy niin kauan, kun ihminen lisääntyy - aivan kuten ydinvoima teollisuuden mukana..  kyllä, helvetti on käsillä ja kortsupaketti pitäisi olla joka äijän taskussa aina saatavilla, kun alkaa tehdä naista mieli.  Ukko teki väärin kun valitsi vaimonsa ja lastensa äidin sijasta uskonnon. Mutta sano sille, että olisi tärkeintä pitää nyt vain huoli siitä perheestä, mikä jäljelle jäi. Ole tukena.
s24:b3911c38e6caaaf58e1b303170ba7f03	['label_toxicity']	['label_toxicity']	Juopoiksi varmaan oli tarkoitus kirjoittaa..?. Tuo on ihan totta, kaikenlaista kuulee ja monenlaisina versioina..Kuulijalla oltava maalaisjärkeä, sydäntä ja hyvä suodatin kun paskajuttuja kuuntelee!!
s24:29d19b4910d02584acb8aef8fa52ec54	[]	['label_toxicity']	sanoa että läheppä lätkimään...se ei ole niin simppeliä. meillä minä olen se kerjääjä.ja mulle sanotaan et vaiha ukkoa jos ei kelpaa . tää on kauheeta.kaiken muun lisäksi minä olen meillä se joka maksaa kaiken. vuokrat,ruuat,ihan kaiken.on aina ollu niin ,ja aina tulee olemaankin varmasti.vaikka lupas et asiat muuttuu kun vauveli syntyy..hahahh.mikäs sen mukavempaa kuin elää toisten rahoilla??tarjoan kirjaimellisest kaiken.kun pyyän esim kuskaamaan johonkin(mun maksamalla autolla ) niin hän tokasee et jos hän haluis ajella,hänel olis oma auto.. nyt rv 39 menossa..=?arvaatko että minäkin olen kuses.mutta luotan mieheeni,hän ei pettäis,kun ei sitä kiinnosta köyriminen tippaakaan.se mitä tapahtuukin,on VAIN JA AINOASTAAN hänen pussien tyhjäys. minen ees muista millon olisin saanu mitään. mietin usein et tätäkö tää on lopun ikäää??olen ERITTÄINKIN aktiivinen ja innokas sänkyjutuissa..tai olin.. ahistavaa..mutta silti sanon et ei ole helppoo sanoa et tos on ovi..meil paljon kivaakin ja pitää muuten meist huolta.. toivotan sulle voimia ja onnea..kyllä on välillä hankalaa päättää mitä tekee..
s24:02e6859c68c853ee558c835106171a71	['label_toxicity']	[]	Kyllä näin näyttää olevan ja liitot kestävät pitkään. Johtuu varmaan siitä että molemmilla puolisoilla on itsetunto kohdallaan kun on ulkonäköä ja elämä aina ollut helppoa. Rumemmat pettävät ja eroavat, koska ovat niin epävarmoja itsestään.
